"""J'accuse!"" reply.   		4 letters",MOI?.    	'J'accuse!' is the French for 'I accuse!'.
Rapidly.   		6 letters,"PRESTO.    	On a musical score, presto is used to indicate a fast tempo. ""Presto"" is the Italian word for ""quick""."
Naval leader: Abbr..   		3 letters,ADM.    	Admiral (adm.)
___-a-brac.   		4 letters,"BRIC.    	Bric-a-brac was a French phrase that was used as far back as the 16th century, but is now obsolete. It was a nonsense term meaning ""at random"" or ""any old way"". Since Victorian times we have used the phrase in English to mean a collection of curios, statues and the like. Unlike back then, in modern usage bric-a-brac tends to be a selection of cheaper items."
Southernmost country in Central America.   		6 letters,"PANAMA.    	The Republic of Panama is the southernmost country in Central America, and by definition, the southernmost country in North America."
Zimbabwe's capital.   		6 letters,"HARARE.    	Cecil Rhodes (famous in America as the founder of the Rhodes Scholarship), was very successful English businessman and South African politician. He founded the De Beers diamond mining company, and also founded the state of Rhodesia, which was named after him. The British colony gained its independence over time in the latter half of the 20th century, and is known today as the countries of Zambia and Zimbabwe."
Pajamas' rear opening.   		4 letters,FLAP.    	Not in mine ...
Shell you may sit in.   		5 letters,SCULL.    	A scull is a rowing boat used for competitive rowing. The main hull of the boat is often referred to as a shell.
Blender maker.   		5 letters,"OSTER.    	The Oster brand of small appliances was introduced in 1924 by John Oster. He started out by making manually-powered hair clippers designed for cutting women's hair, and followed up with a motorized version in 1928. The clippers kept the company in business until 1946 when Oster diversified, buying a manufacturer of liquefying blenders in 1946. The blender was renamed an Osterizer, and was a big hit. Oster was bought up by Sunbeam, which has owned the brand since 1960."
Trains (Strain) for an N.H.L.   		8 letters,"O CANADA.    	Canada's national anthem 'O Canada' was commissioned in 1880 by the Lieutenant Governor of Quebec, so the original words are in French. The first English translation was made in 1906. The current English lyrics have been revised a few times, but the French version remains the same as it did back in 1880."
Key-ring ornament.   		3 letters,"FOB.    	A fob is attached to another object to make access to it easier. And so a key fob is a chain attached to a key so that it can be retrieved easily. There are also watch fobs, and the pocket in a vest in which a watch can be placed is called a fob. In fact, the original use of the term 'fob' was for a small pocket in which one could carry valuables."
