Sautéed seafood dish.   		6 letters,SCAMPI.    	The Italian dish known as 'scampi' is a serving of shrimp in garlic butter and dry white wine.
Fault-find.   		4 letters,"CARP.    	The word ""carp"" used to mean simply ""talk"" back in the 13th century, with its roots in the Old Norwegian ""karpa"" meaning ""to brag"". A century later the Latin word ""carpere"" meaning ""to slander"" influenced the use of ""carp"" so that it came to mean ""find fault with""."
Like Rod Serling tales.   		5 letters,"EERIE.    	Rod Serling is of course the man behind, and in front of, the iconic science-fiction TV series ""The Twilight Zone"". Serling used a lot of the shows he created to advance his strongly held views against war (he was a soldier in WWII), and against racism."
"Broadway title character who sings ""Tea for Two"".   		7 letters","NANETTE.    	The 1925 musical ""No, No, Nanette"" spawned two famous songs: ""Tea for Two"" and ""I Want to Be Happy""."
Director Van Sant.   		3 letters,"GUS.    	Gus Van Sant is a movie director (among other things) who has been nominated twice for an Oscar, for 'Good Will Hunting' in 1997 and for 'Milk' in 2008."
Certain Central Asian.   		5 letters,"TATAR.    	Tatars are an ethnic group of people, mainly residing in Russia (a population of about 5 1/2 million). Actor Charles Bronson had a Tatar heritage. His real name was Charles Buchinsky."
Eisner's successor at Disney.   		4 letters,"IGER.    	Robert Iger is currently the president and CEO of the Walt Disney Company, and is the successor to Michael Eisner. Iger worked for ABC when it was taken over by Disney in 1996, and in 1999 he was named president of Walt Disney International. Iger is doing okay for himself. He earned more than $29 million in 2009."
Needle holder.   		4 letters,"TACH.    	The tachometer takes its name from the Greek word ""tachos"" meaning ""speed"". A tachometer measures engine revolutions per minute (rpm)."
Battlefield activity.   		6 letters,"TRIAGE.    	""Triage"" is the process of prioritizing patients for treatment, especially on a battlefield. The term ""triage"" is French, and means ""a sorting""."
N.Y.C.   		3 letters,"LEX.    	Lexington Avenue in New York City is famous from many things, but my favorite fact is that it was the site of the first ever arrest for speeding in the city. In 1899 a police officer on a bicycle caught up with a cabdriver who was tearing down Lexington Avenue at the breakneck speed of 12 mph ..."
Word used three times in the first four lines of the Lord's Prayer.   		3 letters,"THY.    	The Lord's Prayer ('Our Father') is a central prayer in Christian religions, and is found in two places in the New Testament. In the version in the Gospel of Matthew the last line of the prayer is ""deliver from evil"". In the Gospel of Luke the last line is ""lead us not into temptation""."
Prime minister before and after Churchill.   		6 letters,"ATTLEE.    	Clement Attlee served as leader of Britain's Labour Party and as Deputy Prime Minister in the coalition government during the war years under the leadership of Winston Churchill, a Conservative. Attlee swept into power right after WWII in a landslide victory over Churchill and was responsible for major changes not only in Britain but around the waning British Empire. It was under Attlee that former British colonies like India, Pakistan, Burma, Sri Lanka and Jordan became independent. Also, the Palestine Mandate was terminated in 1948, while he was in office, with the state of Israel being declared the very next day."
Baseball's Justin or B.   		5 letters,"UPTON.    	Justin and B.J. Upton are two brothers playing Major League Baseball. Justin plays for the Arizona Diamondbacks, and B. J. plays for the Tampa Bay Rays."
Italian shrimp dish.   		6 letters,SCAMPI.    	The Italian dish known as 'scampi' is a serving of shrimp in garlic butter and dry white wine.
"""The Wind in the Willows"" hopper.   		4 letters","TOAD.    	""The Wind in the Willows"" is a classic children's novel first published in 1908. Featured in the story are characters such as Mole, Ratty, Mr. Toad and Mr. Badger. The story's author, Kenneth Grahame, held the exalted position of Secretary of the Bank of England."
"""Twilight,"" e.g.   		4 letters","SAGA.    	I don't do vampires. The reference, is to ""The Twilight"" series of books by Stephanie Meyer. ""The Twilight Saga"" is a series of films based on the books."
"Sinclair who wrote ""The Jungle"".   		5 letters","UPTON.    	Upton Sinclair was a prolific American author, with almost 100 books to his name. Sinclair's most famous work is probably 'The Jungle', a 1906 novel about the meat packing industry that contributed to the Meat Inspection Act being passed by Congress a few months after the book was published. He also wrote 'Oil', published in 1927, which was the basis of the 2007 film 'There Will Be Blood', starring Daniel Day-Lewis."
Coll.   		3 letters,"SAE.    	Sigma Alpha Epsilon (SAE) is the largest college fraternity in the US today. The SAE headquarters is on the campus of Northwestern University in Evanston, Illinois, but it was founded at the University of Alabama back in 1856. It is the only college fraternity in existence today that was founded in the South before the Civil War."
Bird or fruit.   		4 letters,"KIWI.    	Unlike many nicknames for people of a particular country, the name ""Kiwi"" for a New Zealander isn't offensive at all. The term comes from the flightless bird called the kiwi, which is endemic to New Zealand and is the country's national symbol. ""Kiwi"" is a Maori word, and the plural (when referring to the bird) is simply ""kiwi"". However, when you have two or more New Zealanders with you, they are Kiwis (note the ""s"", and indeed the capital ""K""!)."
Rock's Mötley ___.   		4 letters,"CRUE.    	Motley Crue is an American rock band, from Los Angeles. They've been around since 1981, co-founded by the famous drummer Tommy Lee. Tommy Lee is also known for his two celebrated marriages, the first with Heather Locklear, and the second with Pamela Anderson."
One highly unlikely to react.   		8 letters,"RARE GAS.    	The noble gases (also 'rare gases') are those elements over on the extreme right of the Periodic Table. Because of their ""full"" complement of electrons, noble gases are very unreactive. The six noble gases that occur naturally are helium, neon, argon, krypton, xenon and radon."
___ law.   		5 letters,"OHM'S.    	The unit of electrical resistance is the ohm (with the symbol omega) named after German physicist Georg Simon Ohm. Ohm was the guy who established experimentally that the amount of current flowing through a circuit is directly proportional to the voltage applied, (V=IR) a relationship that every school kid knows as Ohm's Law."
Hacienda room.   		4 letters,"SALA.    	A room (sala) is a division (división) of a house (casa), in Spanish."
Japanese brew.   		5 letters,"ASAHI.    	Asahi is a beer, and the name of the brewery that produces it. ""Asahi"" is Japanese for ""morning sun"". Asahi introduced a ""dry beer"" in 1987, igniting a craze that rocketed the brewery to the number one spot in terms of beer production in Japan, with Sapporo close behind."
Hip adjoiner?.   		3 letters,"HOP.    	Hip-Hop originated in New York City in the seventies, developing in inner-city African-American, Jamaican and Latina-American communities. Some say that the term ""hip-hop"" was first used by the group Grandmaster Flash and the Furious Five. I know practically nothing about hip-hop, I must admit ..."
Have ___ (lose it).   		5 letters,"A COW.    	The phrase ""don't have a cow"" originated in the fifties, a variation of the older ""don't have kittens"". The concept behind the phrase is that one shouldn't get worked up, it's not like one is giving birth to a cow."
N.C.A.A. part: Abbr..   		5 letters,"ASSOC.    	The National Collegiate Athletic Association (NCAA) dates back to the Presidency of Theodore Roosevelt. When his son broke his nose playing football at Harvard, President Roosevelt turned his attention to the number of serious injuries and even deaths occurring in college sports. He instigated meetings between the major educational institutions leading to the formation of the Intercollegiate Athletic Association of the United States (IAAUS) in 1906, which was given the remit of regulating college sports. The IAAUS became the NCAA in 1910."
Japanese brew.   		5 letters,"ASAHI.    	Asahi is Japanese for ""morning sun"". Here Asahi refers to a beer, and the brewery that produces it. Asahi introduced a ""dry beer"" in 1987, igniting a craze that rocketed Asahi to the number one spot in terms of beer production in Japan, with Sapporo close behind."
One for Caesar?.   		4 letters,UNUM.    	'Unum' is Latin for 'one'.
