"Some ""CSI"" figs.   		3 letters",DAS.    	District Attorney (DA)
Mother ___.   		6 letters,"TERESA.    	Mother Teresa was born in 1910 in the city that is now called Skopje, the capital of Macedonia. At birth she was given the names Agnes Gonxha Bojaxhiu (""Gonxha"" means ""little flower"" in Albanian). She left home at the age of 18 and joined the Sisters of Loreto, and headed to Loreto Abbey in Rathfarnham in Dublin, Ireland in order to learn English. Her goal was to teach in India, and English was the language used there for instruction by the nuns. After Mother Teresa passed away in 1997 she was beatified by Pope John Paul II, a step on the road to canonization. In order for her to be beatified there had to be documented evidence of a miracle that was performed due to her intercession. The miracle in question was the healing of a tumor in the abdomen of a woman due to the application of a locket containing a picture of Mother Teresa. Documentation of a second miracle is required for her to be declared a saint."
French place of learning.   		5 letters,"ECOLE.    	Ecole is the French word for ""school""."
Alternative to Ascap.   		3 letters,"BMI.    	ASCAP (the American Society of Composers, Authors and Publishers) collects licence fees for musicians and distributes royalties to composers whose works have been performed. BMI (Broadcast Music Incorporated) provides the same service."
Award for Best New American Play.   		4 letters,"OBIE.    	The Obies are the ""Off-Broadway Theater Awards"". The Obies are presented annually and the recipients are chosen by ""The Village Voice"" newspaper."
Skye of film.   		4 letters,"IONE.    	Ione Skye is an American actress born in Hertfordshire in England. She is best known for portraying the character Diane Court in the 1989 high school romance movie ""Say Anything ..."", starring opposite John Cusack. Skye is the daughter of the Scottish folk singer Donovan."
Nasdaq company with an asterisk in its name.   		7 letters,"E*TRADE.    	E*Trade is mainly an online discount brokerage. It was founded in 1982 in Palo Alto, California, and I used to drive by its headquarters almost every day. The company is now run out of New York City. E*Trade runs those famous Super Bowl ads with the talking babies staring into a web-cam."
Deli stock.   		3 letters,"LOX.    	Lox is a cured salmon fillet, finely sliced. The term ""lox"" comes into English via Yiddish, and derives from the German word for salmon, namely 'Lachs'."
Title 54-Across of film.   		4 letters,ULEE.    	(54A. One controlling drones : BEEKEEPER)
"Entire ""Reservoir Dogs"" cast, e.g.   		3 letters","MEN.    	Reservoir Dogs' was the first film directed by Quentin Tarantino, and was released in 1992. I really don't like Tarantino movies as I just cannot take all the violence. I checked the cast listing for ""Reservoir Dogs"" and it is a ""men only"" production. There are no named characters in the film played by women. All I can see is Linda Kaye who played 'Shocked Woman', and Suzanne Celeste who played 'Shot Woman' ..."
Rock's ___ Rose.   		3 letters,"AXL.    	Axl Rose is the lead vocalist of the American rock band, Guns N' Roses."
Counter orders.   		4 letters,"BLTS.    	The BLT (bacon, lettuce and tomato) is the second most popular sandwich in the US, after the plain old ham sandwich."
Brewing oven.   		4 letters,"OAST.    	An oast is a kiln used for drying hops as part of the brewing process. Such a structure might also be called an ""oast house""."
Smallville girl.   		4 letters,"LANA.    	Smallville is the town on Earth in which Superman grew up (as Clark Kent). One of Clark's best friends in Smallville, and romantic interest, was Lana Lang."
Capital of Ghana.   		5 letters,"ACCRA.    	Accra sits on Ghana's coast, and is a major seaport as well as the country's capital city. The name ""Accra"" comes from a local word ""Nkran"" meaning ""ants"", a name chosen because of the large number of anthills found in the area when the city was founded."
Pen name?.   		3 letters,"BIC.    	Société Bic is a French company, based in Clichy in France. The first product the company produced, more than fifty years ago, was the Bic Cristal ballpoint pen that is still produced today. Bic also makes other disposable products such as lighters and razors."
Mother ___.   		6 letters,"TERESA.    	Mother Teresa was born in 1910 in the city that is now called Skopje, the capital of Macedonia. At birth she was given the names Agnes Gonxha Bojaxhiu (""Gonxha"" means ""little flower"" in Albanian). She left home at the age of 18 and joined the Sisters of Loreto, and headed to Loreto Abbey in Rathfarnham in Dublin, Ireland in order to learn English. Her goal was to teach in India, and English was the language used there for instruction by the nuns. After Mother Teresa passed away in 1997 she was beatified by Pope John Paul II, a step on the road to canonization. In order for her to be beatified there had to be documented evidence of a miracle that was performed due to her intercession. The miracle in question was the healing of a tumor in the abdomen of a woman due to the application of a locket containing a picture of Mother Teresa. Documentation of a second miracle is required for her to be declared a saint."
"Intel product, for short.   		3 letters","CPU.    	The Central Processing Unit (CPU) is the main component on the ""motherboard"" of a computer. The CPU is the part of the computer that carries out most of the functions required by a program. Nowadays you can get CPUs in everything from cars to telephones."
Resort near Snowmass.   		5 letters,"ASPEN.    	Aspen, Colorado used to be known as Ute City, with the name change taking place in 1880. Like many communities in the area, Aspen was a mining town, and in 1891 and 1892 it was at the center of the highest production of silver in the US. Nowadays of course, it's all about skiing and movie stars."
Founding principle.   		5 letters,"TENET.    	A tenet is an article of faith, something that is held to be true. 'Tenet' is Latin for 'he holds'."
Hookah component.   		3 letters,"URN.    	A hookah is a waterpipe, a device for smoking tobacco in which the smoke is passed through a water basin before it is inhaled."
Comic Mort.   		4 letters,"SAHL.    	Mort Sahl is a Canadian-born actor and comedian who moved to the US with his family when he was a child. Sahl became friends with John F. Kennedy. When Kennedy became president, Sahl wrote a lot of jokes for the President's speeches, although he also told a lot of Kennedy jokes in his acts. After the President was assassinated in 1963, Sahl was intensely interested in finding out who was behind the crime and even got himself deputized as a member of one of the investigating teams. He was very outspoken against the results of the Warren Commission report on the assassination, and soon found himself out of favor with the public. It took a few years for him to make his comeback, but come back he did."
Neighbors of the Navajo.   		4 letters,HOPI.    	The Hopi nation live on a reservation that actually resides within the much larger Navajo reservation in Arizona.
PBS's Science Kid.   		3 letters,"SID.    	Sid the Science Kid' is a children's show aired by PBS. 'Sid the Science Kid' is made using CGI technology, and is a production of the Jim Henson Company that was founded on the success of 'The Muppets'."
"""Let's Get Lost"" singer Baker.   		4 letters","CHET.    	The famous jazz trumpeter Chet Baker was noted for his heroin addiction, a problem that nearly put an end to his performing career. He managed a comeback in the late seventies, mainly appearing and recording in Europe. But he never kicked the drug habit and was found dead one day after falling from his hotel room window in Amsterdam."
7-Eleven convenience.   		3 letters,"ATM.    	At many 7-Eleven convenience stores, one has the convenience of access to an Automated Teller Machine (ATM)."
Uto-Aztecan language.   		4 letters,"HOPI.    	Hopi is the name of the language spoken by the Hopi people, a Pueblo group of Native Americans living in northeastern Arizona. Hopi is one of the Uto-Aztecan languages, a group of similar languages that are found in the western and southeastern US as well as much of Mexico."
"""The ___,"" next-to-last song on ""Abbey Road,"" ironically.   		3 letters","END.    	""The End"" was indeed meant to be the last track on the 1969 Beatles album ""Abbey Road"". A track called ""Her Majesty"" was remixed and added later."
Global currency org.   		3 letters,"IMF.    	The International Monetary Fund was established at the end of 1945 with 29 major economies supporting and funding the effort to stabilize economies across the globe after WWII. Headquartered in Washington, D.C., today the IMF has 187 member countries."
"Kings of ___ (""Use Somebody"" band).   		4 letters","LEON.    	Kings of Leon is an American rock band formed in Nashville, Tennessee in 1999. The band members are all related to each other and chose the group's name in honor of their common grandfather whose given name is Leon."
Medieval drudge.   		4 letters,"SERF.    	A serf was a member of the lowest feudal class, someone attached to land owned by a lord. ""Serf"" comes from the Latin ""servus"", meaning ""slave""."
Singer Ocasek of the Cars.   		3 letters,"RIC.    	Ric Ocasek is an American musician of Czech heritage, and was the lead vocalist of the rock band, the Cars."
Overrule.   		3 letters,"NIX.    	The use of ""nix"" as a verb, meaning ""to shoot down"", dates back to the early 1900s. Before that ""nix"" was just a noun meaning ""nothing"". ""Nix"" comes from the German ""nichts"", which also means ""nothing""."
"Number pad locale, for short.   		3 letters",ATM.    	Automated teller machine (ATM)
Bubkes.   		3 letters,"NIL.    	'Bupkis' (also 'bubkes') is a word that means 'absolutely nothing, nothing of value', and is of Yiddish origin."
Latin pronoun.   		3 letters,"MEA.    	""Mea"" is one form of the Latin for ""my"". The phrase ""mea culpa"" for example, translates as ""my fault""."
First name in photography.   		5 letters,"ANSEL.    	As an amateur photographer, I have been a big fan of the work of Ansel Adams for many years and must have read all of his books. Adams was famous for clarity and depth in his black and white images. Central to his technique was the use of the zone system, his own invention. The zone system is a way of controlling exposure in an image, particularly when there is a high contrast in the subject. Although the technique was developed primarily for black & white film, it can even apply to digital color images. In the digital world, the main technique is to expose an image for the highlights, and one or more images for the shadows. These images can then be combined digitally giving a final photograph with a full and satisfying range of exposures."
"Sauce with a name derived from the Italian for ""pounded"".   		5 letters","PESTO.    	The term 'pesto' applies to anything made by pounding. What we tend to know as 'pesto' sauce is more properly called 'pesto alla genovese', pesto from Genoa in northern Italy."
Pump or loafer.   		4 letters,"SHOE.    	A pump is a woman's shoe that doesn't have a strap. Such shoes are probably called ""pumps"" because of the sound they make while walking in them."
Bagel topper.   		3 letters,"LOX.    	Lox is a cured salmon fillet, finely sliced. The term ""lox"" comes into English via Yiddish, and derives from the German word for salmon, namely 'Lachs'."
"Lead role in the film known in France as ""L'Or de la Vie"".   		4 letters","ULEE.    	The movie 'Ulee's Gold' was released as ""L'Or de la Vie"" in French-speaking countries, which translates as 'Life's Gold'."
Former Chevy subcompact.   		4 letters,"AVEO.    	The Chevrolet Aveo is a subcompact that has been around since 2002. The Aveo is manufactured by GM Daewoo, the GM subsidiary in South Korea. Although the Aveo name is still used in some markets, here in North America the Aveo has been sold as the Chevrolet Sonic since 2012. By the way, GM Daewoo is the third largest manufacturer of automobiles in South Korea, after Hyundai and Kia."
First name in '50s comedy.   		4 letters,"DESI.    	Desi Arnaz was of course famous for his turbulent marriage to Lucille Ball. Desi Arnaz was from Cuba, and from a privileged family. His father was mayor of Santiago and served in the Cuban House of Representatives. However, the family had to flee to Miami after the 1933 revolution led by Batista."
Calamine component.   		4 letters,"ZINC.    	Calamine is mainly zinc oxide, with a small percentage of iron (III) oxide. Calamine is incorporated into a lotion that is used for many things, including treatment of sunburn and itching."
China's Chou En-___.   		3 letters,"LAI.    	Zhou Enlai (also Chou En-Lai) was the first government leader of the People's Republic of China and held the office of Premier from 1949 until he died in 1976. Zhou Enlai ran the government for Communist Party Leader Mao Zedong, often striking a more conciliatory tone with the West than that of his boss. He was instrumental, for example, in setting up President Nixon's famous visit to China in 1972. Zhou Enlai died just a few months before Mao Zedong, with both deaths leading to unrest and a dramatic change in political direction for the country."
Torpedo detector.   		5 letters,"SONAR.    	The British developed the first underwater detection system that used sound waves. Research was driven by defence demands during WWI, leading to production of working units in 1922. This new sound detection system was described as using ""supersonics"", but for the purpose of secrecy the term was dropped in favor of an acronym. The work was done under the auspices of the Royal Navy's Anti-Submarine Division, so ASD was combined with the IC from ""superson-ic-s"" to create the name ASDIC. The navy even went as far as renaming the quartz material at the heart of the technology ""ASDivite"". By the time WWII came along, the Americans were producing their own systems and coined the term SONAR, playing off the related application, RADAR. And so the name ASDIC was deep-sixed ..."
Magazine with a fold-in back cover.   		3 letters,"MAD.    	""Mad"" magazine has been around since 1952, although back then it was more of a comic book than a magazine. The original founder and editor was Harvey Kurtzman and in order to convince him to stay, the publisher changed the format to a magazine in 1955. That's when the publication really took off in terms of popularity."
Furniture item that might seat three.   		4 letters,"SOFA.    	""Sofa"" is a Turkish word meaning ""bench""."
"Yours, in Tours.   		5 letters","A TOI.    	""À toi"" is the French term for ""yours"", when talking to someone with whom one is familiar. ""À toi"" literally means ""to you""."
Luxuriousness.   		4 letters,"RITZ.    	The adjective ""ritzy"" meaning ""high quality and luxurious"" derives from the opulent Ritz hotels in New York, London, Paris etc."
Pretty tasteless food.   		4 letters,"TOFU.    	Tofu is another name for bean curd, and is a Japanese word meaning just that ... bean that has ""curdled"". Tofu is produced by coagulating soy milk, using either salt or something acidic. Once the protein has coagulated, the curds are pressed into the familiar blocks. Personally I love tofu, but my wife, she absolutely hates it ..."
Minuscule amounts.   		5 letters,"IOTAS.    	Iota is the ninth letter in the Greek alphabet. We use the word ""iota"" to portray something very small as it is the smallest of all Greek letters."
Israel's foreign minister during the Six-Day War.   		4 letters,"EBAN.    	Abba Eban was an Israeli diplomat and politician, born Aubrey Solomon Meir Eban in Cape Town. While working at the United Nations after WWII he changed his name to ""Abba"", the Hebrew word for ""father"", reportedly as he could see himself as the father of the nation of Israel."
Singer Amos.   		4 letters,"TORI.    	Tori Amos is an American pianist and singer. She started playing the piano at two years old, and was composing piano pieces by age five. She was playing in piano bars (chaperoned by her father) when she was 14. I'm going to have to find some of her music (I lead such a sheltered life ...)!"
___ buco (veal dish).   		4 letters,OSSO.    	'Osso' is the Italian word for bone as in the name of the dish Osso Buco: braised veal shanks.
Bean curd.   		4 letters,"TOFU.    	Tofu is another name for bean curd, and is a Japanese word meaning just that ... bean that has ""curdled"". Tofu is produced by coagulating soy milk, using either salt or something acidic. Once the protein has coagulated, the curds are pressed into the familiar blocks. Personally I love tofu, but my wife, she absolutely hates it ..."
"""O Sole ___"".   		3 letters","MIO.    	""'O sole mio"" is a famous Italian song from Naples, written in 1898. The song's lyrics are usually sung in the original Neapolitan, as opposed to Italian. The title translates from Neapolitan into ""My Sun"" (and not into ""O, My Sun"" as one might expect). It's a love song of course, sung by a young man declaring that there is a sun brighter than that in the sky, the sun that is his lover's face. Awww ..."
"Say you'll make it, say.   		4 letters","RSVP.    	RSVP stands for ""répondez s'il vous plaît"", which is French for ""please, answer""."
Performing rights org.   		3 letters,BMI.    	Broadcast Music Incorporated (BMI) collects licence fees for musicians and distributes royalties to composers whose works have been performed.
Belgrade resident.   		4 letters,"SERB.    	Serbs are an ethnic group native to the Balkans in southeastern Europe. Although Serbs exist as a minority group in many countries in the region, they are the majority ethnic group in Serbia, in Montenegro and in Bosnia and Herzegovina."
"""A Sorta Fairytale"" singer Amos.   		4 letters","TORI.    	Tori Amos is an American pianist and singer. She started playing the piano at two years old, and was composing piano pieces by age five. She was playing in piano bars (chaperoned by her father) when she was 14. I'm going to have to find some of her music (I lead such a sheltered life ...)!"
President pro ___.   		3 letters,"TEM.    	""Pro tempore"" can be abbreviated to ""pro tem"" or ""p.t."" ""Pro tempore"" is a Latin phrase that best translates as ""for the time being"". It is used to describe a person who is acting for another, usually a superior."
Singer India.___.   		4 letters,"ARIE.    	India.Arie is an American soul and R&B singer, born India Arie Simpson."
The dark side.   		3 letters,"YIN.    	The yin and the yang can be explained using many different metaphors. In one, as the sun shines on a mountain, the side in the shade is the yin and the side in the light is the yang. The yin is also regarded as the feminine side, and the yang the masculine. The yin can also be associated with the moon, while the yang is associated with the sun."
Celebrity cosmetician Laszlo.   		4 letters,"ERNO.    	Ernő László was a dermatologist from Hungary who became sought out by celebrities for treatment of both serious and cosmetic skin issues. He founded the Ernő László Institute in New York in 1939, which soon had an impressive list of clients that included the Duchess of Windsor, Greta Garbo, Grace Kelly, Ava Gardner, Katharine Hepburn, Audrey Hepburn, Marilyn Monroe and Jacqueline Kennedy Onassis."
Org.   		5 letters,"ASCAP.    	ASCAP (the American Society of Composers, Authors and Publishers) collects licence fees for musicians and distributes royalties to composers whose works have been performed. So does BMI (Broadcast Music Incorporated)."
Profs' backups.   		3 letters,TAS.    	Teaching Assistants (TAs)
Deli supply.   		3 letters,"LOX.    	Lox is a brine-cured salmon fillet, finely sliced. The term ""lox"" comes into English via Yiddish, and derives from the German word for salmon, namely 'Lachs'."
Lensman Adams.   		5 letters,"ANSEL.    	As an amateur photographer, I have been a big fan of the work of Ansel Adams for many years and must have read all of his books. He was famous for the clarity and depth in his black and white images. Central to his technique was the use of the zone system, his own invention. The zone system is a way of controlling exposure in an image, particularly when there is a high contrast in the subject. Although the technique was developed for black & white film primarily, it can even apply to digital images. In the digital world, the main technique is to expose an image for the highlights, and one or more images for the shadows. These images can then be combined digitally giving a final image with a full and satisfying range of exposures."
"""Cómo ___?"".   		4 letters","ESTA.    	""Come esta usted?"" is the more formal way of asking, ""how are you?"" in Spanish."
French seasoning.   		3 letters,"SEL.    	""Sel"", the French word for ""salt""."
Bespectacled dwarf.   		3 letters,"DOC.    	In the original Brothers Grimm fairy tale ""Snow White"", the seven dwarfs were not given any names. The names were created for the 1937 classic animated film ""Snow White and the Seven Dwarfs"" from Walt Disney. The seven dwarfs are:"
___ jure.   		4 letters,"IPSO.    	Ipso jure' is Latin for 'by operation of law'. It's a legal term that I don't really understand, to be honest ..."
Singer Zadora.   		3 letters,"PIA.    	Pia Zadora is an American actress and singer. Zadora's most famous role was in the 1982 film ""Butterfly"" in which she worked with Orson Welles and Stacey Keach. The film was based on the novel ""The Butterfly"" by James M. Cain and deals with the difficult subject of father-daughter incest."
Olive ___.   		3 letters,"OYL.    	""Thimble Theater"" was the precursor comic strip to the famous ""Popeye"" drawn by E. C. Segar. Before Popeye came into the story, the brother and sister characters Castor Oyl and Olive Oyl were the main protagonists. And then along comes a sailor ..."
Pitchfork-shaped letters.   		4 letters,PSIS.    	The Greek letter psi is the one that looks a bit like a trident or a pitchfork.
Fashion designer Jacobs.   		4 letters,"MARC.    	Marc Jacobs is an American fashion designer from New York City with his own line of clothing. He is also the creative director for the French design house, Louis Vuitton."
Org.   		3 letters,"FBI.    	What we know today as the FBI was set up in 1908 as the BOI, the Bureau of Investigation. The name was changed to the Federal Bureau of Investigation in 1935. The Bureau was set up at the behest of President Theodore Roosevelt. President Roosevelt was largely moved to do so after the 1901 assassination of President McKinley, as there was a perception that anarchists were threatening law and order ."
Object from Mars?.   		3 letters,"BAR.    	Having lived on both sides of the Atlantic, I find the Mars Bar to be the most perplexing of candies! The original Mars Bar is a British confection (and delicious) first manufactured in 1932. The US version of the original Mars Bar is called a Milky Way. But there is candy bar called a Milky Way that is also produced in the UK, and it is completely different to its US cousin, being more like an American ""3 Musketeers"". And then there is an American confection called a Mars Bar, something different again. No wonder I gave up eating candy bars ..."
Southern city with a woman's name.   		5 letters,SELMA.    	The most famous city in the US named Selma is probably the one in Alabama. The Alabama city is noted for the Selma to Montgomery civil rights marches from 1965.
Depression-era traveler.   		4 letters,"HOBO.    	No one seems to know how the term ""hobo"" originated, but it started to appear around 1890. Hobos differed from ""tramps"" and ""bums"", in that ""bums"" refused to work, ""tramps"" worked when they had to, while ""hobos"" traveled in search of work."
Moor's deity.   		5 letters,"ALLAH.    	The word ""Moor"" describes various peoples of North Africa, usually of the Muslim faith. At the height of their geographic influence, the Moors occupied much of the Iberian peninsula, calling it Al Andalus (from which modern Andalusia gets its name). One of the most famous Moors in literature is Othello, the title character in William Shakespeare's tragedy ""Othello, the Moor of Venice""."
Eye of ___ (witch's item).   		4 letters,"NEWT.    	The witches in Shakespeare's ""Macbeth"" have some lovely lines as they cast a spell:"
Columbarium object.   		3 letters,"URN.    	The term ""columbarium"" comes from the Latin ""columba"" meaning ""dove"", and originally was used for a structure that had small cages to house pigeons and doves. In modern parlance a columbarium is a place where funeral urns can be stored in perpetuity."
"Surrealist played by Adrien Brody in ""Midnight in Paris"".   		4 letters","DALI.    	The famous surrealist painter Salvador Dalí was born in Figueres, Spain. I had the privilege of visiting the Dalí Museum in Figueres some years ago, just north of Barcelona. If you ever get the chance, it's a 'must see' as it really is a quite magnificent building with a fascinating collection."
Common address start.   		4 letters,"HTTP.    	""http"" are the first letters in most Internet link addresses. 'http' stands for HyperText Transfer Protocol."
Exercise discipline.   		4 letters,"YOGA.    	In the West we tend to think of yoga as a physical discipline, a means of exercise that uses specific poses to stretch and strengthen muscles. While it is true that the ancient Indian practice of yoga does involve such physical discipline, the corporeal aspect of the practice plays a relatively small part in the whole philosophy. Other major components are meditation, ethical behavior, breathing and contemplation."
"Not reacting to pain, say.   		5 letters","STOIC.    	Zeno of Citium was a Greek philosophers famous for teaching at the Stoa Poikile, the ""Painted Porch"", located on the north side of the Ancient Agora of Athens. Because of the location of his classes, his philosophy became known as stoicism (from ""stoa""). And yes, we get our adjective ""stoic"" from the same root."
Dale's partner.   		3 letters,"ROY.    	Cowboy actor and singer Roy Rogers' real name was Leonard Franklin Slye, and his nickname was ""King of the Cowboys"". Roy Rogers married Dale Evans in 1947. Evans' nickname was ""Queen of the West""."
Navajo's neighbor in Arizona.   		4 letters,"HOPI.    	The Hopi nation live on a reservation that actually resides within the much larger Navajo reservation, in Arizona."
"Editors' marks meaning ""put back in"".   		5 letters","STETS.    	""Stet"" is the Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" beside the change and then underscoring the change with a line of dots (or dashes)."
Expanse south of Ulan Bator.   		4 letters,"GOBI.    	The name ""Ulan Bator"" translates from Mongolian as ""the Red Hero"", and is Mongolia's capital city. The city was named in recognition of Mongolia's national hero, Damdin Sukhbaatar, who fought side-by-side with the Soviet Red Army in liberating the country from a White Russian warlord and the Chinese. Ulan Bator lies north of the Gobi Desert."
Candy in a dispenser.   		3 letters,"PEZ.    	PEZ is an Austrian brand name for a particular candy sold in a mechanical dispenser. Famously, PEZ dispensers have molded 'heads', and have become very collectible over the years. The list of heads includes historical figures like Betsy Ross and Paul Revere, characters from 'Star Wars' and 'Star Trek', and even British royalty like the Duke and Duchess of Cambridge ('William and Kate'). The name PEZ comes from the first, middle and last letters of ""Pfefferminz"", the German word for ""peppermint""."
