_RE,"TRE.    	In Italian, one sixth of eighteen (diciotto) is three (tre)."
_EA,"NEA.    	The National Education Association (NEA) is the largest labor union in the country, mainly representing public school teachers."
R_E,RTE.    	Route (rte.)
_RO,"ORO.    	Conquistador is the Spanish for ""conqueror""."
U_E,"UTE.    	The Ute is a group of Native American tribes that now resides in Utah and Colorado. The Ute were not a unified people as such, but rather a loose association of nomadic groups."
RT_,"RTE.    	The US Postal Service (USPS) is a remarkable agency in many ways. For starters, the government's right and responsibility to establish the Post Office is specifically called out in Article One of the US constitution. Also, the first postmaster general was none other than Benjamin Franklin. And the USPS operates over 200,000 vehicles, which is the largest vehicle fleet in the world."
_SAR,TSAR.    	Rimsky-Korsakov's opera 'The Tale of Tsar Saltan' is based on a poem by Alexander Pushkin. The opera is perhaps best remembered as the source of the delightful orchestral interlude known as the 'Flight of the Bumblebee'.
AT_A,"ATRA.    	Fortunately for crossword setters, the Atra razor was introduced by Gillette in 1977. The Atra was sold as the Contour in some markets and its derivative products are still around today."
AR_O,"ARLO.    	Arlo Guthrie is the son of Woody Guthrie. Both father and son are renowned for their singing of protest songs about social injustice. Arlo is most famous for his epic ""Alice's Restaurant Massacree"", a song that lasts a full 18m 34s. In the song Guthrie tells how, after being drafted, he was rejected for service in the Vietnam War based on his criminal record. He had only one incident on his public record, a Thanksgiving Day arrest for littering and being a public nuisance when he was 18-years-old."
_MA,AMA.    	American Medical Association (AMA)
R_O,"ROO.    	Hundred Acre Wood is where Winnie the Pooh lives with his friends. According to a map illustrating the books by A. A. Milne, Hundred Acre Wood is part of a larger forest, with Owl's house sitting right at the center."
E_LE,"ELLE.    	In French, she (elle) is that girl (cette fille) over there."
LA_,"LAS.    	Back in the 1800s, the Las Vegas Valley was given its name from the extensive meadows (""las vegas"" is Spanish for ""the meadows"") present in the area courtesy of the artesian wells drilled by local farmers. Las Vegas was incorporated as a city in 1905, in the days when it was a stopping-off point for pioneers travelling west. It eventually became a railroad town, although with the coming of the railroad growth halted as travelers began to bypass Las Vegas. The city's tourism industry took off in 1935 with the completion of the nearby Hoover Dam, which is still a popular attraction. Then gambling was legalized, and things really started to move. Vegas was picked, largely by celebrated figures in ""the mob"", as a convenient location across the California/Nevada state line that could service the vast population of Los Angeles. As a result, Las Vegas is the most populous US city founded in the 20th century (Chicago is the most populous city founded in the 19th century, just in case you were wondering)."
_RIS,IRIS.    	Iris is a genus of flowering plants that come in a wide variety of flower colors. The term 'iris' is a Greek word meaning 'rainbow'. Many species of irises are called 'flags'. One suggestion is that the alternate name comes from the Middle English 'flagge' meaning 'reed'. This term was used because iris leaves look like reeds.
U_O,"UNO.    	The chain of pizza parlors known today as Uno Chicago Grill used to be called Pizzeria Uno, or just 'Uno's'. Apparently Uno's created the world's first deep dish pizza."
A_A,"ARA.    	Ara Parseghian coached the Notre Dame football team from 1964 to 1974, a period known as ""The Era of Ara""."
_SA,"TSA.    	The Transportation Security Administration (TSA) was created in 2001, soon after the 9/11 attacks. TSA personnel carry out the baggage and body searches at US airports. The TSA has a Trusted Traveler program that allows certain passengers to move more quickly through security screening. These passengers pay the TSA a one-time fee that covers a background check after which successful applicants are issued a Known Traveler Number (KTN)."
_SI,PSI.    	The Greek letter psi is the one that looks a bit like a trident or a pitchfork.
