JAI_,"JAIL.    	""The Usual Suspects"" is somewhat of a cult film now, released in 1995. The cast is amazing, including Gabriel Byrne, Bernicio Del Toro, Kevin Pollak and Kevin Spacey. The title comes from one of the most memorable lines in movie history, from the film ""Casablanca"". The Claude Rains character, Major Renault, pronounces, ""Major Strasser has been shot. Round up the usual suspects."""
_ATE,"LATE.    	The White Rabbit is the first character that Alice meets from Wonderland, in the famous children's tale by Lewis Carroll. When Alice sees him, he is running by saying 'Oh dear! Oh dear! I shall be too late!' and then she follows him down the rabbit hole."
B_N,"BON.    	Bon mot translates from French as ""good word"", and we use it to mean a quip, a witticism."
R_IS,"ROIS.    	'Échecs' is the French for 'chess', and 'roi' is French for 'king'."
LU_E,"LUXE.    	""Luxe"" can be used as an adjective, meaning elegant and sumptuous, posh."
KES_Y,"KESEY.    	Ken Kesey is wrote the novel ""One Flew Over the Cuckoo's Nest"". He was part of a group of friends that called themselves the ""Merry Pranksters"", a bunch of guys that were associated with the likes of Jack Karouac, Allen Ginsberg and Timothy Leary, icons of the beat generation."
_NVY,ENVY.    	The cardinal sins of Christian ethics are also known as the seven deadly sins. The seven deadly sins are:
_LTI,"ALTI.    	In choral music, alto is the second-highest voice in a four-part chorus: soprano, contr(alto), tenor, bass. The word ""alto"" describes the vocal range, that of the deepest, female singing-voice, whereas the term ""contralto"" describes more than just the alto range, but also its quality and timbre. An adult male's voice (not a boy's) with the same range as an alto is called a ""countertenor""."
_OMEO,"ROMEO.    	In Shakespeare's 'Romeo and Juliet', it is explicitly stated that Juliet is 13 years of age, and the assumption is that Romeo is perhaps a little older."
RI_,"RIN.    	The original Rin Tin Tin was a real-life dog, a puppy discovered by a GI in a bombed-out kennel in France during WWI. The soldier named the pup Rin Tin Tin, the same name as a puppet given to American soldiers for luck. On returning to the US, 'Rinty' was trained by his owner and was spotted doing tricks by a film producer. Rinty featured in some films, eventually getting his first starring role in 1923 in the silent movie 'Where the North Begins'. Legend has it that this first Rin Tin Tin died in the arms of actress Jean Harlow. Not a bad way to go ..."
ACT_R,ACTOR.    	The actor Joaquin Phoenix is the brother of actress Summer Phoenix and of the late River Phoenix.
_AP,"EAP.    	Edgar Allan Poe lived a life of many firsts. He is considered to be the inventor of the detective-fiction genre, he was also the first notable American writer to make his living through his writing, something that didn't really go too well for him as he was always financially strapped. In 1849, he was found on the streets of Baltimore, delirious from either drugs or alcohol. He died a few days later in hospital, at 39 years of age."
_AL,"KAL.    	Indian-American actor Kal Penn made a name for himself in the ""Harold & Kumar"" series of comedy films. These so called ""stoner comedies"" are not my cup of tea, but I enjoyed him playing his more mainstream roles on TV's ""House"" and ""24"". He left the world of acting when President Obama won the 2008 election and now works as an Associate Director in the White House Office of Public Engagement (although he did leave the White House briefly to film the ""Harold & Kumar"" sequel)."
YE_R,YEAR.    	A year is defined as the time it takes for the Earth to orbit the Sun.
_UE,"CUE.    	The more correct name for the game of pool is pocket billiards. The name ""pool"" came after pocket billiards became a common feature in ""pool halls"", places where gamblers ""pooled"" their money to bet on horse races."
_NE,"IN E.    	Franz Schubert (1797-1828) was an Austrian composer, particularly noted for his large portfolio of lieder (songs). Schubert's Symphony No. 7 was was left as a draft after he passed away, and as such was ""unfinished"". However, it was more complete than his Symphony No. 8 which is known famously as the ""Unfinished""."
NO_RE,"NOTRE.    	The original name of Montreal was Ville-Marie, meaning the City of Mary. Ville-Marie is now the name of a borough in the city, the borough which includes the downtown area and ""Old Montreal"". The present-day city covers most of the Island of Montreal which lies where the Saint Lawrence and Ottawa Rivers meet. The name Montreal comes from the three-headed hill that dominates the island and is called Mount Royal."
ASP_C,"ASPIC.    	""Aspic"" is a French word for ""jelly""."
_EGIS,"REGIS.    	Regis Philbin is an amazingly popular television personality. He is so in demand, and has had such a long career, that he holds the Guinness World Record for the most time spent in front of a television camera (in excess of 16,000 hours)."
JEE_,"JEER.    	Not so much here in America, but over in the British Isles ""blowing a raspberry"" is a way of insulting someone (I think it's called ""a Bronx cheer"" here in the US)."
SC_MS,"SCAMS.    	A grifter is a confidence trickster, although the term has been used for non-violent criminals in general."
IN_,"IN E.    	Anton Bruckner was an Austrian composer, not a favorite of mine as he embraces the use of dissonances (I'm a sober traditionalist!). His Symphony No. 7 is perhaps his most popular work. He created a slow, mournful movement in recognition of the impending death of Richard Wagner, whom he greatly admired."
REG_S,"REGIS.    	Regis University in Denver is a Roman Catholic, Jesuit school, founded by the Society of Jesus in 1877. Among the alumni of Regis are Campbell Brown, the news host on CNN, and Bill Murray (although Bill Murry just attended the school ... he never graduated)."
PLAT_,"PLATO.    	Plato was a Greek philosopher and mathematician. He was a student of the equally famous and respected Socrates, and Plato in turn was the teacher and mentor of the celebrated Aristotle."
_OHN,"COHN.    	Al Cohn was a jazz saxophone player from Brooklyn, New York. Cohn played with Woody Herman's band for many years."
EG_R,"EGER.    	Eger is a city in the northeast of Hungary, noted among other things for its wine production. I haven't tried them I don't think (although we do drink a fair amount of Hungarian wine in Ireland), but I just read that Eger wines bear a resemblance to wines from Burgundy."
EN_S,"ENDS.    	It is Niccolo Machiavelli's political treatise titled ""The Prince"", and the philosophical opinions expressed therein, that give rise to the term ""Machiavellian"" meaning cunning and devious, especially at the level of state politics."
TO_RE,"TORRE.    	As a manager, Joe Torre was part of four World Series wins, all of them with the New York Yankees baseball team. Torre is an Italian American who was born in Brooklyn, New York. During the run up (pun intended!) to the 2006 Winter Olympics in Turin, Torre carried the Olympic flame part of the way through Florence in Italy, handing it over to the next runner at the famous Ponte Vecchio. I'd guess that was quite a thrill for him ..."
A_F,"ARF.    	Most terrier breeds of dog originated in the British Isles. Terriers were developed as working dogs, with the job of controlling populations of rats, rabbits and foxes by rooting them out above and below the ground. The name 'terrier' comes via Middle French from the the Latin 'terra' meaning 'earth', a reflection of the breeds habit of burrowing into the earth looking for its prey."
_AP,"GAP.    	The Cumberland Gap is a pass in the Appalachian Mountains, lying at the point where the three states of Tennessee, Kentucky and Virginia meet. The pass was long used by Native Americans, before being discovered by explorer Thomas Walker in 1750. The path through the gap was widened by a team of loggers in 1775, and leading the work party was the American pioneer Daniel Boone."
C_TE,"COTE.    	The Old English word ""cote"" was used for a small house. Our modern word ""cottage"" comes from ""cote"", as does ""cote"", the word for a small shelter on a farm for sheep or birds."
_OL,"NOL.    	Lon Nol was a soldier and politician in Cambodia, later serving twice as the country's president. When the Khmer Rouge took over Cambodia in 1975, Nol escaped the country to Indonesia. he eventually found a home in Fullerton, California, where he died in 1985."
LAI_,LAIT.    	In French speaking countries one might serve milk (lait) with cake (gateau).
GA_P,"GARP.    	John Irvine's 1978 novel ""The World According to Garp"" is somewhat biographical. In fact, Irvine's mother found parts of the novel difficult to read, recognizing elements of herself in Garp's mother, Jenny Fields."
C_E,"CIE.    	""Cie."" is an abbreviation used in French. It is short for ""compagnie"", the French word for ""company"", and is used as we would use ""Co."""
KEP_,"KEPI.    	The kepi is that circular cap with a visor, worn in particular by the French military."
P_OLO,"PAOLO.    	Paolo Uccello was a an Italian painter, as well as a mathematician. As such, he is well noted for his work on visual perspective in the world of art. For the first time, his paintings had a sense of depth, setting him apart from his contemporaries. Uccello's most famous work is ""The Battle of San Romano"", a work divided into three large panels. Today, you've got to travel to see all three panels; one is in London, one in Paris, and one in Florence."
ANGE_A,"ANGELA.    	The formidable politician Angela Merkel is the current Chancellor of Germany, the country's head of state. Merkel is the first female German Chancellor and when she chaired the G8 in 2007 she became only the second woman to do so, after the UK's Margaret Thatcher. Merkel grew up in East Germany under Communist rule."
CHI_,"CHIA.    	Chia is a flowering plant in the mint family. A Chia Pet is an invention of the San Francisco company. They did well in the eighties selling terracotta figurines to which were applied moistened chia seeds. The seeds sprout and as they grew the seedlings become the ""fur"" of the Chia Pet."
_IWI,KIWI.    	The kiwi is an unusual bird in that it has a highly developed sense of smell and is the only one of our feathered friends with nostrils located at the tip of its long beak.
_INJA,"NINJA.    	The ninjas were around in Japan at the time of the samurai, but were a very different type of warrior. The ninjas were covert operatives, specializing in the use of stealth to accomplish their missions. As they were a secretive cadre they took on a mystical reputation with the public, who believed they had the ability to become invisible or perhaps walk on water."
ITAL_,"ITALY.    	The 2006 FIFA World Cup (the soccer tournament) was held in Germany. Italy beat France in the final, but only by virtue of a penalty shootout."
RIA_,"RIAS.    	A drowned valley might be called a ria or a fjord, both formed as sea level rises. A ria is a drowned valley created by river erosion, and a fjord is a drowned valley created by glaciation."
E_P,"EAP.    	Edgar Allan Poe lived a life of many firsts. Poe is considered to be the inventor of the detective-fiction genre. He was also the first notable American author to make his living through his writing, something that didn't really go too well for him as he was always financially strapped. In 1849 he was found on the streets of Baltimore, delirious from either drugs or alcohol. Poe died a few days later in hospital at 39 years of age."
SE_AT,SENAT.    	The French Senate ('Sénat') meets in the beautiful Luxembourg Palace ('Palais du Luxembourg') in Paris.
