O_ER,"ONER.    	A lollapalooza is something outstanding, one of a kind."
SOU_A,"SOUSA.    	John Philip Sousa was a composer and conductor from Washington, D.C. Sousa was well known for his patriotic marches and earned himself the nickname 'The American March King'. He served as a member of the US Marine Band from 1868 to 1875, and after leaving the Marines learned to conduct and compose. One of the Sousa compositions that is well-known around the world is called 'The Liberty Bell', a tune used as the musical theme for BBC Television's 'Monty Python's Flying Circus'. Sousa also wrote 'Semper Fidelis', which is the official march of the US Marine Corps."
_CT,"ACT.    	This one took me a while, as I still have trouble using adjectives as adverbs. I'd say ""act naturally""."
PYR_,"PYRO.    	'Pyro-' is the combining form of the Greek word for ""fire"". A pyromaniac (a ""pyro"") is someone with an abnormal desire to start fires, or with a general obsession with fire."
MO_LA,"MOOLA.    	Lettuce, cabbage, kale, dough, scratch, simoleons, clams and moola are all slang terms for money."
S_UDI,"SAUDI.    	Saudi Aramco is the national oil company of Saudi Arabia, and is state-owned. As it's not a publicly traded enterprise, its value isn't known for certain, but it is presumed to be the most valuable company in the world, bar none. That's oil for you ..."
_NDOR,"ENDOR.    	The Ewoks are creatures that live on the moon of Endor, first appearing in ""Star Wars Episode VI: Return of the Jedi"". They're the cute and cuddly guys that look like teddy bears."
N_C,NRC.    	The Nuclear Regulatory Commission oversees most aspects of the safety of nuclear power plants and nuclear fuel in the US.
RO_X,"ROUX.    	A roux is a mixture of wheat flour and clarified butter (or other fat, sometimes) cooked together until it can be used as a thickening agent. Roux is an essential ingredient in French cooking, although ""healthier"" versions are being used more and more these days."
IL_NE,"ILENE.    	Ilene Chaiken was the executive producer for the Showtime drama series ""The L Word"". The show deals with lesbian, bisexual and transgender people living in West Hollywood. The title refers to ""the L word"": lesbian."
E_E,EDE.    	Ede is a small town in the Netherlands located between the cities of Arnhem and Utrecht.
COB_,"COBB.    	I haven't seen ""Inception"" yet, a 2010 sci-fi movie starring Leonardo DiCaprio as Dom Cobb, a professional thief who infiltrates people's dreams for gain. I hear it is great ..."
_ORRE,"TORRE.    	As manager, Joe Torre was part of four World Series wins, all of them with the New York Yankees baseball team. Torre is an Italian American, born in Brooklyn, New York. During the run up (pun intended!) to the 2006 Winter Olympics in Turin, Torre carried the Olympic flame part of the way through Florence in Italy, handing it over to the next runner at the famous Ponte Vecchio. I'd guess that was quite a thrill for him ..."
R_M,RAM.    	The constellation of Aries has come to represent the ram that yielded the Golden Fleece of Greek mythology.
REES_S,"REESE'S.    	Hershey's produces three sizes of peanut butter cup now. Alongside 'standard', we can buy 'mini' and 'big cup'."
LIR_,"LIRR.    	The Long Island Rail Road (LIRR) is the commuter rail service that runs all over Long Island, New York, with 124 stations and 700 miles of track. More people use the LIRR than any other commuter railroad in the US. It is also the only commuter railroad in the country that operates 24 hours a day, 7 days a week."
LS_S,"LSTS.    	LST stands for Landing Ship, Tank. LSTs were the large vessels with doors at either ends, from which tanks and other vehicles could roll off onto beaches. The concept persists to this day, in the huge fleet of commercial roll-on/roll-off ferries, all inspired by the LST."
ES_S,ESTS.    	Estimates are often in the vicinity of the final number.
AC_S,"ACES.    	In the card game called Blackjack, an ace has the point value of one or eleven. When one of the two cards dealt to a player is an ace, the hand is called 'soft'. This means that the player cannot go bust by taking another card, as the ace can be revalued at 'one' if necessary in order to stay under 21."
LI_RA,"LIBRA.    	The constellation of Libra is named for the scales held by the goddess of justice, and is the only sign of the zodiac that isn't named for a living creature."
DIA_,"DIAN.    	Dian Fossey carried out her famous study of gorilla populations in the mountain forests of Rwanda (NB: it was Jane Goodall that worked with chimpanzees). Sadly, Fossey was found dead in her cabin in Rwanda in 1986, murdered in her bedroom, her skull split open by a machete. The crime was never solved."
OCE_N,"OCEAN.    	Ocean County, New Jersey lies on the Atlantic coast between New York City and Atlantic City. Ocean County is actually part of the New York metropolitan area."
A_N,"AWN.    	Awns are hair or bristle-like structures found in numerous species of plants. In some species, like barley, the awns can contain photosynthetic tissue."
TN_T,T-NUT.    	A T-nut is so called because it has a t-shape when viewed from the side.
_ANA,"SANA.    	Sana (also Sanaa) is the capital city of Yemen. Within the bounds of today's metropolis is the old fortified city of Sana, where people have lived for over 2,500 years. The Old City is now a World Heritage Site."
J_N,"JAN.    	Jan and Dean were a rock and roll duo. They were part of the ""surf scene"" along with the Beach Boys. A couple of their memorable hits were ""Surf City"" and ""The Little Old lady from Pasadena"". Tragically, in 1966 was in a car accident and received severe head injuries. He was partially paralyzed and suffered brain damage. Despite the worst prognosis, he managed to walk again, and years later he even worked his way back into the music business."
DY_N,"DYAN.    	The actress Dyan Cannon is perhaps best known for playing Alice in the 1969 film 'Bob & Carol & Ted & Alice', for which she received a Best Actress Oscar nomination. Cannon is also famous for having been on Cary Grant's long list of wives, from 1965 to 1968 (and he was 33 years her senior)."
XE_,"XER.    	The term Generation X originated in the UK where it was the name of a book by Jane Deverson. Her book detailed the results of a study of British youths in 1964, contrasting their lifestyle to those of previous generations. It was Canadian author Douglas Coupland who was responsible for popularizing the term, with his more successful publication ""Generation X: Tales for an Accelerated Culture"". By the latest accepted definition, Gen-Xers were born between 1961 and 1981."
SD_K,"S DAK.    	Here's an old chestnut of a trivia question for you ... what's the only state capital in the Union in which the name of the capital and the name of its state share no common letters? You guessed it ... Pierre, South Dakota ..."
_ERN,"TERN.    	Terns are seabirds that are found all over the world. The Arctic Tern makes a very long-distance migration. One Arctic Tern that was tagged as a chick in Great Britain in the summer of 1982, was spotted in Melbourne, Australia just three months later. The bird had traveled over 14,000 miles in over those three months, an average of about 150 miles a day. Remarkable ..."
SA_E,"SATE.    	The dish known as 'satay' originated in Java, Indonesia and is marinated pieces of meat served on a skewer in a sauce, often a spicy peanut sauce. 'Satay' is the Indonesian spelling, and 'sate' is the Malay spelling."
M_LTA,"MALTA.    	The ""falcon"" reference in this clue is the Dashiell Hammett novel ""The Maltese Falcon""."
