API_N,APIAN.    	'Apis' is the Latin for 'bee'.
TALI_,"TALIA.    	The actress Talia Shire is best-known for playing Rocky's wife Adrian in the 'Rocky' series of movies. She also played Connie, the daughter of Don Corleone, in 'The Godfather' films. Shire is the sister of movie director Francis Ford Coppola and the aunt of actor Nicolas Cage. Her son is the actor Jason Schwartzman."
M_V,"MTV.    	'True Life' is a documentary series on MTV that has been running since 1998. The topics covered by individual episodes seem to vary widely, from drug abuse to martial arts."
BO_R,"BOHR.    	Niels Bohr was a Danish physicist, who won his 1922 Nobel Prize for his work on quantum mechanics and atomic structure. Later in his life, he was part of the team working on the Manhattan Project, developing the first atomic bomb."
ARK_N,"ARKIN.    	The actor Alan Arkin won his only Oscar (Best Supporting Actor) for his role in ""Little Miss Sunshine"" from 2006, a movie that I just did not understand ..."
POE_,POET.    	The meter of a poem is its rhythmic structure.
O_EAN,"OCEAN.    	The Indian Ocean is the third largest of the oceans, after the Pacific and Atlantic."
RAIS_,RAISA.    	Raisa Gorbachova was the wife of Soviet leader Mikhail Gorbachev. There's no doubt that Raisa's charm and personality helped her husband as he toiled to change the image of the Soviet Union.
_LAT,SLAT.    	There are usually a collection of slats at the bottom of a crib.
IM_S,"IMUS.    	Don Imus's syndicated radio show, ""Imus in the Morning"", broadcasts from New York City."
PO_T,POET.    	A poet laureate is a poet who is officially pointed by some institution to compose works for special occasions. The US Poet Laureate is more correctly known as the Poet Laureate Consultant in Poetry to the Library of Congress.
ESPA_A,"ESPANA.    	Madrid is the largest city in Spain and its capital, located very close to the geographical center of the country."
TR_X,"TRIX.    	Trix is a corn-based breakfast cereal that has been around since 1954, produced by General Mills. Ads for the cereal featured Trix Rabbit, who would try hard to get hold of bowls of the cereal. He would always get caught though, and be admonished with, ""Silly rabbit, Trix are for kids!"" With 46% sugar content, the rabbit probably wouldn't have liked it anyway ..."
A_TR,"ASTR.    	In the science of astronomy, one studies galaxies."
S_EAK,"STEAK.    	From the French, a 'restaurateur' (without a letter N) owns or manages a restaurant (with a letter N)."
_BITS,"OBITS.    	""Obituary"" comes from the Latin ""obituaris"", originally the record of the death of a person, although the literal meaning is ""pertaining to death""."
CH_X,"CHEX.    	The original Chex cereal was introduced in 1937 by Ralston Purina. Ralston Purina had a logo with a checkerboard square on it, which gave the pattern to the cereal, as well as its name. Chex used characters from the ""Peanuts"" comic strip in its advertising for many years."
_EC,REC.    	TiVo was introduced in 1999 and was the world's first commercially successful DVR (Digital Video Recorder).
_NTI,"ANTI-.    	The first anti-lock braking system (ABS) was actually developed for use on aircraft, in 1929. The system reduced braking distances for aircraft by 30% because pilots were able to apply a full braking force immediately on landing instead of applying gradual pressure to avoid skidding."
EG_S,EGOS.    	'Ego' is the Latin word for 'I'.
_NAPE,"SNAPE.    	Severus Snape is a character in the Harry Potter novels, played by the wonderful Alan Rickman on the big screen."
