Part of P.D.A.: Abbr..   		4 letters,ASST.    	Personal Digital Assistant (PDA)
Kanga and Roo creator.   		5 letters,"MILNE.    	Kanga is a friend of A. A. Milne's 'Winnie-the-Pooh', and is a kangaroo. She is the mother of Roo, who appears more frequently in the storyline."
Rodeo rope.   		5 letters,REATA.    	'Reata' is the Spanish word for 'lasso'.
"1980s-'90s series based on the fictional firm McKenzie, Brackman, Chaney and Kuzak.   		6 letters","LA LAW.    	""L.A. Law"" ran on NBC from 1986 to 1994, and was one of the network's most successful drama series. It took over from the equally successful ""Hill Street Blues"" in the Thursday night 10 p.m. slot until, after a six-year run, it was itself replaced by yet another respected drama, ""E.R."" The opening credits showed that famous California licence plate. The plate was on a Jaguar XJ for most of the series, but moved onto a Bentley towards the end of the run. For each series the registration sticker was updated, so no laws were being broken."
Taste.   		5 letters,"SAPOR.    	""Sapor"" is another word for a flavor, a quality that can be tasted. ""Sapor"" is the Latin word for ""taste, flavor""."
Gamer's representation.   		6 letters,AVATAR.    	The Sanskrit word 'avatar' describes the concept of a deity descending into earthly life and taking on a persona. It's easy to see how in the world of 'online presences' one might use the word avatar to describe one's online identity.
"Bob who directed ""Cabaret"".   		5 letters","FOSSE.    	Bob Fosse won more Tony Awards for choreography than anyone else, a grand total of eight. He also won an Oscar for Best Director for his 1972 movie ""Cabaret"", even beating out the formidable Francis Ford Coppola who was nominated that same year for ""The Godfather""."
"Polonius, for one.   		4 letters","DANE.    	In Shakespeare's ""Hamlet"", Polonius is an important character, eventually killed by Hamlet, albeit in a case of mistaken identity. He has two famous lines in the play, oft-quoted today. ""To thine own self be true"", and ""Neither a borrower nor a lender be""."
"Actor Davis of ""Get on the Bus"".   		5 letters","OSSIE.    	Ossie Davis was a very successful African-American actor, but also a director, poet, playwright and social activist. One of Davis's better known performances was in the 1993 movie 'Grumpy Old Men', in which he played the owner of the bait shop by the lake."
Sidekick of film and TV.   		5 letters,"TONTO.    	On the television version of 'The Lone Ranger', Tonto was played by the actor Jay Silverheels. Famously, the Lone Ranger's horse was called Silver and Tonto's mount was named Scout. But in the early shows, Tonto rode a horse called White Feller."
Part of the atmosphere depleted by CFCs.   		5 letters,"OZONE.    	Chlorofluorocarbons (CFCs) are the propellants that were once used in aerosols. CFCs make their way up into the ozone layer and trigger a chain reaction that converts ozone (O3) into regular oxygen (O2). That conversion creates 'holes' in the ozone layer. Regular O2 is good stuff, but we need O3 to absorb harmful UV radiation raining down on us. CFC is not good stuff ..."
The end of Samson?.   		4 letters,"-ITE.    	The luggage company called Samsonite started out as the Shwayder Trunk Manufacturing Company in Denver, Colorado in 1910. For quite a few years, Samsonite manufactured and distributed Lego toy building blocks for the North American market."
Meter site.   		3 letters,"CAB.    	We call cabs 'taxis', a word derived from 'taximeter cabs' that were introduced in London in 1907. A taximeter was an automated meter designed to record distance travelled and fare to be charged. The term 'taximeter' evolved from 'taxameter', with 'taxa' being Latin for 'tax, charge'."
Exams offered four times a yr.   		5 letters,LSATS.    	The Law School Admission Test (LSAT) has been around since 1948.
"TV character who said ""Help always come when people fight for right"".   		5 letters","TONTO.    	On the television version of 'The Lone Ranger', Tonto was played by the actor Jay Silverheels. Famously, the Lone Ranger's horse was called Silver and Tonto's mount was named Scout. But in the early shows, Tonto rode a horse called White Feller."
Entourage.   		5 letters,POSSE.    	Our word 'posse' comes from an Anglo-Latin term from the early 15th century 'posse comitatus' meaning 'the force of the county'.
Part of GPS: Abbr..   		4 letters,SYST.    	Global Positioning System (GPS)
Where the Pawnee R.   		3 letters,"KAN.    	The Pawnee River is located in southwestern Kansas. The Pawnee flows into the Arkansas River, which itself flows into the Mississippi."
"Motorist's offense, for short.   		3 letters","DWI.    	In some states, there is no longer a legal difference between a DWI (Driving While Intoxicated) and a DUI (Driving Under the Influence). Other states retain that difference, so that by definition a DUI is a lesser offence than a DWI."
Unreal.   		6 letters,"ERSATZ.    	Something described as 'ersatz' is a copy, and usually not a good one. 'Ersatz' comes from the German verb 'ersetzen' meaning 'to replace'."
Hamburg grr?.   		3 letters,"ACH.    	The German exclamation ""ach!"" is usually translated into English as ""oh!"""
"Surfaces, in a way.   		4 letters","TARS.    	'Tarmac' and 'macadam' are short for ""tarmacadam"". In the 1800s, Scotsman John Loudon McAdam developed a style of road known as ""macadam"". Macadam had a top-layer of crushed stone and gravel laid over larger stones. The macadam also had a convex cross-section so that water tended to drain to the sides. In 1901, a significant improvement was made by English engineer Edgar Purnell Hooley who introduced tar into the macadam, improving the resistance to water damage and practically eliminating dust. The ""tar-penetration macadam"" is the basis of what we now call Tarmac."
Good name for a Dalmatian.   		4 letters,"SPOT.    	The Dalmatian breed of dog originated in Dalmatia, in the Republic of Croatia. Here in the US Dalmatians are known as ""firehouse dogs'. This association dates back to the use of Dalmatians in firehouses to guard the valuable horses that pulled the fire engines."
"Norm of ""This Old House"".   		5 letters","ABRAM.    	Norm Abram is the master carpenter who appeared on the PBS show 'This Old House', and who later starred in the spinoff series called 'The New Yankee Workshop'."
"Grilled, on a menu.   		5 letters","ASADA.    	The name of the dish called 'Carne Asada' translates from Spanish as ""roasted meat""."
Winnie-the-___.   		4 letters,"POOH.    	A. A. Milne's 'Winnie-the-Pooh' has been translated into many languages, and is one of the few modern titles for which there is a Latin version. Alexander Lenard had 'Winnie ille Pu' published in 1958, and two years later it made it to the New York Times Best Seller List, the only book in the Latin language ever to get that honor."
Cuatro y cuatro.   		4 letters,"OCHO.    	In Spanish, 'cuatro y cuatro' (four plus four) is 'ocho' (eight)."
"""Great"" red feature of Jupiter.   		4 letters","SPOT.    	The Great Red Spot oft seen in photographs of Jupiter is a actually a huge storm in the planet's atmosphere. It is believed that this storm has been raging for at least 180 years, and it's not certain if and when it will abate."
