ACR_,ACRE.    	Acre is a port city in northern Israel on Haifa Bay.
RE_SE,"REESE.    	Reese's Peanut Butter Cups were invented by Harry Burnett ""H.B."" Reese. Peanut Butter Cups were originally called penny cups, reflecting the price at which they were sold. Then inflation took over, and maybe that's why they were broken into smaller 'pieces' ..."
LSA_,LSAT.    	The Law School Admission Test (LSAT) has been around since 1948.
E_RE,"EYRE.    	""Jane Eyre"" is of course the novel written by Charlotte Brontë, under the pen name Currer Bell. Over the years, I've shared here on my blogs that the ""Jane Eyre"" story line is a little too dark and Gothic for my taste, but a very persuasive blog reader convinced me to look more at the romantic side of the story and give it a second chance. I watched a wonderful 4-hour television adaptation of the novel made by the BBC a while back and I have to say that because I was focused on the relationship between Jane and Rochester, I was able to push past the Gothic influences (that depress me) so I really enjoyed the story. I thoroughly recommend the 2006 BBC adaptation to fans of the novel."
T_A,TIA.    	Tia Carrere is an actress from Honolulu who got her break in the soap opera 'General Hospital'. Carrere is perhaps best known for playing Cassandra Wong in the 'Wayne's World' movies.
E_IOT,"ELIOT.    	Andrew Lloyd Webber's source material for his hit musical ""Cats"" was T. S. Eliot's ""Old Possum's Book of Practical Cats"". Eliot's collection of whimsical poems was published in 1939, and was a personal favorite of Webber as he was growing up. ""Cats"" is the second longest running show in Broadway history (""Phantom of the Opera"" is the longest and is still running; deservedly so in my humble opinion). my wife and I have seen 'Cats' a couple of times and really enjoyed it ..."
A_AB,"AHAB.    	Moby Dick' is a 1956 big screen adaptation of the Herman Melville novel 'Moby-Dick', which was directed by John Huston and stars Gregory Peck in as Captain Ahab. Huston had always envisioned his own father, Walter Huston, playing Ahab. Sadly, Walter passed away by the time John secured funding to for the film. Part of the film was shot in the harbor of Youghal in County Cork, Ireland. There's a pub In Youghal that was used in some scenes that was renamed 'Moby Dick's' after filming, and I believe you can still get a drink there and see photos of the cast and crew at work."
A_I,"AHI.    	Yellowfin tuna is usually marketed as ""ahi"", its Hawaiian name. Yellowfin tuna is one big fish, often weighing over 300 pounds."
NEM_,"NEMO.    	Little Nemo was the hero in a comic strip drawn by Winsor McCay in the early 1900s. The strip was called 'Little Nemo in Slumberland' when it was published in the 'New York Herald', and then 'In the Land of Wonderland Dreams' when it moved to the 'New York American'."
R_M,"REM.    	The band's known as R.E.M., chose it's name without any reference to Rapid Eye Movement (the stage of sleep when one dreams) as is widely assumed. Apparently in the context of the band, it means absolutely nothing."
NO_L,"NOEL.    	Noel is the French word for the Christmas season, ultimately coming from the Latin word for ""birth"", ""natalis"". Noel has come to be used as an alternative name from a Christmas carol."
ELIO_,"ELIOT.    	T. S. Eliot was awarded the Nobel Prize in Literature in 1948, largely due to his ""Four Quartets"", a set of four poems that Eliot himself considered to be his life's masterpiece."
ACM_,"ACME.    	The ""acme"" is the highest point, coming from the Greek word ""akme"" which has the same meaning."
AL_A,"ALDA.    	Actor Robert Alda was the father of Alan Alda. Robert Alda's most famous role was probably George Gershwin in the 1945 movie ""Rhapsody in Blue"". Robert appeared twice in ""M*A*S*H"", alongside his son."
_LR,"SLR.    	SLR: Single Lens Reflex. Usually cameras with changeable lenses are the SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
LS_T,LSAT.    	The Law School Admission Test (LSAT) has been around since 1948.
C_A,"CSA.    	The Confederate States of America set up government in 1861 just before Abraham Lincoln took office. The CSA conceded defeat on November 6, 1865."
ELIO_,"ELIOT.    	""The Sacred Wood"" is a collection of essays by T. S. Eliot, first published in 1920."
NE_O,"NEMO.    	""Finding Nemo"" is a 2003 animated blockbuster from Pixar. The film was the winner of the Oscar that year for Best Animated Feature. Believe it or not, ""Finding Nemo"" is the best-selling DVD of all time and, until 2010's ""Toy Story 3"", it was the highest-grossing, G-rated movie at the box office."
O_IO,"OLIO.    	Olio is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used when cooking the stew."
E_MO,"ELMO.    	Tickle Me Elmo was a sensational fad in the late nineties, with stores raising prices dramatically above the recommended retail price to take advantage of demand. Reportedly, prices as high as $1500 were paid at the height of the craze. The toy's manufacturer, Tyco, originally planned to market the ""tickle"" toy as Tickle Me Tasmanian Devil (after the ""Looney Tunes"" character), but then went with ""Elmo"" after they bought the rights to use ""Sesame Street"" names."
TA_,"TAU.    	Torque can be thought of as a turning force, say the force needed to tighten a bolt or a nut. In physics, torque is represented by the Greek letter tau."
_ESA,"MESA.    	The city of Mesa, Arizona is in effect a suburb of Phoenix. The original settlement of non-Native Americans was founded by Daniel Webster Jones who led a Mormon group from St. George, Utah. The settlement was first called Jonesville, then Fort Utah and eventually Lehi. A second group of Mormons arrived and formed a settlement on top of a nearby mesa. It was this use of a mesa that eventually gave the city its current name."
C_N,"CNN.    	CNN (Cable News Network) was launched in 1980, and was the first television channel in the world to provide news coverage 24 hours a day."
EO_,"EOS.    	In Greek mythology, Eos is the goddess of the dawn who lived at the edge of the ocean. Eos would wake each morning to welcome her brother Helios the sun. The Roman equivalent of Eos is Aurora."
E_RL,EARL.    	Earl Monroe is a retired professional basketball player who played for the Baltimore Bullets and the New York Knicks.
O_IO,"OLIO.    	'Olio' is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used for cooking."
_LMO,"ELMO.    	The Adventures of Elmo in Grouchland' is a 1999 film, the ninth in the 'Sesame Street' series of movies. It is also the ninth in the series of 'Sesame Street' films that I haven't seen ..."
DT_,"DTS.    	The episodes of delirium that can accompany withdrawal from alcohol are called Delirium Tremens (the DTs). The literal translation of this Latin phrase is ""trembling madness""."
ER_E,"ERLE.    	I must have read all of the Perry Mason books when I was in college. I think they kept me sane when I was facing the pressure of exams. Author Erle Stanley Gardner was himself a lawyer, although he didn't get into the profession the easy way. Gardner went to law school, but got himself suspended after a month. So, he became a self-taught attorney and opened his own law office in Merced, California. Understandably, he gave up the law once his novels became successful."
_AR,"EAR.    	Those would be earbuds, headphones."
EE_,EEO.    	Equal Employment Opportunity (EEO) is a term that has been around since 1964 when the Equal Employment Commission was set up by the Civil Rights Act.
MI_,MIA.    	Missing in action (MIA)
ET_S,"ETES.    	Saint-Tropez is a town in southeastern France on the French Riviera. These days, Saint-Tropez is very much associated with the European and American jet set."
CP_,"CPA.    	Back in 1913, 'Tax Day' was March 1st, and this was moved to March 15th in 1918. We've been filing returns by April 15th since 1955."
_PR,"APR.    	Fort Sumter is a fortification lying on an artificially constructed island in Charleston Harbor in South Carolina. In December 1860, when South Carolina seceded from the Union, US Army forces relocated to Fort Sumter deeming it to be a relatively defensible location. On April 11, 1861, confederate forces demanded that the fort be surrendered. When the defenders refused to budge, confederate artillery opened fire at 4:30 in the morning of April 12, 1861, starting the American Civil War."
_BEL,ABEL.    	Abel Ferrara is a screenwriter and film director noted for his work on independent movies. Ferrara's best-known film is probably the 1990 crime drama 'King of New York' starring Christopher Walken.
_AI,"TAI.    	The Mai Tai cocktail is strongly associated with the Polynesian islands, but the drink was supposedly invented in 1944 in Trader Vic's restaurant in Oakland, California. One recipe is 6 parts white rum, 3 parts orange curaçao, 3 parts Orgeat syrup, 1 part rock candy syrup, 2 parts fresh lime juice, all mixed with ice and then a float added of 6 parts dark rum."
AP_,"APE.    	Gibbons are referred to as lesser apes as they differ in size and behavior from the great apes e.g. chimpanzees, gorillas, orangutans and humans."
_TAS,ETAS.    	Expected time of arrival (ETA)
_DA,"PDA.    	A device like perhaps an iPhone, Droid, or Treo can be termed a Personal Digital Assistant (PDA)."
ALD_,"ALDA.    	Alan Alda has had a great television career, especially of course on 'M*A*S*H'. Alda won his first Emmy in 1972, for playing Hawkeye Pierce on 'M*A*S*H'. He won his most recent Emmy in 2006 for his portrayal of Presidential candidate Arnold Vinick in 'The West Wing'. When it comes to the big screen, my favorite of Alda's movies is the 1978 romantic comedy 'Same Time, Next Year' in which he starred opposite Ellen Burstyn."
_TAH,"UTAH.    	Pac-12 is an abbreviation for the Pacific-12 Conference, a college athletic conference in the western US. The Pac-12 has won more NCAA National Team Championships than any other conference. The Pac-12 was founded in 1915 as the Pacific Coast Conference (PCC). Over time as it grew, the conference went by the names Big Five, Big Six, Pacific-8, Pacific-10 and became the Pacific-12 in 2011."
_OEL,"NOEL.    	Noel Coward was the most flamboyant of personalities, a playwright, composer and actor. Coward worked in a remarkable range of genres. He wrote the wonderfully airy play ""Blithe Spirit"", as well as the Oscar-winning WWII naval drama ""In Which We Serve"". A couple of his more famous songs, many of which he performed himself in cabaret, were ""Mad Dogs and Englishmen"" and ""London Pride""."
O_EC,"OPEC.    	The OPEC cartel (the Organization of the Petroleum Exporting Countries) was formally established in 1960 and has been headquartered in Vienna since 1965. The US is actually the third largest oil producer in the world (after Russia and Saudi Arabia), but isn't part of OPEC. One reason America isn't a member is that even though we are one of the big producers we import a lot more than we export. But you probably knew that already ..."
M_A,"MBA.    	The world's first MBA degree was offered by Harvard's Graduate School of Business Administration, in 1908."
O_AHA,"OMAHA.    	Omaha is the largest city in the state of Nebraska. When Nebraska was still a territory Omaha was its capital, but when Nebraska achieved statehood the capital was moved to the city of Lincoln."
Y_ER,"YSER.    	The Yser originates in northern France and flows through Belgium into the North Sea. The Yser is often associated with WWI as it figured in a major battle early in the conflict. In the first three months of the war, the German Army pushed almost completely through Belgium, inflicting heavy losses on the Belgian Army as the defenders were forced to fight a fast-moving rearguard action. The Germans were intent on pushing right through Belgium and across France in a ""race to the sea"". But the Belgians, with the help of their Allies, decided to make a final stand at the Yser Canal in an effort to prevent the Germans reaching the French ports of Calais and Dunkirk. The 22-mile long defensive line was chosen at the Yser because the river and canal system could be flooded to create a barrier that might be defended. The plan was successful and the front was ""stabilized"". As we now know, millions of lives were lost over the coming years with very little movement of that battle line."
R_M,REM.    	REM is an acronym standing for Rapid Eye Movement sleep. REM sleep takes up 20-25% of the sleeping hours and is the period associated with one's most vivid dreams.
ASN_R,"ASNER.    	And the role of course was that of Lou Grant in ""The Mary Tyler Moore Show"". And did you know that Gavin Newsom, the up and coming Mayor of San Francisco, is Asner's nephew (through his wife)?"
_BEL,"ABEL.    	Yep, ABEL sounds like ABLE. The story of Cain and Abel not only appears in the Bible. It also features in the Qur'an, where the brothers are named Kabil and Habil."
