ERN_T,ERNST.    	(61A. See 13-Down : MACH)
_MO,HMO.    	Health Maintenance Organization.
U_R,UAR.    	The United Arab Republic (UAR) was a union between Egypt and Syria made in 1958 and dissolved in 1961 when Syria pulled out of the arrangement.
_AGU,"RAGU.    	The Ragú brand of pasta sauce is owned by Unilever. The name "" Ragù"" is the Italian word for a sauce used to dress pasta, however the spelling is off a little. In Italian the word is ""Ragù"" with a grave accent over the ""u"", but if you look at a jar of the sauce on the supermarket shelf it is spelled ""Ragú"" on the label, with an acute accent. Sometimes I think we just don't try ..."
_PU,"APU.    	In one episode of ""The Simpsons"", there appears a barbershop quartet that was founded by Homer Simpson, a group that has a history similar to that of the Beatles. The episode was recorded back in 1993, so George Harrison was around to make a guest appearance in a crowd scene as himself. The Be Sharps members are Homer Simpson, Principal Skinner, Barney Gumble and Apu Nahasapeemapetilon. The actual singing voices were provided by the Dapper Dans, a real-life quartet from Disneyland in Anaheim."
A_/DC,"AC/DC.    	The Heavy Metal band known as AC/DC was formed by two brothers in Australia. The group is usually called ""Acca Dacca"" down under."
A_C,ABC.    	'This Week' is an ABC Sunday morning political show that premiered in 1981.
N_TE,"NATE.    	Nate Silver is a statistician who first gained notoriety by developing a forecasting system that predicted the future performance of baseball players. He then made a name for himself in the world of politics by predicting the outcome of the 2008 US presidential race. Silver successfully predicted the outcome of the election in 49 of the 50 states, missing out on Indiana, which Barack Obama won by less than 1% of the vote."
LAT_E,"LATTE.    	The name latte is an abbreviation of the Italian ""caffelatte"" meaning coffee (and) milk. Note that in the original spelling of latte, the Italian word for milk, there is no accent over the last ""e"", an error that we see a lot, perhaps meant to suggest that the word is French. In fact the French equivalent of a ""latte"" is ""cafe au lait""."
SA_A,"SARA.    	Daryl Hall & John Oates are a pop music duo, most successful in the late seventies and early eighties. They had six number one hits, including the 1982 release ""Maneater""."
ALB_,"ALBA.    	Actress Jessica Alba got her big break when she was cast in the Fox science fiction show 'Dark Angel'. Alba had a tough life growing up as she spent a lot of time in hospital and so found it difficult to develop friendships. As a youngster she twice had a collapsed lung, frequently caught pneumonia, suffered from asthma, had a ruptured appendix and a tonsillar cyst. On top of all that she acknowledges that she suffered from obsessive-compulsive disorder as a child. It seems that she has really turned her life around ..."
U_R,UAR.    	The United Arab Republic (UAR) was a union between Egypt and Syria made in 1958 and dissolved in 1961 when Syria pulled out of the arrangement.
X_NA,"XENA.    	The Xena character, famously played by New Zealander Lucy Lawless, was introduced in a made-for-TV movie called 'Hercules and the Amazon Women'. Lawless reprised the role in a series called ""Hercules: The Legendary Journeys"". Xena became so popular that a series was built around her character, with Lawless retained for the role."
RO_C,"ROTC.    	The Reserve Officers' Training Corps (ROTC) is a training program for officers based in colleges all around the US. The ROTC program was established in 1862 when as a condition of receiving a land-grant to create colleges, the federal government required that military tactics be part of a new school's curriculum."
C_D,"CAD.    	Our word ""cad"", meaning ""a person lacking in finer feelings"", is a shortening of the word ""cadet"". ""Cad"" was first used for a servant, and then students at British universities used ""cad"" as a term for a boy from the local town. ""Cad"" took on its current meaning in the 1830s."
NA_T,"NAST.    	Thomas Nast was an American caricaturist and cartoonist. He was the creator of the Republican Party elephant, the Democratic Party's donkey, Uncle Sam and the image of the plump and jocular Santa Claus that we use today."
ENR_N,"ENRON.    	After all the trials following the exposure of fraud at Enron, several of the key players ended up in jail. Andrew Fastow was the Chief Financial Officer. He plea-bargained and received ten years without parole, and became the key witness in the trials of others. Even Fastow's wife was involved and she was sentenced to one year for helping her husband hide money. Jeffrey Skilling (ex-CEO) was sentenced to 24 years and 4 months. Kenneth Lay (CEO) died in 2006 after he had been found guilty but before he could be sentenced. The accounting firm Arthur Andersen was found guilty of obstruction of justice for shredding thousands of pertinent documents and deleting emails and files (a decision that the Supreme Court later overturned on a technicality). But still, Arthur Andersen collapsed under the weight of the scandal and 85,000 people lost their jobs (despite only a handful being directly involved with Enron)."
XEN_,"XENA.    	Lucy Lawless is a New Zealand actress (and singer), famous for playing the title role in TV's ""Xena: Warrior Princess"". Lawless first played the Xena character in a made-for-TV movie called ""Hercules and the Amazon Women"", and later played the character again in a series called ""Hercules: The Legendary Journeys"". Xena became so popular that a series was built around the character, with Lawless retained for the role."
SEA_,SEAN.    	Sean Lennon is the only child of John Lennon and Yoko Ono. Sean's godfather is Elton John.
ES_EX,"ESSEX.    	Essex is a county in England, referred to as one of the 'home counties'."
_HARA,"O'HARA.    	BUtterfield 8' (note the capitalization of both the 'B' and the 'U') is a film released in 1960 starring Elizabeth Taylor and Laurence Harvey. The title of the movie, and of the John O'Hara novel on which the film is based, is actually a telephone number. Up to the mid-sixties, telephone exchanges were given names rather than numbers. BUtterfield 8 was an exchange in the wealthy Upper East Side of Manhattan, and dialling of BU-8 was equivalent to 28-8, the first three digits of a 7-digit phone number."
_VAN,EVAN.    	Evan Longoria plays baseball for the Tampa Bay Rays. Evan would like everyone to know that he is no relation to Eva Longoria the actress.
_RS,"RRS.    	The Pennsylvania Railroad (PRR) was a large rail network in the northeast that was founded in 1846. Even though the 'Pennsy' (as it was called) was the busiest railroad in the first half of the twentieth century, it went out of business in 1968. The PRR was also the largest public company in the world at one point, and it still holds the record for the longest continuous dividend history, having paid out an annual dividend for over one hundred years in a row."
M_N,"MSN.    	MSN was originally called The Microsoft Network, and was introduced in 1995 as an integral part of Microsoft's Windows 95 operating system. MSN is a whole bundle of services including email, instant messaging, and the MSN.com portal (which is the 9th most visited site on the Internet)."
NO_H,"NOAH.    	The 2014 epic film 'Noah' stars Russell Crowe in the title role, and is based on the biblical story of 'Noah's Ark'. The film was largely shot in Southern Iceland. Scenes that included the ark itself were shot in Upper Brookville, New York at the Planting Fields Arboretum."
_ARE,"AARE.    	The Aar (also called the ""Aare"" in German) is the longest river entirely in Switzerland. A famous spot along the river is the Reichenbach Falls in the center of the country, actually a series of waterfalls near the city of Meiringen. These falls are celebrated in the world of literature as it was here that Sherlock Holmes fell to his supposed doom with his nemesis Professor Moriarty (in ""The Adventure of the Final Problem"")."
OR_O,"ORZO.    	Orzo is pasta that has been formed into granular shapes, much like barley. And indeed, ""orzo"" is the Italian word for ""barley""."
ALB_,ALBA.    	María Cayetana de Silva was the 13th duchess of Alba. She was a favorite subject of the Spanish painter Francisco Goya. The duchess is the subject in the famous portraits known as 'La maja desnuda' (The Nude Maja) and 'La maja vestida' (The Clothed Maja). 'Maja' translates from Spanish as 'beautiful lady'.
K_NO,"KENO.    	The name ""Keno"" has French or Latin roots, with the French ""quine"" being a term for five winning numbers, and the Latin ""quini"" meaning ""five each"". The game originated in China and was introduced into the West by Chinese immigrants who were working on the first Transcontinental Railroad in the 1800s."
ER_ST,"ERNST.    	Ernst & Young is one of the Big Four accountancy firms, alongside Deloitte, KPMG and PricewaterhouseCoopers. Ernst & Young is headquartered in London."
E_ICA,"ERICA.    	Erica Durance is an actress from Calgary, Alberta. Durance played Lois Lane in the TV show 'Smallville' and now plays the lead in the medical drama 'Saving Hope'."
