Announcer Hall.   		3 letters,EDD.    	Edd Hall is most famous as the former announcer for Jay Leno on 'The Tonight Show'.
Battle of Normandy city.   		4 letters,"CAEN.    	Caen, on the River Orne, lies in the Calvados department of France in the northwest of the country. Caen is famous for the WWII Battle of Caen that left the town practically destroyed. Caen is also the burial place of the Norman King William I of England, also known as William the Conqueror after his victory at the Battle of Hastings in 1066."
Porch light circler.   		4 letters,"MOTH.    	It isn't really understood why moths are attracted to artificial lights. There is one theory that sounds plausible to me though. It is suggested that moths navigate at night by maintaining the moon (the brightest celestial object) at a fixed angle. When a moth finds a brighter light source, like an artificial light, it gets confused."
Peeved state.   		4 letters,"SNIT.    	The exact etymology of 'snit', meaning 'fit of temper', isn't really known. The term was first used in print in the play 'Kiss the Boys Goodbye' by Clare Booth Luce, which dates back to the 1930s and is set in the American South."
Hellion.   		3 letters,"IMP.    	A 'hellion' is a mischievous and wild person. 'Hellion' is a North American term, probably derived for the word that we use for the same thing on the other side of the Atlantic, which is 'hallion'."
"The first ""A"" in N.C.A.A.: Abbr..   		3 letters","ATH.    	The National Collegiate Athletic Association (NCAA) dates back to the Presidency of Theodore Roosevelt. When his son broke his nose playing football at Harvard, President Roosevelt turned his attention to the number of serious injuries and even deaths occurring in college sports. He instigated meetings between the major educational institutions leading to the formation of the Intercollegiate Athletic Association of the United States (IAAUS) in 1906, which was given the remit of regulating college sports. The IAAUS became the NCAA in 1910."
Dress (up).   		3 letters,"TOG.    	The verb ""tog"", meaning to dress up, comes from the Latin ""toga"". ""Tog"" can be use as an informal word for a coat or a cloak. Back in Ireland, togs are what we call swimming shorts."
Something that gets MADD mad.   		3 letters,"DWI.    	In some states, there is no longer a legal difference between a DWI (Driving While Intoxicated) and a DUI (Driving Under the Influence). Other states retain that difference, so that by definition a DUI is a lesser offence than a DWI."
Word with letters?.   		4 letters,ARTS.    	'Arts and letters' is a term used for fine arts and literature.
Snow ___.   		4 letters,"PEAS.    	Snow peas are lovely vegetables, noted for having edible pods without that any inedible fiber."
Dress (up).   		3 letters,"TOG.    	The verb ""tog"", meaning to dress up, comes from the Latin ""toga"". ""Tog"" can be use as an informal word for a coat or a cloak. Back in Ireland, togs are what we call swimming shorts."
Early counters.   		5 letters,"ABACI.    	The abacus was used as a counting frame long before man had invented a numerical numbering system. It is a remarkable invention, particularly when one notes that it is still widely used today across Africa and Asia."
Kimono securers.   		4 letters,OBIS.    	The sash worn as part of traditional Japanese dress is known as an obi. The obi can be tied in what is called a butterfly knot.
Herr's honey.   		4 letters,"FRAU.    	In Germany, the lady of the house (haus) is the wife (frau)."
Flavor.   		5 letters,"SAPOR.    	""Sapor"" is another word for a flavor, a quality that can be tasted. ""Sapor"" is the Latin word for ""taste, flavor""."
Actress Cannon.   		4 letters,"DYAN.    	In the 1969 film ""Bob & Carol & Ted & Alice"", Dyan Cannon played Alice, a role which earned her an Oscar nomination. She is also famous for having been on Cary Grant's long list of wives, from 1965 to 1968 (and he was 33 years her senior)."
Two-channel.   		6 letters,"STEREO.    	Monophonic sound (""mono"") is sound reproduced using just one audio channel, which is usually played out of just one speaker. Stereophonic sound is reproduced using two audio channels, with the sound from each channel played out of two different speakers. The pair of stereo speakers are usually positioned apart from each other so that sound appears to come from between the two. Quadraphonic sound (4.0 surround sound) uses four audio channels with the sound played back through four speakers often positioned at the corners of the room in which one is listening."
Banks with a lot of money.   		4 letters,"TYRA.    	Tyra Banks is a tremendously successful model and businesswoman. Banks created and hosts the hit show 'America's Next Top Model ', and also has her own talk show. She was also the first African American woman to make the cover of the 'Sports Illustrated"" swimsuit issue."
Umpire's cry.   		3 letters,LET.    	An umpire might call 'let' in a game of tennis.
One side of the Hoover Dam: Abbr..   		3 letters,"NEV.    	When the magnificent Hoover Dam was completed in 1936, it was the largest hydroelectric plant in the world as well as being the world's largest concrete structure. The dam is named after Herbert Hoover for his role in having the dam built when he was Secretary of Commerce and his later support as US President. When the dam was finally put into service in 1936, the project was two years ahead of schedule. Those were the days ..."
