ETR_,ETRE.    	The French for 'to be' is 'être'.
AHA_,"AHAB.    	Captain Ahab is the obsessed and far from friendly captain of the Pequod in Herman Melville's ""Moby-Dick"". The role of Captain Ahab was played by Gregory Peck in the 1956 John Huston film adaptation. Patrick Stewart played Ahab in a 1998 miniseries in which Peck made another appearance, as Father Mapple."
_IA,"MIA.    	Mia Wasikowska is an Australian actress. Wasikowska's breakthrough role was playing the title character in Tim Burton's 'Alice in Wonderland' in 2010. The only movie I've seen her in though is 2011's 'Jane Eyre', a pretty good adaptation of the Charlotte Brontë classic, I thought ..."
_SER,"YSER.    	The Yser originates in northern France and flows through Belgium into the North Sea. The Yser is often associated with WWI as it figured in a major battle early in the conflict. In the first three months of the war, the German Army pushed almost completely through Belgium, inflicting heavy losses on the Belgian Army as the defenders were forced to fight a fast-moving rearguard action. The Germans were intent on pushing right through Belgium and across France in a ""race to the sea"". But the Belgians, with the help of their Allies, decided to make a final stand at the Yser Canal in an effort to prevent the Germans reaching the French ports of Calais and Dunkirk. The 22-mile long defensive line was chosen at the Yser because the river and canal system could be flooded to create a barrier that might be defended. The plan was successful and the front was ""stabilized"". As we now know, millions of lives were lost over the coming years with very little movement of that battle line."
_AU,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
_OE,MOE.    	
EA_L,"EARL.    	In the ranking of nobles, an earl comes above a viscount and below a marquess. The rank of earl is used in the British peerage system and is equivalent to the rank of count in other countries. Other British ranks have female forms (e.g. marquess and marchioness, viscount and viscountess), but there isn't a female word for the rank of earl. A female given the same rank as an earl is known simply as a countess."
E_ES,ETES.    	One might spend the summer (été) under the sun (le soleil) in French-speaking countries.
TA_,"TAI.    	The Mai Tai cocktail is strongly associated with the Polynesian islands, but the drink was supposedly invented in 1944 in Trader Vic's restaurant in Oakland, California. One recipe is 6 parts white rum, 3 parts orange curaçao, 3 parts Orgeat syrup, 1 part rock candy syrup, 2 parts fresh lime juice, all mixed with ice and then a float added of 6 parts dark rum."
CH_,CHE.    	'Che' is 'that' in Italian.
C_A,CSA.    	The Confederate States of America (CSA) set up government in 1861 just before Abraham Lincoln took office. Jefferson Davis was selected as President of the CSA at its formation and retained the post for the life of the government.
