ASS_,ASST.    	Personal Digital Assistant (PDA)
_ILNE,"MILNE.    	Kanga is a friend of A. A. Milne's 'Winnie-the-Pooh', and is a kangaroo. She is the mother of Roo, who appears more frequently in the storyline."
REAT_,REATA.    	'Reata' is the Spanish word for 'lasso'.
LALA_,"LA LAW.    	""L.A. Law"" ran on NBC from 1986 to 1994, and was one of the network's most successful drama series. It took over from the equally successful ""Hill Street Blues"" in the Thursday night 10 p.m. slot until, after a six-year run, it was itself replaced by yet another respected drama, ""E.R."" The opening credits showed that famous California licence plate. The plate was on a Jaguar XJ for most of the series, but moved onto a Bentley towards the end of the run. For each series the registration sticker was updated, so no laws were being broken."
S_POR,"SAPOR.    	""Sapor"" is another word for a flavor, a quality that can be tasted. ""Sapor"" is the Latin word for ""taste, flavor""."
AVA_AR,AVATAR.    	The Sanskrit word 'avatar' describes the concept of a deity descending into earthly life and taking on a persona. It's easy to see how in the world of 'online presences' one might use the word avatar to describe one's online identity.
FOS_E,"FOSSE.    	Bob Fosse won more Tony Awards for choreography than anyone else, a grand total of eight. He also won an Oscar for Best Director for his 1972 movie ""Cabaret"", even beating out the formidable Francis Ford Coppola who was nominated that same year for ""The Godfather""."
D_NE,"DANE.    	In Shakespeare's ""Hamlet"", Polonius is an important character, eventually killed by Hamlet, albeit in a case of mistaken identity. He has two famous lines in the play, oft-quoted today. ""To thine own self be true"", and ""Neither a borrower nor a lender be""."
OSS_E,"OSSIE.    	Ossie Davis was a very successful African-American actor, but also a director, poet, playwright and social activist. One of Davis's better known performances was in the 1993 movie 'Grumpy Old Men', in which he played the owner of the bait shop by the lake."
TON_O,"TONTO.    	On the television version of 'The Lone Ranger', Tonto was played by the actor Jay Silverheels. Famously, the Lone Ranger's horse was called Silver and Tonto's mount was named Scout. But in the early shows, Tonto rode a horse called White Feller."
O_ONE,"OZONE.    	Chlorofluorocarbons (CFCs) are the propellants that were once used in aerosols. CFCs make their way up into the ozone layer and trigger a chain reaction that converts ozone (O3) into regular oxygen (O2). That conversion creates 'holes' in the ozone layer. Regular O2 is good stuff, but we need O3 to absorb harmful UV radiation raining down on us. CFC is not good stuff ..."
_TE,"-ITE.    	The luggage company called Samsonite started out as the Shwayder Trunk Manufacturing Company in Denver, Colorado in 1910. For quite a few years, Samsonite manufactured and distributed Lego toy building blocks for the North American market."
C_B,"CAB.    	We call cabs 'taxis', a word derived from 'taximeter cabs' that were introduced in London in 1907. A taximeter was an automated meter designed to record distance travelled and fare to be charged. The term 'taximeter' evolved from 'taxameter', with 'taxa' being Latin for 'tax, charge'."
LSAT_,LSATS.    	The Law School Admission Test (LSAT) has been around since 1948.
TONT_,"TONTO.    	On the television version of 'The Lone Ranger', Tonto was played by the actor Jay Silverheels. Famously, the Lone Ranger's horse was called Silver and Tonto's mount was named Scout. But in the early shows, Tonto rode a horse called White Feller."
P_SSE,POSSE.    	Our word 'posse' comes from an Anglo-Latin term from the early 15th century 'posse comitatus' meaning 'the force of the county'.
_YST,SYST.    	Global Positioning System (GPS)
KA_,"KAN.    	The Pawnee River is located in southwestern Kansas. The Pawnee flows into the Arkansas River, which itself flows into the Mississippi."
D_I,"DWI.    	In some states, there is no longer a legal difference between a DWI (Driving While Intoxicated) and a DUI (Driving Under the Influence). Other states retain that difference, so that by definition a DUI is a lesser offence than a DWI."
ERSAT_,"ERSATZ.    	Something described as 'ersatz' is a copy, and usually not a good one. 'Ersatz' comes from the German verb 'ersetzen' meaning 'to replace'."
_CH,"ACH.    	The German exclamation ""ach!"" is usually translated into English as ""oh!"""
