Lollapalooza.   		4 letters,"ONER.    	A lollapalooza is something outstanding, one of a kind."
"""The Washington Post March"" figure.   		5 letters","SOUSA.    	John Philip Sousa was a composer and conductor from Washington, D.C. Sousa was well known for his patriotic marches and earned himself the nickname 'The American March King'. He served as a member of the US Marine Band from 1868 to 1875, and after leaving the Marines learned to conduct and compose. One of the Sousa compositions that is well-known around the world is called 'The Liberty Bell', a tune used as the musical theme for BBC Television's 'Monty Python's Flying Circus'. Sousa also wrote 'Semper Fidelis', which is the official march of the US Marine Corps."
"""___ natural"".   		3 letters","ACT.    	This one took me a while, as I still have trouble using adjectives as adverbs. I'd say ""act naturally""."
Firebug.   		4 letters,"PYRO.    	'Pyro-' is the combining form of the Greek word for ""fire"". A pyromaniac (a ""pyro"") is someone with an abnormal desire to start fires, or with a general obsession with fire."
Scratch.   		5 letters,"MOOLA.    	Lettuce, cabbage, kale, dough, scratch, simoleons, clams and moola are all slang terms for money."
Like the Aramco oil company.   		5 letters,"SAUDI.    	Saudi Aramco is the national oil company of Saudi Arabia, and is state-owned. As it's not a publicly traded enterprise, its value isn't known for certain, but it is presumed to be the most valuable company in the world, bar none. That's oil for you ..."
"""Return of the Jedi"" moon.   		5 letters","ENDOR.    	The Ewoks are creatures that live on the moon of Endor, first appearing in ""Star Wars Episode VI: Return of the Jedi"". They're the cute and cuddly guys that look like teddy bears."
Atomic energy oversight agcy.   		3 letters,NRC.    	The Nuclear Regulatory Commission oversees most aspects of the safety of nuclear power plants and nuclear fuel in the US.
Sauce thickener.   		4 letters,"ROUX.    	A roux is a mixture of wheat flour and clarified butter (or other fat, sometimes) cooked together until it can be used as a thickening agent. Roux is an essential ingredient in French cooking, although ""healthier"" versions are being used more and more these days."
"""The L Word"" producer Chaiken.   		5 letters","ILENE.    	Ilene Chaiken was the executive producer for the Showtime drama series ""The L Word"". The show deals with lesbian, bisexual and transgender people living in West Hollywood. The title refers to ""the L word"": lesbian."
Dutch city ESE of Utrecht.   		3 letters,EDE.    	Ede is a small town in the Netherlands located between the cities of Arnhem and Utrecht.
