MO_AR,MOLAR.    	Molars are grinding teeth. The term 'molar' comes from the Latin 'mola' meaning 'millstone'.
CHI_O,"CHINO.    	Chino is a twill cloth most often used to make hard-wearing pants. The pants have come to be referred to as chinos. Chino cloth was originally developed for use by the military, but quickly became popular with civilians."
APOSTL_,"APOSTLE.    	In the Christian tradition, John the Apostle was one of the twelve followers of Jesus who were called the Apostles. John lived longer than all of the other Apostles and was the only one who did not die a martyr. John wrote the Gospel of John in the New Testament, as well as three Epistles of John and the Book of Revelation."
VA_P,VAMP.    	A 'vamp' (short for vampire) is a seductive woman.
ED_IN,"EDWIN.    	The famous Hubble Space Telescope was installed in orbit by the Space Shuttle Discovery in 1990. The telescope was named for the astronomer Edwin Hubble, the man who changed our view of the universe by postulating that the universe is expanding."
MAX_M,"MAXIM.    	""Maxim"" is an international men's magazine featuring revealing photo spreads (non-nude in the US) of female celebrities and models."
DAY_,"DAY-O.    	'Day-O (The Banana Boat Song)' is a traditional folk song from Jamaica. It is sung from the standpoint of dock workers unloading boats on the night shift, so daylight has come, and they want to go home. The most famous version of 'Day-O' was recorded by Harry Belafonte, in 1956."
B_UCELEE,"BRUCE LEE.    	Bruce Lee was born not far from here in San Francisco although he was raised in Hong Kong, returning to the US to attend college. Sadly, Bruce Lee died when he was only 32 years old, due to cerebral edema (a swelling of the brain) attributed to adverse reactions to the pain killing drug Equagesic."
P_LE,"PYLE.    	Jim Nabors was discovered by Andy Griffith and brought onto ""The Andy Griffith Show"" as Gomer Pyle, the gas station attendant. Famously, Nabors then got his own show called ""Gomer Pyle, U.S.M.C."" Gomer had a cousin on the 'The Andy Griffiths Show' called Goober Pyle. Goober was played by George Lindsay. Lindsay had auditioned for the Gomer part, but that went to Nabors."
C_ORS,"COORS.    	Adolph Coors founded the Coors brewing company in 1873, in Golden, Colorado. Coors was originally from the Rhine Province in Prussia, and worked in various brewers around what is today Germany before immigrating to the US in 1868. Despite all of his success as a brewer here in America, Coors ended up taking his own life in 1929, by jumping to his death out of a hotel window."
A_MAN,"AMMAN.    	Amman is the capital city of Jordan, and is one of the oldest continuously-inhabited cities in the world. Amman has been occupied by a number of different civilizations over the centuries, including the Greeks who called it Philadelphia, a name retained by the Romans when they occupied the city just after 100 AD."
_ILY,"OILY.    	Back in the 1760s, the verb 'shampoo' was an Anglo-Indian word meaning 'to massage'. A century later we started to shampoo our hair."
OJ_I,"OJAI.    	The city of Ojai, California is located just northwest of Los Angeles. One of the city's claims to fame is that according to the TV shows 'The Bionic Woman' and 'The Six Million Dollar Man', Jaime Sommers and Steve Austin grew up in Ojai and were childhood sweethearts!"
_ALSODA,"SAL SODA.    	Sodium carbonate is a well known as a water softener sold for use in laundry, and is variously described as Sal Soda, Washing Soda and Soda Crystals."
_IKE,"HIKE.    	The quarterback starts each play in football with a ""snap"" (also called a ""hike""). He announces to his teammates the exact moment of the snap by calling out signals, usually including the word ""hut"" one or more times in a prearranged sequence."
_YCO,"TYCO.    	The Tyco brand of toys was founded in 1926 as Mantua Metal Products by John Tyler. The first products made were scale model trains using die-cast metal. The company introduced the Tyco brand in the fifties, with 'Tyco' standing for 'Tyler Company'."
AH_O,"AHSO.    	The slang term 'ahso' is used in American English to mean 'I see'. The term derives from the Japanese expression 'Ah so desu ka' meaning 'Oh, that's how it is'."
RAE_,"RAES.    	Charlotte Rae is an American actress, best known for playing the character Edna Garrett on two sitcoms from the seventies and eighties: ""Diff'rent Strokes"" and ""The Facts of Life"". Towards the end of the series, the Edna Garrett character operated her own gourmet food shop called 'Edna's Edibles'."
RA_,"RAW.    	What we now call steak tartare was first served in French restaurants in the early 1900s, and back then was called steak à l'Americaine, would you believe? It was basically raw, seasoned beef mixed with egg yolk. A later version of l'Americaine, without the egg yolk and with tartar sauce served on the side, was called steak tartare. Over time the two versions became one, and the steak tartare moniker won out. By the way, if you order steak tartare in Switzerland, I believe you are served horse meat."
ABA_,"A BAR.    	A rabbi, a priest and a duck walk into a bar, and the bartender says, 'What is this? A joke?'"
ATTA_HE,"ATTACHE.    	Attaché is a French term which literally means ""attached"", and is used for a person who is assigned to the administrative staff of some agency or other service. The term is most recognized as it applies to someone assigned to an Ambassador's staff at an embassy. The word was extended to 'attaché case' at the beginning of the twentieth century, meaning a leather case used for carrying papers, perhaps by an attaché at an embassy."
ACHE_,"ACHES.    	The word ""yen"", meaning ""urge"", has been around in English since the very early 1900s. It comes from the earlier word ""yin"" imported from Chinese, which was used in English to describe an intense craving for opium!"
_SCOTS,"ASCOTS.    	An Ascot tie is a horrible-looking (I think!) wide tie that narrows at the neck, which these days is only really worn at weddings. The tie takes its name from the Royal Ascot horse race at which punters still turn up in formal wear at Ascot Racecourse in England."
M_ME,"MAME.    	The musical ""Mame"" opened on Broadway in 1966, with Angela Lansbury in the title role. The musical is based on the 1955 novel ""Auntie Mame"" written by Patrick Dennis."
_ODS,"HODS.    	A hod is a 3-sided box on the the end of a long handle used for carrying bricks (and sometimes mortar) at a construction site, usually up and down ladders."
PEDR_,"PEDRO.    	Pedro Martinez is a retired baseball pitcher from the Dominican Republic. Martinez won the Cy Young Award three times, and was on the Boston Red Sox team that won the 2004 World Series."
_CMES,"ACMES.    	The ""acme"" is the highest point, coming from the Greek word ""akme"" which has the same meaning."
AMMA_,"AMMAN.    	Amman is the capital city of Jordan, and is one of the oldest continuously-inhabited cities in the world. Amman has been occupied by a number of different civilizations over the centuries, including the Greeks who called it Philadelphia, a name retained by the Romans when they occupied the city just after 100 AD."
BRAN_O,"BRANDO.    	Marlon Brando won the Oscar for Best Actor for his portrayal of Vito Corleone in the 1972 blockbuster ""The Godfather"". He turned down the award and didn't attend the ceremony. Instead he sent a Native American rights activist called Sacheen Littlefeather who made a speech protesting the depiction of Native Americans in Hollywood movies. Brando wasn't the first person to refuse an Oscar. George C. Scott did the same thing when he won for playing the title role in 1970's ""Patton"". Scott just didn't like the whole idea of ""competing"" with other actors."
TOTE_,"TOTES.    	Our word 'schlep' means 'to carry, drag'. As one might expect, 'schlep' comes from Yiddish, with 'shlepen' having the same meaning."
KU_OS ,"KUDOS!.    	Our word ""kudos"" means acclaim given for an exceptional achievement. ""Kudos"" is not a plural, despite a common misapprehension. It is a singular noun derived from the Greek ""kyddos"" meaning ""glory, fame""."
ALT_S,"ALTOS.    	In choral music, an alto (plural 'alti') is the second-highest voice in a four-part chorus made up of soprano, contr(alto), tenor and bass. The word ""alto"" describes the vocal range, that of the deepest female singing-voice, whereas the term ""contralto"" describes more than just the alto range, but also its quality and timbre. An adult male's voice (not a boy's) with the same range as an alto is called a ""countertenor""."
_TAGE,"STAGE.    	The larva is an intermediate stage in the development of an insect. All four stages are embryo, larva, pupa and imago."
ES_A,"ESSA.    	Salerno is a port city on the southwest coast of Italy. In WWII, after the Italians negotiated a peace treaty with the Allies in 1943, the King of Italy relocated to Salerno from Rome. The new Italian government was set up in the city, and for a few months Salerno was 'capital' of the country."
