Port in the eastern Mediterranean.   		4 letters,ACRE.    	Acre is a port city in northern Israel on Haifa Bay.
Candy counter eponym.   		5 letters,"REESE.    	Reese's Peanut Butter Cups were invented by Harry Burnett ""H.B."" Reese. Peanut Butter Cups were originally called penny cups, reflecting the price at which they were sold. Then inflation took over, and maybe that's why they were broken into smaller 'pieces' ..."
Future atty.'s hurdle.   		4 letters,LSAT.    	The Law School Admission Test (LSAT) has been around since 1948.
Brontë heroine.   		4 letters,"EYRE.    	""Jane Eyre"" is of course the novel written by Charlotte Brontë, under the pen name Currer Bell. Over the years, I've shared here on my blogs that the ""Jane Eyre"" story line is a little too dark and Gothic for my taste, but a very persuasive blog reader convinced me to look more at the romantic side of the story and give it a second chance. I watched a wonderful 4-hour television adaptation of the novel made by the BBC a while back and I have to say that because I was focused on the relationship between Jane and Rochester, I was able to push past the Gothic influences (that depress me) so I really enjoyed the story. I thoroughly recommend the 2006 BBC adaptation to fans of the novel."
Actress Carrere.   		3 letters,TIA.    	Tia Carrere is an actress from Honolulu who got her break in the soap opera 'General Hospital'. Carrere is perhaps best known for playing Cassandra Wong in the 'Wayne's World' movies.
"Poet whose work inspired ""Cats"".   		5 letters","ELIOT.    	Andrew Lloyd Webber's source material for his hit musical ""Cats"" was T. S. Eliot's ""Old Possum's Book of Practical Cats"". Eliot's collection of whimsical poems was published in 1939, and was a personal favorite of Webber as he was growing up. ""Cats"" is the second longest running show in Broadway history (""Phantom of the Opera"" is the longest and is still running; deservedly so in my humble opinion). my wife and I have seen 'Cats' a couple of times and really enjoyed it ..."
1956 Gregory Peck role.   		4 letters,"AHAB.    	Moby Dick' is a 1956 big screen adaptation of the Herman Melville novel 'Moby-Dick', which was directed by John Huston and stars Gregory Peck in as Captain Ahab. Huston had always envisioned his own father, Walter Huston, playing Ahab. Sadly, Walter passed away by the time John secured funding to for the film. Part of the film was shot in the harbor of Youghal in County Cork, Ireland. There's a pub In Youghal that was used in some scenes that was renamed 'Moby Dick's' after filming, and I believe you can still get a drink there and see photos of the cast and crew at work."
Hawaiian tuna.   		3 letters,"AHI.    	Yellowfin tuna is usually marketed as ""ahi"", its Hawaiian name. Yellowfin tuna is one big fish, often weighing over 300 pounds."
Little ___ (early comic character).   		4 letters,"NEMO.    	Little Nemo was the hero in a comic strip drawn by Winsor McCay in the early 1900s. The strip was called 'Little Nemo in Slumberland' when it was published in the 'New York Herald', and then 'In the Land of Wonderland Dreams' when it moved to the 'New York American'."
"""Automatic for the People"" group.   		3 letters","REM.    	The band's known as R.E.M., chose it's name without any reference to Rapid Eye Movement (the stage of sleep when one dreams) as is widely assumed. Apparently in the context of the band, it means absolutely nothing."
Winter air.   		4 letters,"NOEL.    	Noel is the French word for the Christmas season, ultimately coming from the Latin word for ""birth"", ""natalis"". Noel has come to be used as an alternative name from a Christmas carol."
