E_UC,EDUC.    	Parent-Teacher Association (PTA)
_PA,"IPA.    	India Pale Ale (IPA) is a style of beer that originated in England. The beer was originally intended for transportation from England to India, hence the name."
ET_S,ETDS.    	Estimated time of departure (ETD)
I_PS,"ISPS.    	An Internet Service Provider (ISP) is just what the name indicates, a company that provides its customers with access to the Internet. One way that ISPs differentiate themselves from each other is in the way in which end users are connected to the ISP's network. So, there are cable ISPs, DSL ISPs, dial-up ISPs and satellite ISPs. I'd go with cable if I were you, if it's available in your area ..."
BEE_,"BEEB.    	The British Broadcasting Corporation (BBC) is also known as ""the Beeb"", a name given to the network by the great Peter Sellers on the classic British radio comedy called ""The Goon Show"". The BBC was founded in 1922, and was the world's first national broadcasting organization."
P_X,"PAX.    	A 'pax' (Latin for 'peace') is a period of history marked by an absence of war and conflict, although that stability is usually a result of one nation predominating. We often use the more specific term 'pax Romana' to describe such a situation, referring back to such a time in Ancient Rome."
CV_,"CVS.    	The name of the drugstore chain CVS once stood for Consumer Value Stores, although these days the company uses the acronym to denote Convenience, Value and Service."
OLEM_SS,"OLE MISS.    	Ole Miss is the nickname for the University of Mississippi located in Oxford, Mississippi. The name ""Ole Miss"" dates back to 1897, the first year a student yearbook was published. The graduating class held a competition to name the yearbook and ""Ole Miss"" emerged as the winner. The name stuck to the yearbook, and also as a nickname for the school itself."
_EMO,"REMO.    	The Italian city of San Remo sits on the Mediterranean, right on the border with France. In Italian the city is named Sanremo, just one word, although the spelling of ""San Remo"" dates back to ancient times."
_OD,"LOD.    	The Israeli city of Lod lies just a few miles southeast of Tel Aviv, and is the home of Ben Gurion International, Israel's main airport."
AM_N,"AMIN.    	Idi Amin received most of his military training in the British armed forces, eventually achieving the highest rank possible for a Black African in the British Colonial Army in 1959, that of Warrant Officer. On his return to Uganda Amin joined his country's military and quickly rose to the rank of Deputy Commander of the Army. During that time he was quite the athlete. He was a noted rugby player and swimmer, and for nine years held the Ugandan national light-heavyweight boxing title. By the early seventies, Amin was commander of all the armed forces of Uganda and in 1971 seized power in a military coup, displacing the country's president Milton Obote. There followed seven years of brutal rule by Amin during which it is estimated that between 100,000 and 500,000 people were murdered. Amin was ousted from power in 1979 after a war with Tanzania, and fled to Libya where he stayed for a year. He then moved to Saudi Arabia, where he was financially supported by the Saudi Royal Family for the remainder of his life. Amin died in 2003."
