SCAM_I,SCAMPI.    	The Italian dish known as 'scampi' is a serving of shrimp in garlic butter and dry white wine.
CA_P,"CARP.    	The word ""carp"" used to mean simply ""talk"" back in the 13th century, with its roots in the Old Norwegian ""karpa"" meaning ""to brag"". A century later the Latin word ""carpere"" meaning ""to slander"" influenced the use of ""carp"" so that it came to mean ""find fault with""."
EER_E,"EERIE.    	Rod Serling is of course the man behind, and in front of, the iconic science-fiction TV series ""The Twilight Zone"". Serling used a lot of the shows he created to advance his strongly held views against war (he was a soldier in WWII), and against racism."
NA_ETTE,"NANETTE.    	The 1925 musical ""No, No, Nanette"" spawned two famous songs: ""Tea for Two"" and ""I Want to Be Happy""."
_US,"GUS.    	Gus Van Sant is a movie director (among other things) who has been nominated twice for an Oscar, for 'Good Will Hunting' in 1997 and for 'Milk' in 2008."
TATA_,"TATAR.    	Tatars are an ethnic group of people, mainly residing in Russia (a population of about 5 1/2 million). Actor Charles Bronson had a Tatar heritage. His real name was Charles Buchinsky."
I_ER,"IGER.    	Robert Iger is currently the president and CEO of the Walt Disney Company, and is the successor to Michael Eisner. Iger worked for ABC when it was taken over by Disney in 1996, and in 1999 he was named president of Walt Disney International. Iger is doing okay for himself. He earned more than $29 million in 2009."
T_CH,"TACH.    	The tachometer takes its name from the Greek word ""tachos"" meaning ""speed"". A tachometer measures engine revolutions per minute (rpm)."
TRIA_E,"TRIAGE.    	""Triage"" is the process of prioritizing patients for treatment, especially on a battlefield. The term ""triage"" is French, and means ""a sorting""."
LE_,"LEX.    	Lexington Avenue in New York City is famous from many things, but my favorite fact is that it was the site of the first ever arrest for speeding in the city. In 1899 a police officer on a bicycle caught up with a cabdriver who was tearing down Lexington Avenue at the breakneck speed of 12 mph ..."
_HY,"THY.    	The Lord's Prayer ('Our Father') is a central prayer in Christian religions, and is found in two places in the New Testament. In the version in the Gospel of Matthew the last line of the prayer is ""deliver from evil"". In the Gospel of Luke the last line is ""lead us not into temptation""."
_TTLEE,"ATTLEE.    	Clement Attlee served as leader of Britain's Labour Party and as Deputy Prime Minister in the coalition government during the war years under the leadership of Winston Churchill, a Conservative. Attlee swept into power right after WWII in a landslide victory over Churchill and was responsible for major changes not only in Britain but around the waning British Empire. It was under Attlee that former British colonies like India, Pakistan, Burma, Sri Lanka and Jordan became independent. Also, the Palestine Mandate was terminated in 1948, while he was in office, with the state of Israel being declared the very next day."
UPTO_,"UPTON.    	Justin and B.J. Upton are two brothers playing Major League Baseball. Justin plays for the Arizona Diamondbacks, and B. J. plays for the Tampa Bay Rays."
SCA_PI,SCAMPI.    	The Italian dish known as 'scampi' is a serving of shrimp in garlic butter and dry white wine.
TO_D,"TOAD.    	""The Wind in the Willows"" is a classic children's novel first published in 1908. Featured in the story are characters such as Mole, Ratty, Mr. Toad and Mr. Badger. The story's author, Kenneth Grahame, held the exalted position of Secretary of the Bank of England."
S_GA,"SAGA.    	I don't do vampires. The reference, is to ""The Twilight"" series of books by Stephanie Meyer. ""The Twilight Saga"" is a series of films based on the books."
UP_ON,"UPTON.    	Upton Sinclair was a prolific American author, with almost 100 books to his name. Sinclair's most famous work is probably 'The Jungle', a 1906 novel about the meat packing industry that contributed to the Meat Inspection Act being passed by Congress a few months after the book was published. He also wrote 'Oil', published in 1927, which was the basis of the 2007 film 'There Will Be Blood', starring Daniel Day-Lewis."
_AE,"SAE.    	Sigma Alpha Epsilon (SAE) is the largest college fraternity in the US today. The SAE headquarters is on the campus of Northwestern University in Evanston, Illinois, but it was founded at the University of Alabama back in 1856. It is the only college fraternity in existence today that was founded in the South before the Civil War."
K_WI,"KIWI.    	Unlike many nicknames for people of a particular country, the name ""Kiwi"" for a New Zealander isn't offensive at all. The term comes from the flightless bird called the kiwi, which is endemic to New Zealand and is the country's national symbol. ""Kiwi"" is a Maori word, and the plural (when referring to the bird) is simply ""kiwi"". However, when you have two or more New Zealanders with you, they are Kiwis (note the ""s"", and indeed the capital ""K""!)."
CRU_,"CRUE.    	Motley Crue is an American rock band, from Los Angeles. They've been around since 1981, co-founded by the famous drummer Tommy Lee. Tommy Lee is also known for his two celebrated marriages, the first with Heather Locklear, and the second with Pamela Anderson."
RARE_AS,"RARE GAS.    	The noble gases (also 'rare gases') are those elements over on the extreme right of the Periodic Table. Because of their ""full"" complement of electrons, noble gases are very unreactive. The six noble gases that occur naturally are helium, neon, argon, krypton, xenon and radon."
O_MS,"OHM'S.    	The unit of electrical resistance is the ohm (with the symbol omega) named after German physicist Georg Simon Ohm. Ohm was the guy who established experimentally that the amount of current flowing through a circuit is directly proportional to the voltage applied, (V=IR) a relationship that every school kid knows as Ohm's Law."
_ALA,"SALA.    	A room (sala) is a division (división) of a house (casa), in Spanish."
ASA_I,"ASAHI.    	Asahi is a beer, and the name of the brewery that produces it. ""Asahi"" is Japanese for ""morning sun"". Asahi introduced a ""dry beer"" in 1987, igniting a craze that rocketed the brewery to the number one spot in terms of beer production in Japan, with Sapporo close behind."
HO_,"HOP.    	Hip-Hop originated in New York City in the seventies, developing in inner-city African-American, Jamaican and Latina-American communities. Some say that the term ""hip-hop"" was first used by the group Grandmaster Flash and the Furious Five. I know practically nothing about hip-hop, I must admit ..."
_COW,"A COW.    	The phrase ""don't have a cow"" originated in the fifties, a variation of the older ""don't have kittens"". The concept behind the phrase is that one shouldn't get worked up, it's not like one is giving birth to a cow."
ASSO_,"ASSOC.    	The National Collegiate Athletic Association (NCAA) dates back to the Presidency of Theodore Roosevelt. When his son broke his nose playing football at Harvard, President Roosevelt turned his attention to the number of serious injuries and even deaths occurring in college sports. He instigated meetings between the major educational institutions leading to the formation of the Intercollegiate Athletic Association of the United States (IAAUS) in 1906, which was given the remit of regulating college sports. The IAAUS became the NCAA in 1910."
ASA_I,"ASAHI.    	Asahi is Japanese for ""morning sun"". Here Asahi refers to a beer, and the brewery that produces it. Asahi introduced a ""dry beer"" in 1987, igniting a craze that rocketed Asahi to the number one spot in terms of beer production in Japan, with Sapporo close behind."
U_UM,UNUM.    	'Unum' is Latin for 'one'.
G_FFE,"GAFFE.    	Our word ""gaffe"" , meaning a social blunder, comes from the French word ""gaffe"" meaning ""clumsy remark"", although it originally was (and still is) the word for ""boat hook"". The exact connection between a boat hook and a blunder seems to be unclear."
N_BEL,"NOBEL.    	The Peace Prize is the most famous of the five prizes bequeathed by Alfred Nobel. The others are for Physics, Chemistry, Physiology or Medicine and Literature. There is also a Nobel Prize in Economics, awarded along with the original five, but it is funded separately and is awarded ""in memory of Alfred Nobel"". Four of the prizes are awarded by Swedish organizations (Alfred Nobel was a Swede) and so the award ceremonies take place in Stockholm. The Peace Prize is awarded by the Norwegian Nobel Committee, and that award is presented in Oslo."
RE_,REY.    	'Rey' is the Spanish word for 'king'.
NER_S,"NERDS.    	The Willy Wonka Candy Company brand is owned by Nestle, and operates using licensed materials from the Roald Dahl book ""Charlie & the Chocolate Factory"". The brand is getting a resurgence in sales bolstered by a marketing tie-in with the 2005 film adaptation starring Johnny Depp. Nerds is a name on a whole line of candy's produced within the brand's portfolio."
SCA_S,"SCAMS.    	A pyramid scheme is considered to be fraud in many countries, including the United States. The basic idea behind such a scheme is that participants get paid for enrolling other people in the scheme, rather than providing any real service or product. As money is made only when others join the scheme, the business model is only sustainable as more and more people are enrolled. Once the number of people in the scheme stabilizes, money stops flowing, with the person at the ""top"" of the pyramid having made the most cash. He or she is then free to make a run for it, and set up another scheme."
