P.T.A. interest: Abbr..   		4 letters,EDUC.    	Parent-Teacher Association (PTA)
"Brewpub offering, for short.   		3 letters","IPA.    	India Pale Ale (IPA) is a style of beer that originated in England. The beer was originally intended for transportation from England to India, hence the name."
"Airport data, for short.   		4 letters",ETDS.    	Estimated time of departure (ETD)
AOL and Comcast.   		4 letters,"ISPS.    	An Internet Service Provider (ISP) is just what the name indicates, a company that provides its customers with access to the Internet. One way that ISPs differentiate themselves from each other is in the way in which end users are connected to the ISP's network. So, there are cable ISPs, DSL ISPs, dial-up ISPs and satellite ISPs. I'd go with cable if I were you, if it's available in your area ..."
"89-Down nickname, with ""the"".   		4 letters","BEEB.    	The British Broadcasting Corporation (BBC) is also known as ""the Beeb"", a name given to the network by the great Peter Sellers on the classic British radio comedy called ""The Goon Show"". The BBC was founded in 1922, and was the world's first national broadcasting organization."
Time of wide-ranging stability.   		3 letters,"PAX.    	A 'pax' (Latin for 'peace') is a period of history marked by an absence of war and conflict, although that stability is usually a result of one nation predominating. We often use the more specific term 'pax Romana' to describe such a situation, referring back to such a time in Ancient Rome."
Walgreens rival.   		3 letters,"CVS.    	The name of the drugstore chain CVS once stood for Consumer Value Stores, although these days the company uses the acronym to denote Convenience, Value and Service."
"Oxford university, informally.   		8 letters","OLE MISS.    	Ole Miss is the nickname for the University of Mississippi located in Oxford, Mississippi. The name ""Ole Miss"" dates back to 1897, the first year a student yearbook was published. The graduating class held a competition to name the yearbook and ""Ole Miss"" emerged as the winner. The name stuck to the yearbook, and also as a nickname for the school itself."
San ___ (Italian resort).   		4 letters,"REMO.    	The Italian city of San Remo sits on the Mediterranean, right on the border with France. In Italian the city is named Sanremo, just one word, although the spelling of ""San Remo"" dates back to ancient times."
City in central Israel.   		3 letters,"LOD.    	The Israeli city of Lod lies just a few miles southeast of Tel Aviv, and is the home of Ben Gurion International, Israel's main airport."
Ugandan tyrant Idi ___.   		4 letters,"AMIN.    	Idi Amin received most of his military training in the British armed forces, eventually achieving the highest rank possible for a Black African in the British Colonial Army in 1959, that of Warrant Officer. On his return to Uganda Amin joined his country's military and quickly rose to the rank of Deputy Commander of the Army. During that time he was quite the athlete. He was a noted rugby player and swimmer, and for nine years held the Ugandan national light-heavyweight boxing title. By the early seventies, Amin was commander of all the armed forces of Uganda and in 1971 seized power in a military coup, displacing the country's president Milton Obote. There followed seven years of brutal rule by Amin during which it is estimated that between 100,000 and 500,000 people were murdered. Amin was ousted from power in 1979 after a war with Tanzania, and fled to Libya where he stayed for a year. He then moved to Saudi Arabia, where he was financially supported by the Saudi Royal Family for the remainder of his life. Amin died in 2003."
Country between Sudan and Niger.   		4 letters,"CHAD.    	The landlocked African country called Chad takes its name from the second largest wetland on the continent, which is known as Lake Chad."
"They aid responses, in brief.   		5 letters",SASES.    	A self-addressed stamped envelope (SASE) might be an enclosure (enc.) sent with a letter.
Smooth fabric.   		6 letters,"SATEEN.    	Sateen is a cotton fabric, with a weave that is ""four over, one under"" meaning that most of the threads come to the surface giving it a softer feel."
Get inside and out.   		4 letters,"GROK.    	'To grok' is to understand, a slang word really only used in ""techie"" circles. 'Grok' is the creation of science fiction author Robert Heinlein, who coined the term in his 1961 novel 'Stranger in a Strange Land'."
Tranquil scene.   		4 letters,"IDYL.    	An ""idyll"" (also ""idyl"") is a short poem with a pastoral theme, usually depicting the scene in romantic and idealized terms. The word comes from the Greek ""eidyllion"", which literally translates to ""little picture"" but was a word describing a short, poem with a rustic theme."
It may be thrown in the mix.   		4 letters,"CHEX.    	The original Chex cereal was introduced in 1937 by Ralston Purina. Ralston Purina had a logo with a checkerboard square on it, which gave the pattern to the cereal as well as its name. Chex used characters from the ""Peanuts"" comic strip in its advertising for many years."
Kind of jacket.   		4 letters,"FLAK.    	""Flak"" was originally an acronym from the German term for an aircraft defense cannon (FLiegerAbwehrKanone). Flak then became used in English as a general term for antiaircraft fire, and ultimately a term for verbal criticism as in ""to take flak""."
"Graduate of Mount Holyoke, e.g.   		6 letters","ALUMNA.    	Mount Holyoke College is a private school for women located in South Hadley, Massachusetts. It was founded as Mount Holyoke Female Seminary in 1834 as the sister school to Andover Seminary."
Duchamp's movement.   		4 letters,"DADA.    	Dadaism thrived during and just after WWI, and was an anti-war, anti-bourgeois and anti-art culture. The movement began in Zurich, Switzerland started by a group of artists and writers who met to discuss art and put on performances in the Cabaret Voltaire, frequently expressing disgust at the war that was raging across Europe."
"Song syllables before ""It's off to work we go"".   		5 letters",HI-HO.    	'Heigh-Ho' is one of the best known songs in the classic Disney animated feature 'Snow White and the Seven Dwarfs'. 'Heigh-Ho' is sung by the seven dwarfs as they head off to mine diamonds and rubies.
Collection of Norse tales.   		4 letters,"EDDA.    	The Poetic Edda and Prose Edda are two ancient works that are the source for much of Norse mythology. Both Eddas were written in the 13th century, in Iceland."
Actress Graff.   		5 letters,"ILENE.    	Ilene Graff is an American actress, probably best known for playing Marsha Owens, the wife of George in the TV series ""Mr. Belvedere""."
Morsel.   		3 letters,"ORT.    	Orts are small scraps of food left after a meal. 'Ort' comes from Middle English, and originally described scraps left by animals."
"May race, informally.   		4 letters","INDY.    	The first Indy 500 race was held on Memorial Day in 1911. The winner that day was one Ray Harroun. Harroun had seen someone using a rear view mirror on a horse-drawn vehicle, and decided to fit one on his Marmon ""Wasp"" motor car. Supposedly that was the first ever use of a rear view mirror on a motor vehicle."
His .366 lifetime batting average is the best ever.   		4 letters,"COBB.    	Ty Cobb was one of the richest baseball players of all times. When he retired, Cobb was a major stockholder of the Coca-Cola Corporation. By the time he passed away in 1961, Cobb had an even bigger investment in General Electric. He left an estate after his death worth about $86m (in 2008 dollars)."
Commercial swab.   		5 letters,"Q-TIP.    	Cotton swabs were originally marketed under the name ""Baby Gays"", but this was changed in 1926 to ""Q-Tips"", with the Q standing for ""quality""."
Sicilian volcano.   		7 letters,"MT ETNA.    	Mt. Etna is the largest of three active volcanoes in Italy. Mt Etna is about 2 1/2 times the height of its equally famous sister, Mt. Vesuvius."
Siberian city.   		4 letters,OMSK.    	Omsk is a city in southwest Siberia. It is located over 1400 miles from Moscow and was chosen as the destination for many internal exiles in the mid-1900s. Perhaps the most famous of these exiles was the author Fyodor Dostoyevsky.
"Lacking a key, musically.   		6 letters","ATONAL.    	Atonal music is not written in any particular key, and therefore does not have a key signature."
Big name in rodent control.   		5 letters,D-CON.    	'd-Con' is a line of rodent control products that has been around for over 50 years.
"Verizon FiOS and EarthLink, briefly.   		4 letters","ISPS.    	An Internet Service Provider (ISP) is just what the name indicates, a company that provides its customers with access to the Internet. One way that ISPs differentiate themselves from each other is in the way in which end users are connected to the ISP's network. So, there are cable ISPs, DSL ISPs, dial-up ISPs and satellite ISPs. I'd go with cable if I were you, if it's available in your area ..."
Competitor of Lauren and Klein.   		5 letters,"BEENE.    	Geoffrey Beene was an American fashion designer. He had an impressive list of clients that included First Ladies Lady Bird Johnson, Pat Nixon and Nancy Reagan."
"With 12-Down, classic Neapolitan tune.   		6 letters",O SOLE.    	12. See 55-Down : MIO
What's not for big shots?.   		6 letters,"BB GUN.    	A BB gun is an air pistol or rifle that shoots birdshot known as BBs. Birdshot comes in a number of different sizes, from size 9 (0.080"" in diameter) to size FF (.23""). 0.180"" diameter birdshot is size BB, which gives the airgun its name."
Common URL ender.   		3 letters,ORG.    	The .org domain was one of the six original generic top-level domains specified. The complete original list is:
Glossy cloth.   		6 letters,"SATEEN.    	Sateen is a cotton fabric, with a weave that is ""four over, one under"" meaning that most of the threads come to the surface giving it a softer feel."
"""Citizen"" of film.   		4 letters","KANE.    	""Citizen Kane"" was the first film made by Orson Welles, one considered by many to be the finest film ever made. It's a remarkable achievement by Welles, as he played the lead, and also produced and directed. Despite all the accolades for ""Citizen Kane"" over the decades, the movie was far from a commercial success in its early run and actually lost money at the box office."
Org.   		3 letters,ATP.    	The Association of Tennis Professionals (ATP) is an organization that looks out for the interests of male tennis professionals. The equivalent organization for women is the Women's Tennis Association (WTA).
Baking ___.   		4 letters,"SODA.    	'Bicarb' is a familiar term for sodium bicarbonate. Another name for the same compound is 'baking soda'. When sodium carbonate is added to a batter, it reacts with acids and releases carbon dioxide which gives baked goods texture, all those ""holes""."
Straightaway.   		3 letters,PDQ.    	Pretty darn quick (PDQ)
"Moon in ""Return of the Jedi"".   		5 letters","ENDOR.    	In the 'Star Wars' universe, the moon of Endor is home to the Ewoks. The Ewoks are creatures who first appear in ""Star Wars Episode VI: Return of the Jedi"". They're the cute and cuddly little guys that look like teddy bears."
Colorful breakfast option.   		4 letters,"TRIX.    	Trix is a corn-based breakfast cereal that has been around since 1954, produced by General Mills. Ads for the cereal featured Trix Rabbit, who would try hard to get hold of bowls of the cereal. He would always get caught though, and be admonished with, ""Silly rabbit, Trix are for kids!"" With 46% sugar content, the rabbit probably wouldn't have liked it anyway ..."
"""In Memory of W.   		5 letters","AUDEN.    	The noted poet W. H. Auden was born and raised in England, but eventually became a US citizen. As well as hundreds of poems, Auden also wrote librettos for operas, including Igor Stravinsky's 'The Rake's Progress'."
Giant in Greek myth.   		5 letters,"TITAN.    	The Titans were a group of twelve older deities in Greek mythology. In the celebrated Battle of the Titans, they were overthrown by the Olympians, who were twelve younger gods."
"Orson Welles's ""Citizen ___"".   		4 letters","KANE.    	""Citizen Kane"" was the first film made by Orson Welles, one considered by many to be the finest film ever made. It's a remarkable achievement by Wells, as he played the lead, and also produced and directed. Despite all the accolades for ""Citizen Kane"" over the decades, the movie was far from a commercial success in its early run and actually lost money at the box office."
"""Deirdre"" playwright.   		5 letters","YEATS.    	Irish poet and dramatist William Butler Yeats won the Nobel Prize in Literature in 1923 for ""inspired poetry"" that gave ""expression to a whole nation"". Yeats was Ireland's first Nobel laureate."
"___ Raton, Fla.   		4 letters","BOCA.    	The name of the city of Boca Raton in Florida translates from Spanish as 'Mouse Mouth'. There doesn't seem to be a definitive etymology of the name but one plausible explanation is a nautical one. 'Boca', as well as meaning 'mouth' can mean 'inlet'. 'Ratón', as well as meaning 'mouse' was also used to describe rocks that chewed away at a ship's anchor cable. So possibly Boca Raton was named for a rocky inlet."
The Scourge of God.   		6 letters,"ATTILA.    	In his day, Attila the Hun was the most feared enemy of the Roman Empire, until he died in 453 AD. Attila was the leader of the Hunnic Empire of central Europe and was famous for invading much of the continent. However, he never directly attacked Rome. Attila was called 'Attila, Flagelum Dei', Latin for 'Attila, Scourge of God'."
Newsgroup system since 1980.   		6 letters,"USENET.    	Remember the good old days, when you read messages online in ""newsgroups""? Well, that system of aggregating public messages is known as Usenet, and it's still around today. Usenet started operating in 1980, some ten years before the World Wide Web was introduced (which system has displaced Usenet in terms of popularity). Usenet definitely played a significant part in the history of the Internet. For instance, the terms ""FAQ"" and ""spam"" were both born on Usenet."
