Standoff.   		7 letters,IMPASSE.    	Impasse is a French word for a blind alley or an impassable road.
Palindromic car name.   		5 letters,"CIVIC.    	Introduced in 1972, the Honda Civic is the second-oldest brand of Japanese car made for the US today (only the Toyota Corolla has been around longer). Today's Civic is a compact car, but the original was smaller, and classed as a sub-compact. The first design had a transverse-mounted engine and front-wheel drive to save on space, copying the design introduced with the British Mini. The Civic Hybrid that I drive these days is the best car I've ever owned quite frankly."
Local council member: Abbr..   		3 letters,"ALD.    	The term ""alderman"" comes from English law, and is used for a member of a municipal assembly or council. In some locations in the US some cities have a Board of Aldermen&nbsp;instead of a city council."
Singer Vannelli of 1970s-'80s pop.   		4 letters,"GINO.    	Gino Vanelli is a Canadian singer, from Montreal, Quebec. Today he is very popular in Holland, and divides his time between his homes in the US and the Netherlands."
Popular Massachusetts vacation area.   		8 letters,CAPE COD.    	Cape Cod is indeed named after the fish. It was first called Cape Cod by English navigator Bartholomew Gosnold in 1602 as his men caught so many fish there.
Suffix with proto-.   		4 letters,"-ZOA.    	The suffix '-zoa' is used for groups of animal organisms e.g. protozoa and metazoa. 'Zoia' is the Greek for 'animals, living beings'."
Historical subject for Gore Vidal.   		4 letters,BURR.    	'Burr' is a fictional memoir of former US Vice President Aaron Burr that was written by Gore Vidal. 'Burr' is one of seven historical novels written by Vidal in a series called the 'Narratives of Empire'. The series chronicles the history of what Vidal called 'the American Empire'.
Joint groove.   		4 letters,"DADO.    	In the world of joinery, a dado is a slot cut into a piece of wood across the grain. On the other hand, a 'groove' is a slot that is cut with the grain."
Beat reporters?: Abbr..   		4 letters,"EKGS.    	An EKG measures electrical activity in the heart. Back in Ireland, an EKG is known as an ECG (for electrocardiogram). We use the German name in the US, Elektrokardiogramm, giving us EKG. Apparently the abbreviation EKG is preferred as ECG might be confused (if poorly handwritten, I guess) with EEG, the abbreviation for an electroencephalogram."
Mild 11-Across.   		5 letters,"CLARO.    	A claro is mild cigar made with light-colored tobacco. The name ""claro"" comes from the Spanish for ""clear""."
Kind of 6-Down.   		6 letters,CONGER.    	6D. One that swims with a current? : EEL
Frosty.   		5 letters,"GELID.    	'Gelid' is such a lovely word, and means 'icy cold'. 'Gelid' derives from the Latin 'gelum' meaning 'frost, intense cold'."
N.Y.U.'s ___ School of the Arts.   		5 letters,"TISCH.    	New York University (NYU) is comprised of fifteen schools, one of which it the Tisch School of the Arts. The Tisch is famous for its acting program, with notable alumni such as Debra Messing, Christopher Guest and Josh Radnor."
Cool.   		3 letters,"HIP.    	The slang term ""hep"" meaning ""cool"" has the same meaning as the later, derivative term ""hip"". The origins of ""hep"" seem unclear, but it was adopted by jazz musicians of the early 1900s."
Card table error.   		6 letters,"RENEGE.    	To renege on something is to back out of it. It's a word commonly used in card games like bridge and whist. A renege is when a player doesn't follow suit, even though there may be a card of the suit led in his/her hand."
Currency dropped during the French Revolution.   		4 letters,"ECUS.    	The ecu was an Old French coin. When introduced in 1640 it was worth three livres (an older coin, called a ""pound"" in English). The word ""ecu"" comes from the Latin ""scutum"" meaning ""shield"". The original ecu used to have a coat of arms on it, a shield."
Pupil coverer.   		6 letters,"CORNEA.    	The cornea is the transparent part of the eye in the front, covering the iris and the pupil. Even though the cornea is not part of the lens it acts as a lens, and in fact does most of the work focusing light coming in through the eye. The cornea is in effect a fixed-focus lens passing on light to the variable-focus lens that is inside the eye."
"The ""mode"" of ""à la mode""?.   		9 letters","ICE CREAM.    	In French, ""à la mode"" simply means ""fashionable"". In America it has come to describe a way of serving pie, usually with ice cream, or as I recall from when I lived in Upstate New York, with cheese."
"Athlete's foot, e.g.   		5 letters",TINEA.    	The skin condition known as tinea is more usually referred to as ringworm. Tinea pedis is more usually known as athlete's foot.
Baseball's Hammerin' ___.   		4 letters,HANK.    	The great Hank Aaron has many claims to fame. One notable fact is that he is the last major league baseball player to have also played in the Negro League.
Mass vestments.   		4 letters,"ALBS.    	The alb is the white, neck-to-toe vestment worn by priests, usually with a rope cord around the waist. The term alb comes from ""albus"", the Latin word for ""white""."
Sharp irritation.   		5 letters,"PIQUE.    	Our word ""pique"" meaning a ""fit of ill feeling"" is a French word meaning a ""prick, sting, irritation""."
Certain something.   		4 letters,"AURA.    	An aura (plural: aurae) is an intangible quality that surrounds a person or thing, a ""je ne sais quoi"". ""Je ne sais quoi"" is French for ""I don't know""."
Grassy plains.   		6 letters,"LLANOS.    	""Llano"" is the Spanish word for ""plain""."
Milk curdler.   		6 letters,RENNET.    	Rennet is an enzyme complex that is produced in the stomach of mammals. Rennet is used by children to digest a mother's milk. It is also used to coagulate milk in cheese production.
Lit ___.   		4 letters,"CRIT.    	Literary studies, also called literary criticism (lit. crit.), is the evaluation and interpretation of literature."
Brand name on a waistband.   		5 letters,HANES.    	The Hanes brand of apparel was founded in 1901. A related brand was introduced in 1986 called Hanes Her Way.
Russian legislature.   		4 letters,"DUMA.    	A Duma is a representative assembly in Russia. The word 'dumat' in Russian means 'to think, consider'."
Bolder (boulder).   		4 letters,ROCK.    	
Titular jurisdiction of 30-Across.   		5 letters,WALES.    	(30. Bridegroom of 4/29/11 : PRINCE WILLIAM)
Line of cliffs.   		5 letters,"SCARP.    	A scarp is a steep slope or a line of cliffs, especially one created by erosion. An alternative name is an escarpment."
Occasional ingredient in turkey dressing.   		5 letters,"LIVER.    	Turkey dressing or stuffing is sometimes flavored with organ meat, such as liver or brain. Ugh ..."
Coins for Cicero.   		7 letters,"DENARII.    	The denarius (plural 'dinarii') is a small silver coin that was used in Ancient Rome. Derived from the Latin 'deni' meaning 'containing ten', a denarius had the value of ten asses. Today the dinar is a common coin in the Arab world, and it is named for the old Roman coin. The dinar name was chosen in the days when Arabs conquered large swathes of the old Roman Empire."
Mil.   		3 letters,DSC.    	The Distinguished Service Cross (DSC) is the second highest honor awarded to members of the US Army. The DSC is equivalent to the Navy Cross and the Air Force Cross.
"Amanda of ""Syriana"".   		4 letters",PEET.    	The actress Amanda Peet studied acting with the celebrated Uta Hagen at Columbia University. She has appeared in a number of successful films including 'The Whole Nine Yards' and 'Syriana'. I remember her best from what I thought was a great show (but no one seemed to agree!) called 'Studio 60 on the Sunset Strip'.
Economic stat.   		3 letters,"CPI.    	The Consumer Price Index (CPI) measures changes in the price of services and goods purchased by households. The United States CPI fell in 2009, for the first time since 1955. That's how bad the 2009 recession was ..."
Brand of dinnerware with a Scandinavian design.   		5 letters,"DANSK.    	Dansk is actually an American company, founded in 1954 by an American couple in the garage of their home in Great Neck, New York. The company was set up to showcase the flatware designs of Danish designer Jens Quistgaard. The name ""Dansk"" is Danish for ""Danish""!"
False deity.   		5 letters,"BA'AL.    	Ba'al can actually refer to any god, and sometimes even human officials as it can also be used as an honorific title. Ba'al can also be known as Hada, a god of the rain, thunder, agriculture and fertility."
"""Weekend Update"" anchor between Miller and Macdonald.   		6 letters","NEALON.    	Off screen, Kevin Nealon is friends with fellow ""Saturday Night Live"" alumna Dana Carvey. When Carvey landed a spot on SNL, he recommended Nealon to the show's producers and both stand-up comedians joined the cast in the same year, 1986."
"""___ Is Born"".   		6 letters","A STAR.    	'A Star Is Born' is a 1937 film starring Janet Gaynor as an upcoming Hollywood actress. 'A Star Is Born' was remade twice, in 1954 with Judy Garland playing the lead, and in 1976 with Barbra Streisand."
Actress Nita who never made a talkie.   		5 letters,"NALDI.    	Nita Naldi was an American silent film actress, who usually played a ""femme fatale"" type of role."
