Tinker to ___ to Chance (classic double play).   		5 letters,EVERS.    	Baseball's Sad Lexicon' is a poem written by Franklin Pierce Adams in 1910:
Crescent shape.   		4 letters,"LUNE.    	By definition a ""lune"" is a figure formed by the intersection of two arcs of two circles. Such an intersection creates the shape of a crescent moon. The name ""lune"" comes from the Latin word for the moon, ""luna""."
"Boston skyscraper, with ""the"".   		3 letters","PRU.    	The Pru is the familiar name given to the Prudential Tower in Boston. It is currently the second highest building in the city, after the John Hancock Tower. However, if one includes the height of the radio tower on its roof, then it is the highest building in Boston. When it was completed in 1964, the Pru was the tallest building in the country outside of New York City."
Popular ballpoints.   		4 letters,"BICS.    	Société Bic is a French company, based in Clichy in France. The first product the company produced, more than fifty years ago, was the Bic Cristal ballpoint pen that is still produced today. Bic also makes other disposable products such as lighters and razors."
2001 French film that was nominated for five Academy Awards.   		6 letters,"AMELIE.    	Amélie' is a French film, a romantic comedy about a shy waitress in Montmartre, Paris played by Audrey Tatou. The movie was originally released under the French title, 'Le Fabuleux Destin d'Amélie Poulain' ('The Fabulous Destiny of Amélie Poulain')."
180.   		3 letters,UEY.    	U-turn (uey)
Sprees.   		4 letters,"JAGS.    	The word ""jag"" is used to describe periods of unrestrained activity, particularly involving alcohol, and has been in use since the 1800s."
Spydom's ___ Hari.   		4 letters,"MATA.    	Mata Hari was the stage name used by Margaretha Geertruida Zella, born in the Netherlands in 1876. After an unsuccessful and somewhat tragic marriage, Zella moved to Paris in 1903 where she struggled to make a living. By 1905 she was working as an exotic dancer and using the name Mata Hari. She was a successful courtesan, notably moving in various circles of high-ranking military officers. She apparently worked as a double agent, both for the French and the Germans. When Mata Hari was accused by the French of passing information to the enemy, she was tried, found guilty and executed by firing squad at the height of WW1, in 1917."
British footballer Wayne ___.   		6 letters,"ROONEY.    	Wayne Rooney is a famous, and somewhat infamous, soccer player who turns out for Manchester United and the English national team. Rooney is widely regarded as the most talented player in England, but he also attracts a lot of attention off the field as he has lived a wild life, relatively speaking."
Big name in knives.   		5 letters,"GINSU.    	Ginsu knives are more famous for their hard-sell television ads than they are for their efficacy in the kitchen. The Ginsu phenomenon took off in the seventies when two brothers found a set of knives called ""Eversharp"" that were being manufactured in Ohio. The brothers changed the brand name to something more exotic, and Japanese in particular (Ginsu), and then produced ads that made references to Japanese martial arts. I think they made a fortune ..."
Cabinet department.   		6 letters,"ENERGY.    	The US Department of Energy (DOE) came into being largely as a result of the 1973 oil crisis. The DOE was founded in 1977 by the Carter administration. The DOE's list of responsibilities includes the regulation of the production of nuclear power, and responsibility for the nation's nuclear weapons."
Simpleton.   		4 letters,"RUBE.    	A 'rube' is person lacking sophistication, often described as ""a country bumpkin"". The term derives from the masculine name 'Reuben', which was considered back in the early 1800s to be a typical name used in rural areas."
Pull felt on Earth.   		5 letters,"ONE G.    	The force of gravity that we all feel is referred to as 'one G'. As gravity is a actually an accelerating force, acceleration is measured relative to that force of gravity. So, if we are sitting in a vehicle that accelerates at 3G, then we are experiencing a force that is three times that which we feel from the gravitational pull of the earth. Zero-G is weightlessness that is experienced when in space, outside the influence of the earth's gravity."
Brewers' hot spots.   		5 letters,"OASTS.    	An oast is a kiln used for drying hops as part of the brewing process. It might also be called an ""oast house""."
"Archie Bunker, e.g.   		5 letters","BIGOT.    	""All in the Family"" is an American sitcom, a remake of the incredibly successful BBC show called ""Till Death Us Do Part"". Both the UK and US versions of the sitcom were groundbreaking in that the storyline brought into focus topics previously considered unsuitable for a television comedy, including racism, homosexuality, women's liberation, menopause and impotence. ""All in the Family"" is one of only three TV shows that has topped the Nielsen ratings for five consecutive seasons (the other two are ""The Cosby Show"" and ""American Idol"")."
Coastal region of Hawaii.   		4 letters,KONA.    	The Kona district on the Big Island of Hawaii is on the western side of the island. The largest town in Kona is Kailua-Kona. Kailua-Kona is often incorrectly referred to as 'Kona'. The term 'kona' translates as 'leeward side of the island' in Hawaiian.
Actor Richard who played Jaws in Bond films.   		4 letters,"KIEL.    	Jaws is a character who turns up in two 'James Bond' films: 'The Spy Who Loved Me' and 'Moonraker'. Jaws is a tall and scary villain with steel-capped teeth. In both movies, Jaws is played by actor Richard Kiel."
British brew with a red triangle logo.   		8 letters,"BASS ALE.    	The red triangle on the label of a bottle of Bass Ale was registered in 1875 and is UK Registered Trade Mark (TM) No: 00001, the first trade mark issued in the world."
Composer Harris and others.   		4 letters,"ROYS.    	Roy Harris was a composer of classical works from Chandler, Oklahoma. Harris composed at least 18 symphonies, of which the most famous is his Symphony No. 3 written between 1937 and 1938."
Worrisome engine sound.   		4 letters,"PING.    	Pinging is also known as ""engine knocking"". It is a metallic sound, created when not all of the fuel-air mixture is detonated by the spark plug, with some of it detonated late in the cycle. The late detonation causes the knocking/pinging sound. Additives (anti-knock agents) in gasoline can help reduce the chances of pinging."
Foreign state with the capital Panaji.   		3 letters,"GOA.    	Goa is the smallest state in India, and is located in the southwest of the country. The Portuguese landed in Goa in the early 1500s, at first peacefully carrying out trade, but then took the area by force creating Portuguese India. Portugal held onto Portuguese India even after the British pulled out of India in 1947, until the Indian Army marched into the area in 1961."
Say uncle.   		5 letters,"YIELD.    	To ""say uncle"" is an American expression meaning to submit or yield. Its usage dates back to the early 1900s, but nobody seems to know how ""uncle!"" came to mean ""stop!"""
Epoch when mammals arose.   		6 letters,"EOCENE.    	The Eocene Epoch lasted from 56 to 34 million years ago, and is noted for the emergence of the first mammals on the planet."
City between Boston and Gloucester.   		4 letters,"LYNN.    	Lynn is a Massachusetts city located just ten miles north of downtown Boston. The city was named for the port town of King's Lynn in Norfolk, on the east coast of England."
Musical notes after mis.   		3 letters,"FAS.    	The solfa syllables are: do, re, mi, fa, sol, la & ti."
Like some ancient Mexicans.   		5 letters,OLMEC.    	The Olmec were an ancient civilization that lived in the lowlands of south-central Mexico from about 1500 BC to about 400 BC.
Hanes competitor.   		3 letters,"BVD.    	The men's underwear known as BVDs are made by the Bradley, Voorhees & Day. The company was started in 1876 to make bustles for women, and is named for its founders."
Seminomadic Kenyan.   		5 letters,"MASAI.    	The Masai (also 'Massai') are a semi-nomadic people found in Kenya and Tanzania. They are semi-nomadic in that over the years they have been migrating from the Lower Nile Valley in northwest Kenya, and are moving into Tanzania."
One of the Ms.   		3 letters,"SUE.    	The Pac-Man arcade game was first released in Japan in 1980, and is as popular today as it ever was. The game features characters that are maneuvered around the screen to eat up dots and earn points. The name comes from the Japanese folk hero ""Paku"", known for his voracious appetite. The spin-off game called Ms. Pac-Man was released in 1981."
"Very, in music.   		5 letters","ASSAI.    	The Italian term 'assai' translates as 'very', and is used in music with the same meaning."
Doc's written orders.   		3 letters,"RXS.    	There seems to some uncertainty about the origin of the symbol ""Rx"" that's used for a medical prescription. One explanation is that it comes from the astrological sign for Jupiter, a symbol put on prescriptions in days of old to invoke Jupiter's blessing to help a patient recover."
Club ___.   		3 letters,"MED.    	Club Méditerranée is usually referred to as 'Club Med'. It is a French company that started in 1950 with a resort on the Spanish island of Mallorca in the Mediterranean. It was originally a ""club"" with annual membership dues. Now it is an operator of numerous all-inclusive resorts located all over the world."
Ghost story?.   		5 letters,"ATTIC.    	One might encounter ghosts in the attic, if you believe in that sort of thing ..."
Magazine whose cover has a red border.   		4 letters,"TIME.    	'Time' magazine has a readership of about 25 million, making it the largest circulation weekly news magazine in the world."
