Reggae/dancehall artist ___ Paul.   		4 letters,"SEAN.    	Sean Paul is the stage name of Sean Paul Ryan Francis Henriques, a Jamaican reggae artist."
"""Meet the Press"" guest, for short.   		3 letters",POL.    	Politician (pol.)
Houston baseballer.   		5 letters,"ASTRO.    	The Houston baseball team changed its name from the Colt .45s in 1965, when they started playing in the Astrodome. The Astrodome was so called in recognition of the cities long history with the US space program."
Cheerios grain.   		3 letters,"OAT.    	Cheerios breakfast cereal has the distinction of being the first oat-based cereal introduced into the market, in 1941. Back then it was called CheeriOats."
Ed.'s stack.   		3 letters,MSS.    	An editor (ed.) might be faced with a pile of manuscripts (MSs).
House of ___ (European princely dynasty).   		4 letters,ESTE.    	The House of Este is a princely dynasty in Europe. The House of Hanover that ruled Britain from 1714 to 1901 (when Queen Victoria died) was perhaps the most notable branch of the House of Este.
U.N.   		3 letters,"ILO.    	The ILO (International Labour Organization) is an agency now administered by the UN which was established by the League of Nations after WWI. The ILO deals with important issues such as health and safety, discrimination, child labor and forced labor. The organization was recognized for its work in 1969 when it was awarded the Nobel Peace Prize."
Lago or río contents.   		4 letters,"AGUA.    	In Spanish, a lake (lago) o a river (río) contains water (agua)."
Salinger heroine.   		4 letters,"ESME.    	J. D. Salinger wrote a short story called ""For Esmé - with Love and Squalor"", originally published in ""The New Yorker"" in 1950. It is a story about a young English girl called Esme and an American soldier, and is set in WWII."
Banned insecticide.   		3 letters,"DDT.    	DDT is dichlorodiphenyltrichloroethane (don't forget now!). DDT was used with great success to control disease-carrying insects during WWII, and when made available for use after the war it became by far the most popular pesticide. And then Rachel Carson published her famous book ""Silent Spring"", suggesting there was a link between DDT and diminishing populations of certain wildlife. It was the public outcry sparked by the book, and reports of links between DDT and cancer, that led to the ban on the use of the chemical in 1972. That ban is touted as the main reason that the bald eagle was rescued from near extinction."
Kwik-E-Mart operator.   		3 letters,"APU.    	The fictional store, Kwik-E-Mart, is operated by Apu Nahasapeemapetilon, on ""The Simpsons"" TV show. The convenience store owner doesn't seem to be making much practical use of his Ph. D. in computer science that he earned in the US. His undergraduate degree is from Caltech (the Calcutta Technical Institute), where he graduated top of his class ... of seven million students ..."
John ___.   		3 letters,"DOE.    	Although the English court system does not use the term today, John Doe first appeared as the ""name of a person unknown"" in England in 1659, along with another unknown, Richard Roe. The female equivalent of John Doe is Jane Doe, with the equivalent to Richard Roe being Jane Roe (as in Roe v. Wade, for example)."
___ salts.   		5 letters,"EPSOM.    	Epsom is most famous for its racecourse, at which is run the Epsom Derby every year, one of the three races that make up the English Triple Crown. You might also have heard of Epsom salts. Epsom salts are magnesium sulfate, originally prepared by boiling down mineral waters (Epsom was indeed a spa town at one time)."
Prego competitor.   		4 letters,"RAGU.    	The Ragu brand of pasta sauce is owned by Unilever. The name "" Ragù"" is the Italian word for a sauce used to dress pasta, however the spelling is off a little. In Italian the word is ""Ragù"" with a grave accent over the ""u"", but if you look at a jar of the Unilever sauce, it is spelled ""Ragú"" on the label, with an acute accent. Sometimes I think we just don't try ..."
Hitter's stat.   		3 letters,RBI.    	Runs batted in (RBI)
Abbr.   		3 letters,"RBI.    	Topps was a relaunch of an older company called American Leaf Tobacco, with the Topps name used from 1938. The earlier company was in trouble because it could not get supplies of its Turkish tobacco, so it moved into another chewy industry, making bubblegum."
H.S.   		4 letters,PSAT.    	I think the acronym PSAT used to stem from Preliminary Scholastic Aptitude Test.
"""Yeah, yeah, little ___"" (1964 song refrain part).   		3 letters","GTO.    	""Yeah, yeah, little GTO"" are words appearing the song 'G.T.O', the debut recording for the surf rock group from the sixties known as Ronny & the Daytonas."
Operator of the original N.Y.C.   		3 letters,"IRT.    	The Interborough Rapid Transit Company was the original, private operator of the New York Subway when it opened in 1904. The city took over ownership of the system in 1940, and the original lines operated by the IRT are still known by the IRT moniker."
Gambling game whose name spells a gambling town when the first letter is changed.   		4 letters,"KENO.    	The name ""Keno"" has French or Latin roots, with the French ""quine"" being a term for five winning numbers, and the Latin ""quini"" meaning ""five each"". The game originated in China and was introduced into the West by Chinese immigrants who were working on the first Transcontinental Railroad in the 1800s."
"What knows the drill, for short?.   		4 letters","ROTC.    	The Reserve Officers' Training Corps (ROTC) is a training program for officers based in colleges all around the US. The ROTC program was established in 1862 when as a condition of receiving a land-grant to create colleges, the federal government required that military tactics be part of a new school's curriculum."
Da's opposite.   		4 letters,"NYET.    	""Nyet"" is Russian for ""no"", and 'da' is Russian for 'yes'."
Designer monogram.   		3 letters,"YSL.    	Yves Saint-Laurent was a French fashion designer, actually born in Algeria. Saint-Laurent started off working as an assistant to Christian Dior at the age of 17. Dior died just four years later, and as a very young man Saint-Laurent was named head of the House of Dior. However, in 1950 he was conscripted into the French Army and ended up in a military hospital after suffering a mental breakdown from the hazing inflicted on him by his fellow soldiers. His treatment included electroshock therapy and administration of sedatives and psychoactive drugs. Saint-Laurent was released from prison, managed to pull his life back together, and started his own fashion house. A remarkable story ..."
"33 1/3, 45 or 78, briefly.   		3 letters","RPM.    	The first vinyl records designed to play at 33 1/3 rpm were introduced by RCA Victor in 1931, but were discontinued due to quality problems. The first Long Play (LP) 33 1/3 rpm disc was introduced by Columbia Records many years later in 1948, with RCA Victor following up with a 45 rpm ""single"" the following year, in 1949."
Watts on a screen.   		5 letters,NAOMI.    	Naomi Watts was born in the UK and moved to Australia when she was 14 years of age. It was in Australia that Watts got her break in television and movies. Probably her most acclaimed role was in the 2003 film '21 Grams' with Sean Penn and Benicio del Toro. Watts is best friends with fellow Australian actress Nicole Kidman.
"""Back in Black"" band.   		5 letters","AC/DC.    	The Heavy Metal band known as AC/DC was formed by two brothers in Australia. The group is usually called ""Acca Dacca"" down under."
Aesop character who lost a race.   		4 letters,"HARE.    	Aesop is remembered today for his famous fables. Aesop lived in Ancient Greece, probably around the sixth century BC. Supposedly he was born a slave, somehow became a free man, but then met with a sorry end. Aesop was sent to the city of Delphi on a diplomatic mission but instead insulted the Delphians. He was tried on a trumped-up charge of stealing from a temple, sentenced to death and was thrown off a cliff."
Butler's maiden name?.   		6 letters,"O'HARA.    	In Margaret Mitchell's novel 'Gone with the Wind', when Rhett Butler finally walks out on Scarlett O'Hara he utters the words 'My dear, I don't give a damn'. Most of us are more familiar with the slightly different words spoken by Clark Gable in the film adaption of the story: 'Frankly, my dear, I don't give a damn.'"
Eastern state?.   		3 letters,"ZEN.    	Zen is one of the Buddhist schools, and it developed its own tradition in China back in the 7th century AD. Zen is a Japanese spelling of the Chinese word ""chan"", which in turn derives from the Sanskrit word ""dhyana"" meaning ""meditation""."
"Dorm heads, for short.   		3 letters","RAS.    	RAs are resident assistants or resident advisers, the peer leaders found in residence halls, particularly on a college campus."
Wyatt of the Old West.   		4 letters,"EARP.    	The legendary Western gunfighter and lawman Wyatt Earp has been portrayed on the big and small screen many, many times. Kevin Costner played the title role in 1994's 'Wyatt Earp', and Val Kilmer played Earp in 2012's 'The First Ride of Wyatt Earp'. Joel McCrea had the part in 1955's 'Wichita', and Kurt Russell was Earp in 1993's 'Tombstone'."
Subject of an exhaustive E.P.A.   		4 letters,"SMOG.    	""Smog"" is of course a portmanteau word formed by melding ""smoke"" and ""fog"". It was first used to describe the air around London in the early 1900s."
Río makeup.   		4 letters,"AGUA.    	In Spanish, there is water (agua) in a river (río)."
Silent ___ (Coolidge nickname).   		3 letters,"CAL.    	President Calvin Coolidge, the only US President to have been born on July 4th, was known as a man of few words. It was while he was serving as Vice-President in the administration of Warren G. Harding, that Coolidge earned the nickname 'Silent Cal'. There is a famous story told about Coolidge's reticence that I would love to think is true, attributed to the poet Dorothy Parker. Sitting beside him at dinner, she remarked to him, ""Mr. Coolidge, I've made a bet against a fellow who said it was impossible to get more than two words out of you."" His famous reply: ""You lose ..."""
Tach readout.   		3 letters,"RPM.    	The tachometer takes its name from the Greek word ""tachos"" meaning ""speed"". A tachometer measures engine revolutions per minute (rpm)."
March org.?.   		4 letters,"ROTC.    	The Reserve Officers' Training Corps (ROTC) is a training program for officers based in colleges all around the US. The ROTC program was established in 1862 when, as a condition of receiving a land-grant to create colleges, the federal government required that military tactics be a part of a new school's curriculum."
"Hit bonus, for short.   		3 letters",RBI.    	Runs batted in (RBI)
Casino game with numbered balls.   		4 letters,"KENO.    	The name ""Keno"" has French or Latin roots, with the French ""quine"" being a term for five winning numbers, and the Latin ""quini"" meaning ""five each"". The game originated in China and was introduced into the West by Chinese immigrants who were working on the first Transcontinental Railroad in the 1800s."
Message from police HQ.   		3 letters,APB.    	An All Points Bulletin (APB) is a broadcast from one US law enforcement agency to another.
