One of eight baby teeth.   		5 letters,MOLAR.    	Molars are grinding teeth. The term 'molar' comes from the Latin 'mola' meaning 'millstone'.
Pants material.   		5 letters,"CHINO.    	Chino is a twill cloth most often used to make hard-wearing pants. The pants have come to be referred to as chinos. Chino cloth was originally developed for use by the military, but quickly became popular with civilians."
"John, James or Judas.   		7 letters","APOSTLE.    	In the Christian tradition, John the Apostle was one of the twelve followers of Jesus who were called the Apostles. John lived longer than all of the other Apostles and was the only one who did not die a martyr. John wrote the Gospel of John in the New Testament, as well as three Epistles of John and the Book of Revelation."
Seductress.   		4 letters,VAMP.    	A 'vamp' (short for vampire) is a seductive woman.
Astronomer Hubble.   		5 letters,"EDWIN.    	The famous Hubble Space Telescope was installed in orbit by the Space Shuttle Discovery in 1990. The telescope was named for the astronomer Edwin Hubble, the man who changed our view of the universe by postulating that the universe is expanding."
Popular pinup publication.   		5 letters,"MAXIM.    	""Maxim"" is an international men's magazine featuring revealing photo spreads (non-nude in the US) of female celebrities and models."
Belafonte hit.   		5 letters,"DAY-O.    	'Day-O (The Banana Boat Song)' is a traditional folk song from Jamaica. It is sung from the standpoint of dock workers unloading boats on the night shift, so daylight has come, and they want to go home. The most famous version of 'Day-O' was recorded by Harry Belafonte, in 1956."
Many watch his movies for kicks.   		9 letters,"BRUCE LEE.    	Bruce Lee was born not far from here in San Francisco although he was raised in Hong Kong, returning to the US to attend college. Sadly, Bruce Lee died when he was only 32 years old, due to cerebral edema (a swelling of the brain) attributed to adverse reactions to the pain killing drug Equagesic."
Nabors title role of 1960s TV.   		4 letters,"PYLE.    	Jim Nabors was discovered by Andy Griffith and brought onto ""The Andy Griffith Show"" as Gomer Pyle, the gas station attendant. Famously, Nabors then got his own show called ""Gomer Pyle, U.S.M.C."" Gomer had a cousin on the 'The Andy Griffiths Show' called Goober Pyle. Goober was played by George Lindsay. Lindsay had auditioned for the Gomer part, but that went to Nabors."
"""As cold as the Rockies"" sloganeer.   		5 letters","COORS.    	Adolph Coors founded the Coors brewing company in 1873, in Golden, Colorado. Coors was originally from the Rhine Province in Prussia, and worked in various brewers around what is today Germany before immigrating to the US in 1868. Despite all of his success as a brewer here in America, Coors ended up taking his own life in 1929, by jumping to his death out of a hotel window."
Modern-day capital that King David ordered besieged.   		5 letters,"AMMAN.    	Amman is the capital city of Jordan, and is one of the oldest continuously-inhabited cities in the world. Amman has been occupied by a number of different civilizations over the centuries, including the Greeks who called it Philadelphia, a name retained by the Romans when they occupied the city just after 100 AD."
"In need of a shampoo, say.   		4 letters","OILY.    	Back in the 1760s, the verb 'shampoo' was an Anglo-Indian word meaning 'to massage'. A century later we started to shampoo our hair."
California resort town.   		4 letters,"OJAI.    	The city of Ojai, California is located just northwest of Los Angeles. One of the city's claims to fame is that according to the TV shows 'The Bionic Woman' and 'The Six Million Dollar Man', Jaime Sommers and Steve Austin grew up in Ojai and were childhood sweethearts!"
Stain-removing compound.   		8 letters,"SAL SODA.    	Sodium carbonate is a well known as a water softener sold for use in laundry, and is variously described as Sal Soda, Washing Soda and Soda Crystals."
Shout after a series of numbers.   		4 letters,"HIKE.    	The quarterback starts each play in football with a ""snap"" (also called a ""hike""). He announces to his teammates the exact moment of the snap by calling out signals, usually including the word ""hut"" one or more times in a prearranged sequence."
Toy company acquired by Mattel in 1997.   		4 letters,"TYCO.    	The Tyco brand of toys was founded in 1926 as Mantua Metal Products by John Tyler. The first products made were scale model trains using die-cast metal. The company introduced the Tyco brand in the fifties, with 'Tyco' standing for 'Tyler Company'."
"""Duh, I get it"".   		4 letters","AHSO.    	The slang term 'ahso' is used in American English to mean 'I see'. The term derives from the Japanese expression 'Ah so desu ka' meaning 'Oh, that's how it is'."
Actress Charlotte and explorer John.   		4 letters,"RAES.    	Charlotte Rae is an American actress, best known for playing the character Edna Garrett on two sitcoms from the seventies and eighties: ""Diff'rent Strokes"" and ""The Facts of Life"". Towards the end of the series, the Edna Garrett character operated her own gourmet food shop called 'Edna's Edibles'."
Like steak tartare.   		3 letters,"RAW.    	What we now call steak tartare was first served in French restaurants in the early 1900s, and back then was called steak à l'Americaine, would you believe? It was basically raw, seasoned beef mixed with egg yolk. A later version of l'Americaine, without the egg yolk and with tartar sauce served on the side, was called steak tartare. Over time the two versions became one, and the steak tartare moniker won out. By the way, if you order steak tartare in Switzerland, I believe you are served horse meat."
"""A priest and a dog walk into ___ ..."".   		5 letters","A BAR.    	A rabbi, a priest and a duck walk into a bar, and the bartender says, 'What is this? A joke?'"
Case for a lawyer.   		7 letters,"ATTACHE.    	Attaché is a French term which literally means ""attached"", and is used for a person who is assigned to the administrative staff of some agency or other service. The term is most recognized as it applies to someone assigned to an Ambassador's staff at an embassy. The word was extended to 'attaché case' at the beginning of the twentieth century, meaning a leather case used for carrying papers, perhaps by an attaché at an embassy."
Has a yen (for).   		5 letters,"ACHES.    	The word ""yen"", meaning ""urge"", has been around in English since the very early 1900s. It comes from the earlier word ""yin"" imported from Chinese, which was used in English to describe an intense craving for opium!"
Beau Brummell accessories.   		6 letters,"ASCOTS.    	An Ascot tie is a horrible-looking (I think!) wide tie that narrows at the neck, which these days is only really worn at weddings. The tie takes its name from the Royal Ascot horse race at which punters still turn up in formal wear at Ascot Racecourse in England."
"Musical title character who ""made us feel alive again"".   		4 letters","MAME.    	The musical ""Mame"" opened on Broadway in 1966, with Angela Lansbury in the title role. The musical is based on the 1955 novel ""Auntie Mame"" written by Patrick Dennis."
Coal carriers.   		4 letters,"HODS.    	A hod is a 3-sided box on the the end of a long handle used for carrying bricks (and sometimes mortar) at a construction site, usually up and down ladders."
Martinez with three Cy Young Awards.   		5 letters,"PEDRO.    	Pedro Martinez is a retired baseball pitcher from the Dominican Republic. Martinez won the Cy Young Award three times, and was on the Boston Red Sox team that won the 2004 World Series."
Maxima.   		5 letters,"ACMES.    	The ""acme"" is the highest point, coming from the Greek word ""akme"" which has the same meaning."
Capital of Jordan.   		5 letters,"AMMAN.    	Amman is the capital city of Jordan, and is one of the oldest continuously-inhabited cities in the world. Amman has been occupied by a number of different civilizations over the centuries, including the Greeks who called it Philadelphia, a name retained by the Romans when they occupied the city just after 100 AD."
"Antony's player in ""Julius Caesar,"" 1953.   		6 letters","BRANDO.    	Marlon Brando won the Oscar for Best Actor for his portrayal of Vito Corleone in the 1972 blockbuster ""The Godfather"". He turned down the award and didn't attend the ceremony. Instead he sent a Native American rights activist called Sacheen Littlefeather who made a speech protesting the depiction of Native Americans in Hollywood movies. Brando wasn't the first person to refuse an Oscar. George C. Scott did the same thing when he won for playing the title role in 1970's ""Patton"". Scott just didn't like the whole idea of ""competing"" with other actors."
Schleppers' aids.   		5 letters,"TOTES.    	Our word 'schlep' means 'to carry, drag'. As one might expect, 'schlep' comes from Yiddish, with 'shlepen' having the same meaning."
"""Good job by you!"".   		6 letters","KUDOS!.    	Our word ""kudos"" means acclaim given for an exceptional achievement. ""Kudos"" is not a plural, despite a common misapprehension. It is a singular noun derived from the Greek ""kyddos"" meaning ""glory, fame""."
Some voices.   		5 letters,"ALTOS.    	In choral music, an alto (plural 'alti') is the second-highest voice in a four-part chorus made up of soprano, contr(alto), tenor and bass. The word ""alto"" describes the vocal range, that of the deepest female singing-voice, whereas the term ""contralto"" describes more than just the alto range, but also its quality and timbre. An adult male's voice (not a boy's) with the same range as an alto is called a ""countertenor""."
"Larva, e.g.   		5 letters","STAGE.    	The larva is an intermediate stage in the development of an insect. All four stages are embryo, larva, pupa and imago."
"She, in Salerno.   		4 letters","ESSA.    	Salerno is a port city on the southwest coast of Italy. In WWII, after the Italians negotiated a peace treaty with the Allies in 1943, the King of Italy relocated to Salerno from Rome. The new Italian government was set up in the city, and for a few months Salerno was 'capital' of the country."
Pratt Institute degs.   		4 letters,"MFAS.    	The Pratt Institute is an art college in Brooklyn, New York. The school started out as an engineering college in 1887, founded by oil industry pioneer Charles Pratt. However, the engineering program was dropped in 1993 due to small enrolment numbers."
Prefix with pressure.   		4 letters,"ACU-.    	Acupressure and acupuncture are related alternative medical techniques. Both aim to clear blockages in the flow of life energy through the body's meridians. The treatment is given by stimulating 'acupoints' in the body, by applying pressure in the case of acupressure, and by applying needles in the case of acupuncture."
Fills up.   		5 letters,"SATES.    	""Sate"" is a variant of the older word ""satiate"". Both terms can mean either to satisfy an appetite fully, or to eat to excess."
Desert steed.   		7 letters,"ARABIAN.    	The Arab (or Arabian) breed of horse takes its name from its original home, the Arabian Peninsula. Like any animal that humans have over-bred, the horse falls prey to genetic diseases, some of which are fatal and some of which require the horse to be euthanized."
Book after Genesis.   		6 letters,"EXODUS.    	The Book of Exodus is the second book in the Bible, and deals with Moses leading the Hebrews out of Egypt. The name ""exodus"" comes from the Greek ""exodos"" meaning ""departure""."
"""Here lies One ___ Name was writ in Water"" (words on Keats's tombstone).   		5 letters","WHOSE.    	The English poet John Keats died in Rome in 1821, and is buried there in the Protestant Cemetery. His last wish was that his grave be marked with a tombstone bearing just the words '""Here lies One whose Name was writ in Water"", and no name nor date. Keats' friends honored his request to some extent, as the words were included on the stone and no name is given. The full epitaph reads:"
"Jerry of ""Dirty Dancing"".   		6 letters","ORBACH.    	Jerry Orbach was an American actor, noted for playing one of the lead detectives in 'Law & Order' on television. Orbach also provided the voice for the character Lumière in the Disney feature 'Beauty and the Beast'. He had an important role in the great movie 'Dirty Dancing', playing Dr. Jake Houseman, Baby's father."
Melodious.   		6 letters,"ARIOSE.    	A tune that is 'ariose' is song-like, characterized by melody as opposed to harmony."
Army E-6: Abbr..   		4 letters,SSGT.    	Staff sergeant (SSgt)
Stores for G.I.'s.   		3 letters,"PXS.    	A PX is a Post Exchange, a retail store operating on a US Army Base. The equivalent store on an Air Force Base is called a Base Exchange (BX). At a Navy installation it's a Navy Exchange (NEX), at a Marine Corps installation it's a Marine Corps Exchange (MCX) and at a Coast Guard Installation it's a CGX."
Drivetrain part.   		4 letters,"AXLE.    	The drivetrain of a car is made up of the components that deliver power to the driving wheels. The drivetrain excludes the engine, which produces that power. The combination of the engine and the drivetrain is known as the powertrain."
It makes a whiskey sour sour.   		5 letters,"LEMON.    	A whiskey sour is made from whiskey, lemon juice and sugar, usually garnished with an orange slice and a maraschino cherry."
"Sam Cooke's ""___ Little Love"".   		5 letters","TRY A.    	Sam Cooke was a soul singer from Clarksdale, Mississippi. Cooke is considered by many to have been one of the founders of the soul genre. Cooke's impressive list of hits includes 'You Send Me', Chain Gang' and 'Twistin' the Night Away'. Cooke was only 33 years old when he died. He was shot after a drunken brawl by a motel manager in what was deemed by the courts to be a justifiable homicide."
Cell in a network.   		6 letters,"NEURON.    	A nerve cell is more correctly called a neuron, and the long nerve fiber that is part of a neuron is called the axon."
Kabul native.   		6 letters,"AFGHAN.    	Kabul is the capital and largest city of Afghanistan. The city has been the site of major conflict for much of the 3,500 years that it has been in existence. In the past this conflict was mainly driven by the city's strategic location on the major trade routes of south and central Asia."
Symbol on the flag de Argentina.   		6 letters,"EL SOL.    	The flag of Argentina is composed of three horizontal bands, light blue on the top and bottom, and white across the middle. The simpler version of the flag just has these three bands. The full version of the flag includes a sun in the center of the white band."
2008 Obama catchword.   		4 letters,"HOPE.    	Barack Obama's 2008 presidential campaign focused on the themes of hope and change. The future-president also wrote a book called 'The Audacity of Hope', which was first published in 2006."
Land on the Red Sea.   		7 letters,"ERITREA.    	Eritrea is a country located in the Horn of Africa, surrounded by Sudan, Ethiopia, Djibouti and the Red Sea. Some scientists believe that the area now known as Eritrea was the departure point for the anatomically modern humans who first left Africa to populate the rest of the world."
Like a calico.   		4 letters,"PIED.    	Domestic cats with a white coat and patches of brown and black are called calico cats in this country. Back in Ireland, and the rest of the world I think, such cats are called tortoiseshell-and-white. ""Calico"" is not a breed of cat, simply a coloring."
"""Clair de Lune"" composer.   		7 letters","DEBUSSY.    	Claude Debussy is one of my favorite composers, one who epitomises the Romantic Era and Impressionist Movement in music. One of my favorite CDs is a collection of some ""lighter"" Debussy pieces called ""Debussy for Daydreaming"", and what an evocative collection it is. Included are ""Syrinx"", ""Maid with the Flaxen Hair"", ""Rêverie"" and everyone's favorite, ""Clair de Lune""."
Miracle-___.   		3 letters,"GRO.    	Scotts Miracle-Gro Company was founded in 1868 by one Orlando Scott, initially selling seed to the agricultural industry. In the early 1900s, Scotts started to sell to homeowners, mainly supplying lawn seed. The company merged with the gardening company Miracle-Gro in 1955."
"TV greaser, with ""the"".   		4 letters","FONZ.    	Fonzie is a character in the sitcom 'Happy Days' that was originally aired from 1974 to 1984. The Fonz was written as a secondary character, but eventually took over the show. Fonzie is of course played by Henry Winkler."
State that borders three Can.   		4 letters,"MONT.    	Montana is the only US state that borders three Canadian provinces: Alberta, British Columbia and Saskatchewan."
Message to one's followers.   		5 letters,"TWEET.    	I have never tweeted in my life, and have no plans to do so (but one should never say 'never'). Twitter is a microblogging service that limits any post sent to just 140 characters. In a sense, it is similar to this blog. Here I send out a post once a day containing information that I think might be useful to folks (thank you for reading!). I don't think I could send out much of interest using just 140 characters."
"Carl who directed ""Oh, God!"".   		6 letters","REINER.    	The multi-talented Carl Reiner is from the Bronx, New York. Reiner was married to singer Estelle Roberts. You might remember Roberts from the film 'When Harry Met Sally'directed by Carl's son, Rob Reiner. Estelle was the woman in the deli who said the famous line ' I'll have what's she's having' on seeing how excited Meg Ryan apparently was with her sandwich."
