_MC,"GMC.    	GMC is a division of General Motors (GM) established in 1901 that started out as ""GMC Truck""."
RYA_,"RYAN.    	Jack Ryan is a great character in many of Tom Clancy's novels. He first appeared as a CIA analyst in ""The Hunt for Red October"", and by the time ""Executive Orders"" was published, he was President of the United States. He is a great character ..."
A_LAH,"ALLAH.    	The name 'Allah' comes from the Arabic 'al-' and 'ilah', meaning 'the' and 'deity'. So 'Allah' translates as 'God'."
_AR,"GAR.    	The fish known as a gar is very unusual in that it is often found in very brackish water. What is interesting about gar is that their swim bladders are vascularized so that they can actually function as lungs. So many species of gar can be seen coming to the surface and taking a gulp of air. This adaptation makes it possible for them to live in conditions highly unsuitable for other fish that rely on their gills to get oxygen out of the water. Indeed, quite interesting ..."
ASSA_,"ASSAD.    	Dr. Bashar al-Assad is the current President of the Syrian Arab Republic and the son of the former President, Hafez al-Assad, whom he replaced in 2001. President Assad is a medical doctor, speaks fluent English and conversational French. Assad was studying ophthalmology in London when he met his wife, an Englishwoman."
B_C,"BIC.    	Société Bic is a French company, based in Clichy in France. The first product the company produced, more than fifty years ago, was the Bic Cristal ballpoint pen that is still produced today. Bic also makes other disposable products such as lighters and razors."
CO_,"COL.    	Our word 'colonel' ultimately derives from the Latin 'columna' meaning 'pillar, column'."
S_RAH,"SARAH.    	Sarah Silverman is a comedian, but also a singer and actress. Her material is very ""edgy"", as she takes on social taboos such as racism, sexism and religion. She had a celebrity boyfriend for five years as she dated Jimmy Kimmel starting in 2002, soon after Kimmel's divorce from his first wife."
_EC,"AEC.    	The Atomic Energy Commission (AEC) was set up right after WWII in 1946, with the aim of promoting the peaceful use of atomic energy. Establishing the AEC was a significant move made by President Truman, as it passed control of atomic energy from the military to the civilian sector. The AEC continued to operate until 1974 when its functions were divided up into two new agencies: the Energy Research and Development Administration and the Nuclear Regulatory Commission (NRC)."
OAT_R,"OATER.    	The term ""oater"", used for a western movie, comes from the number of horses seen, and horses love oats!"
AN_H,"ANKH.    	The ankh was the ancient Egyptian hieroglyphic character for ""eternal life"". The ankh wasn't just used in inscriptions but was often fashioned into amulets and as surrounds for mirrors (perhaps symbolizing a view into another world)."
E_LS,EELS.    	Unagi is the Japanese word for freshwater eel.
E_AN,"EBAN.    	Abba Eban was an Israeli diplomat and politician, born Aubrey Solomon Meir Eban in Cape Town, South Africa. While working at the United Nations after WWII, Eban changed his given name to ""Abba"", the Hebrew word for ""father"". He made this change as reportedly as he could see himself as the father of the nation of Israel."
RIC_,"RICO.    	The Copacabana of song is the Copacabana nightclub in New York City (which is also the subject of the Frank Sinatra song ""Meet Me at the Copa""). The Copa opened in 1940, and is still going today although with difficulty. It had to move due to impending construction and is now ""sharing"" a location with the Columbus 72 nightclub."
MEH_A,"MEHTA.    	Zubin Mehta is an Indian conductor of western classical music, from Mumbai. Mehta studied music in Vienna, where he made his conducting debut in 1958. In 1961 he was named assistant director of the Los Angeles Philharmonic, creating a fuss with the music director designate of the orchestra, Georg Solti. Solti resigned as a protest, and Mehta took his job. In 1978 Mehta took over as Music Director and Principal Conductor of the New York Philharmonic, eventually becoming the longest holder of that position."
