Deterrent to swimming.   		5 letters,"ALGAE.    	Algae are similar to terrestrial plants in that they use photosynthesis to create sugars from light and carbon dioxide, but they differ in that they have simpler anatomies, and for example lack roots."
Langston Hughes poem.   		6 letters,"I, TOO.    	Langston Hughes was a poet active in the Harlem Renaissance, and someone who helped develop the literary form known as ""jazz poetry"". His poetry collection titled ""I, Too, Sing America"" was published in 1925."
Oklahoma Indians.   		6 letters,"OSAGES.    	The Osage Nation originated in the Ohio River valley in what we now call Kentucky. They were forced to migrate west of the Mississippi by the invading Iroquois tribe. Most of the tribe members now live in Osage County, Oklahoma."
...   		5 letters,"ZELIG.    	""Zelig"" is a 1983 film by Woody Allen. It tells the fictitious story, in documentary style, of Leonard Zelig (played by Allen), who has the gift of being able to change his appearance in order to better fit in with the company he keeps. He becomes famous as a ""human chameleon"". The film includes clever ""cameos"" by real figures from history (like Calvin Coolidge, Herbert Hoover and Susan Sontag) by using archive footage."
Sitcom with three stars.   		7 letters,"M*A*S*H.    	Yep, the title of ""M*A*S*H"" has three stars in it, three asterisks. These asterisks first appeared on the poster for the 1970 movie, but they were omitted in the opening titles. The TV series went on to use the asterisks from the poster."
"Drug taken in ""Rent"".   		3 letters","AZT.    	The musical 'Rent' is based on the Puccini opera 'La bohème'. It tells the story of struggling artists and musicians living in the Lower East Side of New York, against the backdrop of the AIDS epidemic."
"""Bones"" actress Deschanel.   		5 letters","EMILY.    	Emily Deschanel plays the title role (Dr. Temperance ""Bones"" Brennan) on the TV show ""Bones"". I haven't actually seen the show, but I saw her co-star Seeley Booth interviewed this evening, and he shared that relationship between the two lead characters on ""Bones"" is modeled on characters in Spencer Tracy/Katherine Hepburn movies. Might be worth a look then ..."
___ Martin (cognac brand).   		4 letters,"REMY.    	Remy Martin: my favorite cognac (remember that when it's my birthday!). In China, the name Remy Martin is not used, but rather the more colorful ""man-headed horse"", describing the centaur logo on the bottle."
___-garde.   		5 letters,"AVANT.    	People described as being avant-garde are especially innovative. ""Avant-garde"" is French for 'advance guard'."
"Actress Diane of ""Numb3rs"".   		4 letters","FARR.    	Diane Farr plays the FBI agent Megan Reeves on the TV show ""Numb3rs""."
Book after Jonah.   		5 letters,"MICAH.    	The Book of Micah is one of twelve books in the Bible written by the so called minor prophets. The name ""Micah"" translates into English from Hebrew as ""Who is like God?"""
Letters in front of an e-mail address.   		3 letters,BCC.    	A blind carbon copy (Bcc) is a copy of a document or message that is sent to someone without other recipients of the message knowing about that extra copy.
Baseball's Garciaparra.   		5 letters,NOMAR.    	Nomar Garciaparra is one of only thirteen players to have hit two grand slams during a single game in the Majors. He accomplished the feat in 1999 for the Boston Red Sox against the Seattle Mariners.
___-majesté.   		4 letters,"LESE.    	Lèse majesté is the crime of offending the dignity of the ""majesty"" or sovereign, or the state. The term is from French Law, and comes from the law of Ancient Rome. In Latin ""laesa maiestas"" means ""injured majesty"". Clearly, the term has no relevance in the United States but in other countries, including many in Europe, the law is occasionally cited."
Hill near a loch.   		4 letters,"BRAE.    	""Brae"" is a lowland Scots word for the slope or brow of a hill."
It parallels the fibula.   		5 letters,"TIBIA.    	The tibia is the larger of the two bones right below the knee, and is the strongest weight-bearing bone in the human body. ""Tibia"" is the Roman name for a Greek flute and it is thought that the shin bone was given the same name because flutes were often fashioned out of the shin bones of animals."
"Q-tip, e.g.   		4 letters","SWAB.    	Cotton swabs were invented in the twenties by one Leo Gerstenzang, a Polish-born American. He marketed his new product under the name ""Baby Gays"", but this was changed in 1926 to ""Q-Tip"", with the Q standing for ""quality""."
"Diner on ""Alice"".   		5 letters","MEL'S.    	The TV sitcom ""Alice"" ran from 1976 to 1985, a story about a widow named Alice who takes a job at Mel's Diner. The show was based on a very successful 1974 movie called ""Alice Doesn't Live Here Anymore"" directed by Martin Scorsese (his first Hollywood production) and starring Ellen Burstyn and Kris Kristofferson."
Contender in the Belmont.   		5 letters,"HORSE.    	The Belmont Stakes is a horse race held in June each year, at Belmont Park racetrack in Elmont, New York. The Belmont is the last of the US Triple Crown races, following the Kentucky Derby and the Preakness."
Capital near Lake Titicaca.   		6 letters,"LA PAZ.    	The capital of Bolivia, La Paz, is officially named Nuestra Senora de La Paz (Our Lady of Peace)."
Kenan's former Nickelodeon pal.   		3 letters,"KEL.    	""Kenan & Kel"" is a sitcom that aired on Nickelodeon from 1996 to 2000. It starred Kenan Thompson (now of ""Saturday Night Live""), and Kel Mitchell."
Paper quantity.   		4 letters,"BALE.    	A paper bale is a quantity of paper equal to 5,000 sheets, or 10 reams."
Baum princess.   		4 letters,"OZMA.    	L. Frank Baum wrote a whole series of books about the Land of Oz, and Princess Ozma appears in all of them except the one that's most famous, ""The Wonderful Wizard of Oz""."
Writer Wallace.   		3 letters,"LEW.    	Lew Wallace was a general for the Union Army during the Civil War, and was also an author. He wrote a very successful and celebrated book called 'Ben-Hur: A Tale of the Christ', first published in 1880."
Govt.   		3 letters,"HUD.    	The US Department of Housing and Urban Development (HUD)can at times provide loans to individuals for purchase of a home. If necessary, HUD may foreclose and take possession of the home. As a result, HUD holds periodic auctions, in which foreclosed homes are sold to the highest bidder."
