NAI_,"NAIF.    	A naïf is someone who is naive, as ""naïf"" is the French word for ""naive""."
MARSBA_S,"MARS BARS.    	Having lived on both sides of the Atlantic, I find the Mars Bar to be the most perplexing of candies! The original Mars Bar is a British confection (and delicious) first manufactured in 1932. The US version of the original Mars Bar is called a Milky Way. But there is candy bar called a Milky Way that is also produced in the UK, and it is completely different to its US cousin, being more like an American ""3 Musketeers"". And then there is an American confection called a Mars Bar, something different again. No wonder I gave up eating candy bars ..."
_ARNE,"CARNE.    	Carne: Spanish for ""meat""."
TANI_,"TANIA.    	Famously, Patty Hearst joined forces with her 1974 kidnappers, the Symbionese Liberation Army. At the same time she took on an assumed name, Tania. Patty Hearst spent almost two years in jail for her illegal activities with the group, but was released when her sentence was commuted by President Carter. President Clinton's last official act before leaving office was to grant Patty Hearst a pardon."
OPE_SESAME,"OPEN SESAME.    	In the Arabic tale ""Ali Baba and the Forty Thieves"", the magical cave entrance is opened with the words ""Open, Simsim"", but this mutated into ""Open Sesame"" in European translations."
DIM_,"DIME.    	The term 'dime', used for a 10-cent coin, comes from the Old French word 'disme' meaning 'tenth part'."
MOSH_,"MOSHE.    	Moshe Arans is a former Israeli politician, one with a lot of experience. He served as Minister of Defense three times, Minister of Foreign Affairs once, and was also Ambassador the United States."
IM_MAN,I'M A MAN.    	I'm a Man' is a 1955 song written and recorded by Bo Diddley. The most famous cover version of the song was released in 1965 by English rock band the Yardbirds.
BRU_E,"BRUCE.    	Actor Bruce Willis started to hit the big time when he got a lead role in the comedy detective series 'Moonlighting' in the late eighties. Willis was born in Germany, where his father was stationed while serving in the US Army. Willis' mother was German."
AN_YS,"ANDYS.    	Raggedy Andy was introduced as the brother to Raggedy Ann in a the 1920 book ""Raggedy Andy Stories""."
SIM_,"SIMP.    	""Simp"" is slang for a simple or foolish person."
B_YS,BOYS.    	The Hot Wheels brand of toy car was introduced by Mattel in 1968.
S_OAT,"SHOAT.    	""Shoat"" is a name given to a young hog, after it has been weaned."
B_NK,"BANK.    	A certificate of deposit is sort of like a less flexible, but higher paying, savings account. Instead of depositing into a savings account, and earning interest periodically, the amount depending on the balance at that time, one can open a CD. With a CD one deposits a minimum amount of money, and must leave it there for a specified length of time. In return one is given a higher interest rate than a savings account, and can redeem that interest and the initial deposit when the term has expired. CDs are relatively low risk investments as they are FDIC insured, just like savings accounts."
SON_Y,"SONNY.    	Sonny Corleone was oldest son of Don Vito Corleone in Mario Puzo's great novel, ""The Godfather"". In the movie he was played by James Caan. Sonny Corleone appears as a boy in the movie ""The Godfather: Part II"", and is played by director Francis Ford Coppola's own son, Roman Coppola."
SA_ORI,"SATORI.    	Satori is a Japanese term, used in the Zen Buddhist tradition. It does not refer to full enlightenment (nirvana) but is rather a step along the way, a flash of awareness."
_PS,"PPS.    	One adds a PS (postscriptum) at the end of a letter. A second postsciptum (or postscript) is a post postscriptum, a PPS."
IT_,"IT I.    	Perhaps the most famous rendition of the words ""Is it I"", comes from the Bible, Matthew 2:25. When Jesus is talking of his pending betrayal, Judas asks Him, ""Is it I?"""
O_ARKS,"OZARKS.    	The Ozark Mountains aren't really mountains geographically speaking, and the Ozarks are better described by the alternate name, the Ozark Plateau. It's not really certain how the Ozarks got their name, but my favorite theory is that ""Ozarks"" is the phonetic spelling of ""aux Arks"", short for ""of Arkansas"" in French."
W_ISS,"WEISS.    	The name ""Marat/Sade"" is a useful abbreviation for the real name of Peter Weiss's most famous play. It is actually called ""The Persecution and Assassination of Jean-Paul Marat as Performed by the Inmates of the Asylum of Charenton Under the Direction of the Marquis de Sade"". Don't forget now ..."
T_ONE,"T-BONE.    	The T-bone and porterhouse are related cuts of meat, with the latter being a larger version of the former, and both being cut from the short loin."
_AT,"WAT.    	Angkor Wat is a temple in Cambodia built in the 12th century. The beautiful building is iconic in Cambodia, and is featured at the center of the country's national flag."
LU_ET,"LUMET.    	As a movie director Lumet had a great string of celebrated films to his name including '12 Angry Men', 'Dog Day Afternoon', 'Network' and 'The Verdict'. Although nominated for the Academy Award for Best Director for each of these films, he never won an individual Oscar. However, the Academy gave Lumet the recognition he deserved in 2004 by presenting him with an Honorary Award."
BIK_,"BIKO.    	""Cry Freedom"" is a 1987 British film directed by Richard Attenborough and starring Denzel Washington. It tells the story of Steve Biko, a black activist in South Africa during the days of apartheid."
B_UE,BLUE.    	'Roy G. Biv' is a mnemonic for the colors in a rainbow:
B_ANDO,"BRANDO.    	Marlon Brando won the Oscar for Best Actor for his portrayal of Vito Corleone in the 1972 blockbuster ""The Godfather"". He turned down the award and didn't attend the ceremony. Instead he sent a Native American rights activist called Sacheen Littlefeather who made a speech protesting the depiction of Native Americans in Hollywood movies. Brando wasn't the first person to refuse an Oscar. George C. Scott did the same thing when he won for playing the title role in 1970's ""Patton"". Scott just didn't like the whole idea of ""competing"" with other actors."
EE_,"EEE.    	A roomy, wide, flat shoe might by a EEE."
J_ETORRE,"JOE TORRE.    	As a manager, Joe Torre was part of four World Series wins, all of them with the New York Yankees baseball team. Torre is an Italian American who was born in Brooklyn, New York. During the run up (pun intended!) to the 2006 Winter Olympics in Turin, Torre carried the Olympic flame part of the way through Florence in Italy, handing it over to the next runner at the famous Ponte Vecchio. I'd guess that was quite a thrill for him ..."
SORT_ES,"SORTIES.    	A 'sortie' is an attack by an armed unit, usually a breakout by forces that are besieged, The term 'sortie' comes directly from French and means 'a going out'. 'Sortie' is also used for a mission by a combat aircraft."
_ENS,"LENS.    	Our word 'lens' is Latin in origin, meaning 'lentil'. The idea is that a lentil has a double-convex shape, as do many lenses."
S_DA,"SADA.    	Sada Thompson was an actress from Des Moines, Iowa. Thompson is best known for playing the mother and wife in the eighties television drama series called 'Family'."
SW_M,"SWIM.    	To be 'in the swim' (also 'in the swim of things') is to be in the thick of things, actively engaged in events."
BAN_S,BANGS.    	Mamie Eisenhower has to have been one of the most charming of all the First Ladies of the United States. Ms. Eisenhower suffered from an inner ear complaint called Ménière's disease which caused her to lose her balance quite often. Because she was unsteady on her feet there were unfounded rumors floating around Washington that Ms. Eisenhower had a drinking problem. People can be very unkind ...
A_EE,"A-DEE.    	'Zip-a-Dee-Doo-Dah' is a song from the Disney film 'Song of the South', released in 1946. The song won the Oscar for Best Original Song in 1947."
GE_,GEM.    	A lot of people think that the Inspector Clouseau character (played originally by Peter Sellers) is 'The Pink Panther'. It's actually the jewel that was stolen in the original movie. Would you believe there are eleven 'Pink Panther' movies in the whole series?
TO_IC,"TONIC.    	The original tonic water was a fairly strong solution of the drug quinine dissolved in carbonated water. It was used in tropical areas in South Asia and Africa where malaria is rampant. The quinine has a prophylactic effect against the disease, and was formulated as ""tonic water"" so that it could be easily distributed. In British colonial India, the colonial types got into the habit of mixing in gin with the tonic water to make it more palatable, and hide the bitter taste of the quinine. Nowadays, the level of quinine in tonic water has been dropped, and sugar has been added."
CR_X,"CRUX.    	""Crux"" is the Latin word for ""cross"", and came into English meaning ""a central difficulty"" in the early 1700s."
EDI_OR,EDITOR.    	An editor might work for a newspaper named 'The Star'.
DIT_A,"DITKA.    	Mike Ditka is a retired NFL player, and retired coach of Chicago Bears and New Orleans Saints. Ditak and Tom Flores are the only people to have won Super Bowls as a player, an assistant coach, and as a head coach."
TA_MAC,"TARMAC.    	The terms 'Tarmac' and 'macadam' are short for 'tarmacadam'. In the 1800s, Scotsman John Loudon McAdam developed a style of road known as 'macadam'. Macadam had a top-layer of crushed stone and gravel laid over larger stones. The macadam also had a convex cross-section so that water tended to drain to the sides. In 1901, a significant improvement was made by English engineer Edgar Purnell Hooley who introduced tar into the macadam, improving the resistance to water damage and practically eliminating dust. The 'tar-penetration macadam' is the basis of what we now call Tarmac."
M_G,MTG.    	39. See 37-Down : PDA
DAR_Y,"DARCY.    	Mr. Fitzwilliam Darcy has to be one of the great romantic leads in English literature. He of course appears opposite Mis Elizabeth Bennet in Jane Austen's ""Pride and Prejudice"". There have been many (terrible) ""sequels"" written for ""Pride and Prejudice"", but I have read one ""spin off"" that I heartily recommend if you'd like to explore the story of Elizabeth and Darcy some more. There is a three-part novel called ""Fitzwilliam Darcy: Gentleman"" written by Pamela Aiden and published in 2003-2005. Ms. Aiden does a great job retelling the story of ""Pride and Prejudice"", but from Darcy's perspective. It really is a great read, even for die-hard Austen fans ..."
_TENTS,"STENTS.    	In the world of medicine and surgery, a stent is an artificial tube inserted inside a vessel in the body, say a blood vessel, so that it reduces the effects of a local restriction in the body's conduit."
ATE_,"A TEE.    	The expression ""to a T"" can also be written as ""to a tee"", and has been around at least since 1693."
EU_ER,EULER.    	'Euler' sounds like 'oiler'.
KL_ENEX,"KLEENEX.    	What a clever clue! Even though Kleenex is sometimes used today as a generic term for a tissue, Kleenex is a brand name owned by Kimberley-Clark. Kleenex facial tissues came about after WW1. The material used in the tissue had been developed as a replacement for cotton that was in high demand as surgical tissue during the war. The material developed was called ""Cellucotton"" and was used in gas mask filters. It was first sold as a facial tissue under the name Kleenex in 1924."
A_BS,"ALBS.    	The alb is the white, neck-to-toe vestment worn by priests, usually worn with a rope cord around the waist. The term alb comes from ""albus"", the Latin word for ""white""."
ASPHA_T,"ASPHALT.    	It turns out that the ASPHALT surface on roads (or basketball courts) is more properly called asphaltic concrete, because ASPHALT itself is just the sticky black liquid that comes from crude petroleum. ASPHALT is used as a binder with aggregate to form the road surface, the asphaltic concrete."
DU_AI,"DUBAI.    	Burj Khalifa is a spectacular skyscraper in Dubai, United Arab Emirates. It is the tallest man-made structure in the world, and has been so since the completion of its exterior in 2009. The space in the building came onto the market at a really bad time, during the global financial crisis. The building was part of a US$20 billion development of downtown Dubai that was backed by the city government which had to go looking for a bailout from the neighboring city of Abu Dhabi. The tower was given the name Burj Khalifa at the last minute, apparently as a nod to the UAE president Khalifa bin Zayed Al Nahyan who helped to broker the bailout."
_DIEUX,"ADIEUX.    	""Adieu"" is the French for ""goodbye"" or ""farewell"", from ""à Dieu"" meaning ""to God"". The plural of ""adieu"" is ""adieux""."
ANT_NIA,"ANTONIA.    	American novelist Willa Cather wrote what's called the ""prairie trilogy"", books that tell the story of Swedish immigrants living in Nebraska. The titles in the trilogy are ""O, Pioneers!"", ""The Song of the Lark"" and ""My Antonia""."
JSBAC_,"JS BACH.    	Perhaps the most famous mass in classical music is J. S. Bach's ""Mass in B minor"", fittingly completed just before he died. It was one of the last of Bach's compositions, although much of the music was composed earlier in his life."
_LAGG,"FLAGG.    	Fannie Flagg is the stage name of American actress Patricia Neil. Neil had to change her name to avoid confusion with the famous Oscar-winning actress of the same name. As well as acting, Flagg is a celebrated author, her most famous work being the 1987 novel, ""Fried Green Tomatoes at the Whistle Stop Cafe"". She also wrote the screenplay for the screen adaptation ""Fried Green Tomatoes"" which was released in 1991."
_OG,DOG.    	A hot dog is a sausage served in a split roll. The term 'hot dog' dates back to the 19th-century and is thought to reflect a commonly-held opinion that the sausages contained dog meat.
_ARE,"MARE.    	There are lots of terms to describe horses of different ages and sexes, it seems:"
TOP_S,"TOPPS.    	Topps was a relaunch of an older company called American Leaf Tobacco, with the Topps name used from 1938. The earlier company was in trouble because it could not get supplies of its Turkish tobacco, so it moved into another chewy industry, making bubblegum."
ST_LETTO,"STILETTO.    	The stiletto knife was developed in Italy, and is a knife intended for thrusting and stabbing as opposed to slashing and cutting. The term 'stiletto' comes from the Latin 'stilus', which was a thin pointed writing instrument used in Ancient Rome to engrave wax or clay tablets. And, there are also stiletto heels on some women's shoes, heels that are long and thin."
_EWAR,"DEWAR.    	Dewar's is a blended Scotch whisky introduced in 1846 by John Dewar. Dewar's White Label is the company's most popular Scotch, first created in 1899, with a taste that is described as ""heather and honey"". Dewar's also make some single malts, under the labels Aberfeldy 12 and Aberfeldy 21. Today, Dewar's is owned by Bacardi."
L_SCALA,"LA SCALA.    	La Scala Opera House opened in 1778. It was built on the site of the church of Santa Maria della Scala, which gave the theater its name: ""Teatro alla Scala"" in Italian."
P_TTS,PUTTS.    	You gotta sink that putt on a golf course.
