"With 61-Across, physicist who studied supersonics.   		5 letters",ERNST.    	(61A. See 13-Down : MACH)
"Insurance plan, for short.   		3 letters",HMO.    	Health Maintenance Organization.
Political alliance of 1958: Abbr..   		3 letters,UAR.    	The United Arab Republic (UAR) was a union between Egypt and Syria made in 1958 and dissolved in 1961 when Syria pulled out of the arrangement.
Prego alternative.   		4 letters,"RAGU.    	The Ragú brand of pasta sauce is owned by Unilever. The name "" Ragù"" is the Italian word for a sauce used to dress pasta, however the spelling is off a little. In Italian the word is ""Ragù"" with a grave accent over the ""u"", but if you look at a jar of the sauce on the supermarket shelf it is spelled ""Ragú"" on the label, with an acute accent. Sometimes I think we just don't try ..."
"Member of the Be Sharps on ""The Simpsons"".   		3 letters","APU.    	In one episode of ""The Simpsons"", there appears a barbershop quartet that was founded by Homer Simpson, a group that has a history similar to that of the Beatles. The episode was recorded back in 1993, so George Harrison was around to make a guest appearance in a crowd scene as himself. The Be Sharps members are Homer Simpson, Principal Skinner, Barney Gumble and Apu Nahasapeemapetilon. The actual singing voices were provided by the Dapper Dans, a real-life quartet from Disneyland in Anaheim."
"""For Those About to Rock We Salute You"" band.   		5 letters","AC/DC.    	The Heavy Metal band known as AC/DC was formed by two brothers in Australia. The group is usually called ""Acca Dacca"" down under."
"""This Week"" airer.   		3 letters",ABC.    	'This Week' is an ABC Sunday morning political show that premiered in 1981.
Silver of fivethirtyeight.com.   		4 letters,"NATE.    	Nate Silver is a statistician who first gained notoriety by developing a forecasting system that predicted the future performance of baseball players. He then made a name for himself in the world of politics by predicting the outcome of the 2008 US presidential race. Silver successfully predicted the outcome of the election in 49 of the 50 states, missing out on Indiana, which Barack Obama won by less than 1% of the vote."
Beverage that may be foamy.   		5 letters,"LATTE.    	The name latte is an abbreviation of the Italian ""caffelatte"" meaning coffee (and) milk. Note that in the original spelling of latte, the Italian word for milk, there is no accent over the last ""e"", an error that we see a lot, perhaps meant to suggest that the word is French. In fact the French equivalent of a ""latte"" is ""cafe au lait""."
"""___ Smile,"" first hit for Hall & Oates.   		4 letters","SARA.    	Daryl Hall & John Oates are a pop music duo, most successful in the late seventies and early eighties. They had six number one hits, including the 1982 release ""Maneater""."
"Jessica of ""Sin City"".   		4 letters","ALBA.    	Actress Jessica Alba got her big break when she was cast in the Fox science fiction show 'Dark Angel'. Alba had a tough life growing up as she spent a lot of time in hospital and so found it difficult to develop friendships. As a youngster she twice had a collapsed lung, frequently caught pneumonia, suffered from asthma, had a ruptured appendix and a tonsillar cyst. On top of all that she acknowledges that she suffered from obsessive-compulsive disorder as a child. It seems that she has really turned her life around ..."
Bygone Mideast grp.   		3 letters,UAR.    	The United Arab Republic (UAR) was a union between Egypt and Syria made in 1958 and dissolved in 1961 when Syria pulled out of the arrangement.
Lucy Lawless title role.   		4 letters,"XENA.    	The Xena character, famously played by New Zealander Lucy Lawless, was introduced in a made-for-TV movie called 'Hercules and the Amazon Women'. Lawless reprised the role in a series called ""Hercules: The Legendary Journeys"". Xena became so popular that a series was built around her character, with Lawless retained for the role."
College recruitment org.   		4 letters,"ROTC.    	The Reserve Officers' Training Corps (ROTC) is a training program for officers based in colleges all around the US. The ROTC program was established in 1862 when as a condition of receiving a land-grant to create colleges, the federal government required that military tactics be part of a new school's curriculum."
Two-timing sort.   		3 letters,"CAD.    	Our word ""cad"", meaning ""a person lacking in finer feelings"", is a shortening of the word ""cadet"". ""Cad"" was first used for a servant, and then students at British universities used ""cad"" as a term for a boy from the local town. ""Cad"" took on its current meaning in the 1830s."
