MO_?,MOI?.    	'J'accuse!' is the French for 'I accuse!'.
P_ESTO,"PRESTO.    	On a musical score, presto is used to indicate a fast tempo. ""Presto"" is the Italian word for ""quick""."
AD_,ADM.    	Admiral (adm.)
BRI_,"BRIC.    	Bric-a-brac was a French phrase that was used as far back as the 16th century, but is now obsolete. It was a nonsense term meaning ""at random"" or ""any old way"". Since Victorian times we have used the phrase in English to mean a collection of curios, statues and the like. Unlike back then, in modern usage bric-a-brac tends to be a selection of cheaper items."
PANA_A,"PANAMA.    	The Republic of Panama is the southernmost country in Central America, and by definition, the southernmost country in North America."
_ARARE,"HARARE.    	Cecil Rhodes (famous in America as the founder of the Rhodes Scholarship), was very successful English businessman and South African politician. He founded the De Beers diamond mining company, and also founded the state of Rhodesia, which was named after him. The British colony gained its independence over time in the latter half of the 20th century, and is known today as the countries of Zambia and Zimbabwe."
FLA_,FLAP.    	Not in mine ...
_CULL,SCULL.    	A scull is a rowing boat used for competitive rowing. The main hull of the boat is often referred to as a shell.
OST_R,"OSTER.    	The Oster brand of small appliances was introduced in 1924 by John Oster. He started out by making manually-powered hair clippers designed for cutting women's hair, and followed up with a motorized version in 1928. The clippers kept the company in business until 1946 when Oster diversified, buying a manufacturer of liquefying blenders in 1946. The blender was renamed an Osterizer, and was a big hit. Oster was bought up by Sunbeam, which has owned the brand since 1960."
O_ANADA,"O CANADA.    	Canada's national anthem 'O Canada' was commissioned in 1880 by the Lieutenant Governor of Quebec, so the original words are in French. The first English translation was made in 1906. The current English lyrics have been revised a few times, but the French version remains the same as it did back in 1880."
FO_,"FOB.    	A fob is attached to another object to make access to it easier. And so a key fob is a chain attached to a key so that it can be retrieved easily. There are also watch fobs, and the pocket in a vest in which a watch can be placed is called a fob. In fact, the original use of the term 'fob' was for a small pocket in which one could carry valuables."
AVI_,"AVID.    	""Kung ho"" is a Chinese expression meaning ""work together, cooperate"". The anglicized version ""gung ho"" was adopted by a Major Evans Carlson as an expression of combined spirit for his 2nd Marine Raider Battalion during WWII. From there the term spread throughout the Marine Corps and back to America where it persists to this day."
A_USE,"ABUSE.    	Obloquy is a such a lovely sounding word, yet it describes something far from lovely: abusive language. The word comes from Latin ""ob"" (against) and loqui (from ""to speak"")."
CAP_IS,"CAPRIS.    	Capri pants first became popular on the island of Capri, apparently. They were invented in Europe in 1948, but only became stylish in the US in the sixties. Mary Tyler Moore often wore Capri pants on ""The Dick Van Dyke Show"" and to some extent she sparked a fashion trend. After a lull in the seventies and eighties there was a resurgence in sales after Uma Thurman wore them (and danced in them) in ""Pulp Fiction"". Can't stand the look of them myself ..."
YA_OV,"YAKOV.    	The Ukrainian-born comedian Yakov Pokhis is better known by his stage name, Yakov Smirnoff. Smirnoff was popular on television in the eighties, playing comedic roles with a thick, Russian accent. He is a smart cookie. He earned a master's degree in positive psychology from the University of Pennsylvania in 2006."
LAK_,LAKE.    	Lake Victoria is the largest lake by surface area on the continent of Africa. It was named by English explorer John Hanning Speke in honor of Queen Victoria of the UK. Speke was the first European to set eyes on the lake.
BA_AL,"BASAL.    	One's basal metabolism refers to just the basic processes of the body, the one's essential to maintain life. The Basal Metabolic Rate is the number of calories needed to maintain that basal metabolism, sufficient energy to maintain function of the vital organs such as heart, lungs, kidneys. Excluded is the energy needed to move around, to eat, or to absorb food."
NINJ_S,"NINJAS.    	The ninjas were around in Japan at the time of the samurai, but were very different type of warriors. The ninjas were covert operatives, specializing in the use of stealth to accomplish their missions. As they were a secretive cadre, they took on a mystical reputation with the public, often with the ability to become invisible or perhaps walk on water."
RI_K,"RISK.    	Risk is fabulous board game, first sold in France in 1957. The game was invented by a very successful French director of short films called Albert Lamorisse. The original French version was called ""La Conquete du Monde"" (The Conquest of the World). A game of Risk is a must during the holidays in our house ..."
AC_V,"ACT V.    	In Shakespeare's 'Hamlet', there is a scene when Prince Hamlet holds in his hand the skull of the deceased court jester Yorick. Hamlet starts into a famous monologue at this point:"
CAB_L,"CABAL.    	A cabal is a small group of secret plotters, perhaps scheming against a government or an individual."
M_RRIE,"MORRIE.    	""Tuesday's with Morrie"" is a novel by Mitch Albom, first published in 1997. The story is a work of non-fiction, telling the tale of sociologist Morrie Schwartz and his students, one of whom is the author, Mitch Albom. Albom has frequent visits with his old professor when he discovers that Morrie is dying from ALS."
DCC_B,"DC CAB.    	D.C. Cab' is a comedy movie released in 1983 starring Mr. T. I don't hear many good things about the film, although there is a special appearance by Irene Cara of 'Fame' fame ..."
NOB_S,"NOBIS.    	""Dona nobis pacem"" is Latin for ""Grant us peace""."
HI_,"HIT.    	Battleship was a game that we used to play as kids using pencil and paper. The game had been around at least since WWI, and was eventually turned into a board game by Milton Bradley in 1967."
G_ACE,GRACE.    	A 'grace' is a short prayer recited before or after a meal.
MYR_,"MYRA.    	Myra Bradwell started her law training soon after her husband was called to the bar, and apprenticed with a lawyer in her husband's law office. In 1892 she became the first female lawyer in the state of Illinois."
ALLI_,"ALLIE.    	""Kate & Allie"" ran from 1984 to 1989, starring Susan Saint James as Kate, and Jane Curtin as Allie. Jane Curtin won two Emmy awards for her work on the series, while Susan Saint James ... did not."
EVI_,"EVIE.    	""Howards End"" is a novel by E. M. Forster. Emma Thompson won an Oscar for playing Margaret Schlegel in the excellent 1992 film adaptation."
DORI_OS,"DORITOS.    	Doritos are a brand of flavored tortilla chips launched in 1964. The name ""Doritos"" means ""little bits of gold"" in Spanish."
A_CAN,"ALCAN.    	The Alaska Highway is also known as the Alaska-Canadian Highway or ALCAN Highway. A highway connecting the contiguous United States to Alaska was proposed in the twenties, but the Canadian authorities didn't believe the project had much merit as the road would be used by very few of its citizens. The perceived importance of the route increased during WWII, and President Roosevelt deemed the road a strategic necessity so he made a deal with Canada. The cost of construction would be born by the US, but the road and related facilities were to be handed over to Canada at the end of the war. The project was accelerated when the Japanese invaded and occupied Kiska and Attu Islands in the Aleutians. The road of course has been improved and is still in use today, and forms part of what is popularly known as the Pan-American Highway, which runs from Prudhoe Bay, Alaska to the south of Argentina or Chile, depending on how the route is defined."
DEER_S,"DEERES.    	John Deere invented the first commercially successful steel plow in 1837. Prior to Deere's invention, farmers used an iron or wooden plow that constantly had to be cleaned as rich soil stuck to its surfaces. The cast-steel plow was revolutionary as its smooth sides solved the problem of 'stickiness'. The Deere company that John founded uses the slogan 'Nothing Runs Like a Deere', and has a leaping deer as its logo."
LE_N,"LEAN.    	The psychologist William Herbert Sheldon proposed a now-discredited theory that a person's intelligence, future achievement and temperament could be associated with particular body types. Sheldon proposed three 'somatotypes', a classification that is still used today:"
_UX,"TUX.    	The style of men's evening dress called a ""tuxedo"" was apparently first worn to a country club event in 1886 in New York. The use of a dark dinner jacket, without tails, became fashionable at the club with the members, and the tradition spread from there. The country club was located in Tuxedo Park, New York, giving the style of dress its name."
DO_EN,"DONEN.    	Stanley Donen was the co-director of the 1952 musical ""Singin' in the Rain"". His partner in crime was the magnificent Gene Kelly. Donen also directed another great dance classic, 1951's ""Royal Wedding"", where famously he had Fred Astaire dancing on the ceiling. Decades later, when Lionel Richie released his song ""Dancing on the Ceiling"", it was Stanley Donen who directed the 1986 music video."
MA_SH,"MARSH.    	Dame Ngaio Marsh was a New Zealand crime writer. She is known as one of the four original ""Queens of Crime"", namely: Dorothy L. Sayers, Margery Allingham, Agatha Christie, and Marsh. All her novels features her hero, a British CID detective, Roderick Alleyn."
