MS_,MSS.    	Editors work with manuscripts.
E_IE,"EDIE.    	Edie Williams is a character on television's 'Desperate Housewives' played by Nicollette Sheridan. Edie has had a few marriages as the 'Desperate Housewives' storyline progressed. Edie Williams was formerly Edie Britt, Edie McLain and Edie Rothwell."
_TOM,ATOM.    	Atom Ant is a cartoon character introduced by Hanna-Barbera in 1965. He is a tiny superhero who fights villains such as Ferocious Flea and a mad scientist named Professor Von Gimmick.
_LEX,"ALEX.    	When cartoonist Garry Trudeau was deciding on a name for his comic strip in 1970, he opted for 'Doonesbury'. He combined 'doone', which is slang for a 'genial fool', and the last syllables in 'Pillsbury', the family name of Trudeau's roommate while he was at Yale."
ES_ES,ESTES.    	Estes Kefauver was a Democratic politician from Tennessee. In 1956 Kefauver was the running mate of Adlai Stevenson when Stevenson made a bid for the presidency. The pair of course lost to the Eisenhower-Nixon ticket.
N_IR,"NOIR.    	The expression ""film noir"" has French origins, but only in that it was coined by a French critic in describing a style of Hollywood film. The term, meaning ""black film"" in French, was first used by Nino Frank in 1946. Film noir often applies to a movie with a melodramatic plot and a private eye or detective at its center. Good examples would be ""The Big Sleep"" and ""D.O.A""."
LC_,"LCD.    	Liquid Crystal Displays (LCDs) are the screens that are found in most laptops today, and in flat panel computer screens and some televisions. LCD monitors basically replaced Cathode Ray Tube (CRT) screens, the old television technology."
_BER,"UBER.    	Uber is a ridesharing service that was founded in 2009 and is based in San Francisco. The service is somewhat controversial and has been described as an illegal taxicab operation. Central to Uber's service is the company's mobile app, which can use the client's GPS location to help find the nearest available ride. Personally, I love the service and only have had good experiences ..."
_AJ,"TAJ.    	The most famous mausoleum in the world has to be the Taj Mahal in Agra, India. The Taj Mahal was built after the death of the third wife of Shah Jahan, Mumtaz Mahal (hence the name of the mausoleum). The poor woman died in childbirth, delivering the couple's 14th child!"
_AV,"LAV.    	Our word 'lavatory' originally referred to a washbasin, and comes from the Latin 'lavatorium', a place for washing. In the 1600s a ""lavatory"" became a washroom, and in the 1920s a toilet."
T_J,TAJ.    	Donald Trump's Taj Mahal Casino Resort opened up for business in Atlantic City in 1990.
L_N,LIN.    	Jeremy Lin is a professional basketball player who was raised in the city of Palo Alto in the San Francisco Bay Area. Lin is the first American of Chinese descent to play in the NBA.
_TA,"MTA.    	The MTA is the Metropolitan Transportation Authority, which has public transportation responsibility in the state of New York (as well as part of Connecticut)."
_EE,"TEE.    	Tesla Motors is a manufacturer of electric vehicles based in Palo Alto, California. Tesla is noted for producing the first electric sports car, called the Tesla Roadster. The company followed the sports car with a luxury sedan, the Model S. The Model S was the world's best selling plug-in electric vehicle of 2015."
I_NIA,"IONIA.    	Lydia and Ionia were ancient territories in land now covered by modern-day Turkey. Apparently they were settled by colonists from the other side of the Aegean, and eventually fell under Greek then Roman rule."
_MOK,"AMOK.    	The phrase ""to run amok"" has been around since the 1670s, and is derived from the Malay word for ""attacking furiously"", ""amuk"". The word ""amok"" was also used as a noun, to describe Malay natives who were ""frenzied"". Given Malayan history, the natives probably had good reason for that frenzy ..."
_RONO,ORONO.    	(36D. See 56-Across : MAINE)
T_E,TEE.    	The capital letter of the word 'Texas' is a T (tee).
MA_I,"MALI.    	The Republic of Mali is a landlocked country in western Africa, south of Algeria. The country's most famous city is ... Timbuktu ..."
A_DRE,"ANDRE.    	Renowned tennis professional Andre Agassi wrote an autobiography called ""Open"", published in 2009. An amazing revelation in the book is that Agassi's famous head of hair was actually a wig for much of his playing career. Can you imagine how hard it must have been to play tennis at his level with a rug stuck on?"
REN_E,"RENEE.    	""My One and Only"" is a 2009 comedy about the early life of actor George Hamilton on the road with his mother and brother. Renee Zellwegger plays the mother and Logan Lerman the 15-year-old George."
ANI_A,"ANITA.    	Anita Hill is an attorney who is currently a professor at Brandeis University. Hill garnered a lot of attention in 1991 when she accused US Supreme Court nominee Clarence Thomas of sexual harassment. Judge Thomas was confirmed anyway. Many say that Hill's testimony during the confirmation hearings launched public awareness of the issue of sexual harassment in the workplace. Within a year, complaints of harassment were up by fifty percent."
O_ARA,"O'HARA.    	As casting proceeded for the movie version of ""Gone With the Wind"", Clark Gable was a shoo-in from day one. The role of Scarlett was considered very desirable in the acting community, with Bette Davis on the short list, and Katherine Hepburn demanding an appointment with producer David O. Selznick to discuss the role. Vivien Leigh was an unlikely contender, an English actress for the definitive Southern belle role. Selznick was adamant though, and stuck by his choice despite a lot of protests."
_OE,"POE.    	Edgar Allen Poe's story 'The Tell-Tale Heart', is arguably one of his most disturbing works. It is a story of cold-blooded and premeditated murder, with some dismemberment thrown in for good measure."
GT_,GTO.    	GTO stands for Gran Turismo Omologato.
Z_E,ZEE.    	One of the letters in the word 'dozen' is the letter Z (zee).
