Ed.'s work pile.   		3 letters,MSS.    	Editors work with manuscripts.
"""Desperate Housewives"" housewife.   		4 letters","EDIE.    	Edie Williams is a character on television's 'Desperate Housewives' played by Nicollette Sheridan. Edie has had a few marriages as the 'Desperate Housewives' storyline progressed. Edie Williams was formerly Edie Britt, Edie McLain and Edie Rothwell."
___ Ant (cartoon superhero).   		4 letters,ATOM.    	Atom Ant is a cartoon character introduced by Hanna-Barbera in 1965. He is a tiny superhero who fights villains such as Ferocious Flea and a mad scientist named Professor Von Gimmick.
"Mike Doonesbury's daughter in ""Doonesbury"".   		4 letters","ALEX.    	When cartoonist Garry Trudeau was deciding on a name for his comic strip in 1970, he opted for 'Doonesbury'. He combined 'doone', which is slang for a 'genial fool', and the last syllables in 'Pillsbury', the family name of Trudeau's roommate while he was at Yale."
"___ Kefauver, 1956 vice-presidential candidate.   		5 letters",ESTES.    	Estes Kefauver was a Democratic politician from Tennessee. In 1956 Kefauver was the running mate of Adlai Stevenson when Stevenson made a bid for the presidency. The pair of course lost to the Eisenhower-Nixon ticket.
Dark genre.   		4 letters,"NOIR.    	The expression ""film noir"" has French origins, but only in that it was coined by a French critic in describing a style of Hollywood film. The term, meaning ""black film"" in French, was first used by Nino Frank in 1946. Film noir often applies to a movie with a melodramatic plot and a private eye or detective at its center. Good examples would be ""The Big Sleep"" and ""D.O.A""."
Calculator screen abbr.   		3 letters,"LCD.    	Liquid Crystal Displays (LCDs) are the screens that are found in most laptops today, and in flat panel computer screens and some televisions. LCD monitors basically replaced Cathode Ray Tube (CRT) screens, the old television technology."
Foe of the taxi industry.   		4 letters,"UBER.    	Uber is a ridesharing service that was founded in 2009 and is based in San Francisco. The service is somewhat controversial and has been described as an illegal taxicab operation. Central to Uber's service is the company's mobile app, which can use the client's GPS location to help find the nearest available ride. Personally, I love the service and only have had good experiences ..."
___ Mahal.   		3 letters,"TAJ.    	The most famous mausoleum in the world has to be the Taj Mahal in Agra, India. The Taj Mahal was built after the death of the third wife of Shah Jahan, Mumtaz Mahal (hence the name of the mausoleum). The poor woman died in childbirth, delivering the couple's 14th child!"
Head.   		3 letters,"LAV.    	Our word 'lavatory' originally referred to a washbasin, and comes from the Latin 'lavatorium', a place for washing. In the 1600s a ""lavatory"" became a washroom, and in the 1920s a toilet."
"Garden State casino, informally, with ""the"".   		3 letters",TAJ.    	Donald Trump's Taj Mahal Casino Resort opened up for business in Atlantic City in 1990.
