One-sixth of diciotto.   		3 letters,"TRE.    	In Italian, one sixth of eighteen (diciotto) is three (tre)."
Teachers' org.   		3 letters,"NEA.    	The National Education Association (NEA) is the largest labor union in the country, mainly representing public school teachers."
Trucker's circuit: Abbr..   		3 letters,RTE.    	Route (rte.)
Conquistador's booty.   		3 letters,"ORO.    	Conquistador is the Spanish for ""conqueror""."
Member of a Western tribe.   		3 letters,"UTE.    	The Ute is a group of Native American tribes that now resides in Utah and Colorado. The Ute were not a unified people as such, but rather a loose association of nomadic groups."
U.S.P.S.   		3 letters,"RTE.    	The US Postal Service (USPS) is a remarkable agency in many ways. For starters, the government's right and responsibility to establish the Post Office is specifically called out in Article One of the US constitution. Also, the first postmaster general was none other than Benjamin Franklin. And the USPS operates over 200,000 vehicles, which is the largest vehicle fleet in the world."
"Rimsky-Korsakov's ""The Tale of ___ Saltan"".   		4 letters",TSAR.    	Rimsky-Korsakov's opera 'The Tale of Tsar Saltan' is based on a poem by Alexander Pushkin. The opera is perhaps best remembered as the source of the delightful orchestral interlude known as the 'Flight of the Bumblebee'.
Mach3 forerunner.   		4 letters,"ATRA.    	Fortunately for crossword setters, the Atra razor was introduced by Gillette in 1977. The Atra was sold as the Contour in some markets and its derivative products are still around today."
Woody offshoot?.   		4 letters,"ARLO.    	Arlo Guthrie is the son of Woody Guthrie. Both father and son are renowned for their singing of protest songs about social injustice. Arlo is most famous for his epic ""Alice's Restaurant Massacree"", a song that lasts a full 18m 34s. In the song Guthrie tells how, after being drafted, he was rejected for service in the Vietnam War based on his criminal record. He had only one incident on his public record, a Thanksgiving Day arrest for littering and being a public nuisance when he was 18-years-old."
Docs united.   		3 letters,AMA.    	American Medical Association (AMA)
Hundred Acre Wood denizen.   		3 letters,"ROO.    	Hundred Acre Wood is where Winnie the Pooh lives with his friends. According to a map illustrating the books by A. A. Milne, Hundred Acre Wood is part of a larger forest, with Owl's house sitting right at the center."
"Cette fille, e.g.   		4 letters","ELLE.    	In French, she (elle) is that girl (cette fille) over there."
___ Vegas.   		3 letters,"LAS.    	Back in the 1800s, the Las Vegas Valley was given its name from the extensive meadows (""las vegas"" is Spanish for ""the meadows"") present in the area courtesy of the artesian wells drilled by local farmers. Las Vegas was incorporated as a city in 1905, in the days when it was a stopping-off point for pioneers travelling west. It eventually became a railroad town, although with the coming of the railroad growth halted as travelers began to bypass Las Vegas. The city's tourism industry took off in 1935 with the completion of the nearby Hoover Dam, which is still a popular attraction. Then gambling was legalized, and things really started to move. Vegas was picked, largely by celebrated figures in ""the mob"", as a convenient location across the California/Nevada state line that could service the vast population of Los Angeles. As a result, Las Vegas is the most populous US city founded in the 20th century (Chicago is the most populous city founded in the 19th century, just in case you were wondering)."
"""Bearded"" flower.   		4 letters",IRIS.    	Iris is a genus of flowering plants that come in a wide variety of flower colors. The term 'iris' is a Greek word meaning 'rainbow'. Many species of irises are called 'flags'. One suggestion is that the alternate name comes from the Middle English 'flagge' meaning 'reed'. This term was used because iris leaves look like reeds.
___ Chicago Grill.   		3 letters,"UNO.    	The chain of pizza parlors known today as Uno Chicago Grill used to be called Pizzeria Uno, or just 'Uno's'. Apparently Uno's created the world's first deep dish pizza."
Coach Parseghian.   		3 letters,"ARA.    	Ara Parseghian coached the Notre Dame football team from 1964 to 1974, a period known as ""The Era of Ara""."
Inits.   		3 letters,"TSA.    	The Transportation Security Administration (TSA) was created in 2001, soon after the 9/11 attacks. TSA personnel carry out the baggage and body searches at US airports. The TSA has a Trusted Traveler program that allows certain passengers to move more quickly through security screening. These passengers pay the TSA a one-time fee that covers a background check after which successful applicants are issued a Known Traveler Number (KTN)."
Omega preceder.   		3 letters,PSI.    	The Greek letter psi is the one that looks a bit like a trident or a pitchfork.
___ Sea (inland body with high salinity).   		4 letters,"ARAL.    	The Aral Sea is a great example of how man can have a devastating effect on his environment. In the early sixties the Aral Sea covered 68,000 square miles of Central Asia. Soviet Union irrigation projects drained the lake to such an extent that today the total area is less than 7,000 square miles, with 90% of the lake now completely dry. Sad ..."
Gillette razor brand.   		4 letters,"ATRA.    	Fortunately for crossword setters, Gillette introduced the Atra razor in 1977."
Place to relax.   		3 letters,"SPA.    	The word ""spa"" migrated into English from Belgium, as Spa is the name of a municipality in the east of the country that is famous for its healing hot springs. The name ""Spa"" comes from the Walloon word ""espa"" meaning ""spring, fountain""."
"Unlatched, say.   		4 letters","AJAR.    	Our word ""ajar"" is thought to come from Scottish dialect, in which ""a char"" means ""slightly open""."
Bio subject.   		3 letters,"DNA.    	I've always been fascinated by the fact that the DNA of living things is so very similar across different species. Human DNA is almost exactly the same for every individual (to the degree of 99.9%). However, those small differences are sufficient to distinguish one individual from another, and to determine whether or not individuals are close family relations."
"Bus driver on ""The Simpsons"".   		4 letters","OTTO.    	Otto Mann drives the school bus on ""The Simpsons"". He is voiced by Harry Shearer. Otto is a Germanic character, and his name is a play on the Ottoman Empire. When Bart sees him, he greets him with ""Otto, man!"""
A.A.A.   		3 letters,"RTE.    	The American Automobile Association is a not-for-profit organization, focused on lobbying, provision of automobile servicing, and selling of automobile insurance. It was founded in 1902 in Chicago, and published the first of its celebrated hotel guides back in 1917."
Next-to-last Greek letter.   		3 letters,PSI.    	The Greek letter psi is the one that looks a bit like a trident or a pitchfork.
___ of Capri.   		4 letters,"ISLE.    	The island of Capri off the coast of Southern Italy has been a tourist resort since the days of ancient Rome. Capri is home to the famous Blue Grotto, a sea cave that is illuminated with sunlight that's colored blue as it passes through the seawater into the cave. Natives of Capri are known as 'Capriotes'."
"Course for a prospective citizen, for short.   		3 letters",ESL.    	English as a Second Language (ESL) is sometimes referred to as English for Speakers of Other Languages (ESOL) and English as a Foreign Language (EFL).
Place to relax.   		3 letters,"SPA.    	The word ""spa"" comes to us from Belgium, as Spa is the name of a health resort there. The name ""Spa"" comes from the Walloon word ""espa"" meaning ""spring, fountain""."
Introduction to a Spanish count?.   		3 letters,"UNO.    	Uno, dos, tres, cuatro!"
U.S.P.S. assignment: Abbr..   		3 letters,"RTE.    	The US Postal Service (USPS) is a remarkable agency in many ways. For starters, the government&#8217;s right and responsibility to establish the Post Office is specifically called out in Article One of the US constitution. Also, the first postmaster general was none other than Benjamin Franklin. And, the USPS operates over 200,000 vehicles, which is the largest vehicle fleet in the world."
"""Tell Mama"" singer James.   		4 letters","ETTA.    	Etta James is best known for her beautiful rendition of the song ""At Last"". Sadly, as she discloses in her autobiography, James has lived a life that has been ravaged by drug addiction, leading to numerous legal and health problems."
Coach Parseghian.   		3 letters,"ARA.    	Ara Parseghian coached the Notre Dame football team from 1964 to 1974, a period known as ""The Era of Ara""."
"""The Touch of Your Hand"" lyricist Harbach.   		4 letters",OTTO.    	Otto Harbach was a very successful librettist and lyricist. He was responsible for the words of many celebrated songs including 'Smoke Gets in Your Eyes' and 'Indian Love Call'.
Colorful ring.   		4 letters,"IRIS.    	The iris is the colored part of the eye, which has an aperture in the center that can open or close depending on the level of light hitting the eye."
Actor Stephen.   		3 letters,"REA.    	Stephen Rea is an actor from Belfast in Northern Ireland. Rea's big break in movies came with his role in the 1992 film 'The Crying Game', a role for which he was nominated for the Best Actor Oscar."
"Goddess who caused the Trojan women to riot in the ""Aeneid"".   		4 letters","IRIS.    	In Greek mythology the goddess Iris was viewed as the link between the gods and humanity, a messenger. She was also the goddess of the rainbow. In Virgil's 'Aeneid', Iris takes the form of a Trojan woman and incites other Trojan mothers to set fire to Aeneas' ships, preventing them from leaving Sicily."
Tire spec abbr..   		3 letters,PSI.    	Pounds Per Square Inch (PSI) is a measure of pressure.
Arthur in the International Tennis Hall of Fame.   		4 letters,"ASHE.    	Arthur Ashe was a professional tennis player from Richmond, Virginia. In his youth he found himself having to travel great distances to play against Caucasian opponents due to the segregation that still existed in his home state. He was rewarded for his dedication by being selected for the 1963 US Davis Cup team, the first African America player to be so honored. He continued to run into trouble because of his ethnicity though, and in 1968 was denied entry into South Africa to play in the South African Open. In 1979 Ashe suffered a heart attack and had bypass surgery, with follow up surgery four years later during which he contracted HIV from blood transfusions. Ashe passed away in 1993, due to complications from AIDS."
Org.   		3 letters,"TSA.    	The Transportation Security Administration (TSA) was of course created in 2001, soon after the 9/11 attacks."
"""The Twilight Saga"" vampire.   		4 letters","ALEC.    	'New Moon' is the second in the 'Twilight' series of novels by Stephenie Meyer. ""The Twilight Saga"" is a series of films based on the books. The novels and films are about vampires. I don't do vampires ..."
Mississippi River's largest tributary.   		4 letters,"OHIO.    	The Ohio is the largest tributary of the Mississippi by volume. In fact where the two rivers meet, in Cairo, Illinois, the Ohio is actually the larger of the pair."
Nintendo's Super ___.   		3 letters,NES.    	The abbreviation Super NES (or SNES) stands for Super Nintendo Entertainment System. Our kids probably have one somewhere ...
Highly draftable ...   		5 letters,"ONE-A.    	The US government maintains information on all males who are potentially subject to military conscription, using what is called the Selective Service System(SS). In the event that a draft was held, men registered would be classified into groups to determine eligibility for service. Class 1-A registrants are those available for unrestricted military service. Other classes are 1-A-O (conscientious objector available for noncombatant service), 4-A (registrant who has completed military service) and 4-D (Minister of religion)."
"Mark meaning ""no change"".   		4 letters","STET.    	""Stet"" is the Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" beside the change and then underscoring the change with a line of dots (or dashes)."
Bolshevik target.   		4 letters,"TSAR.    	At the second party congress of the Marxist Russian Social Democratic Labour Party in 1903, a split developed. The faction with the most support was led by Vladimir Lenin, and as they were in the majority, they became known as the Bolsheviks, derived from the Russian word for ""more"" or ""majority""."
"""___ Karenina"".   		4 letters","ANNA.    	I have to admit to not having read the Tolstoy's ""Anna Karenina"", but I did see the excellent 1977 British television adaptation starring Nicola Pagett. In the stroyline, Anna Karenina's lover is Count Alexei Vronsky."
Springfield Elementary employee.   		4 letters,"OTTO.    	Otto Mann drives the school bus on the TV show ""The Simpsons"". Otto is a Germanic character voiced by Harry Shearer, and his name is a play on ""Ottoman Empire"". Whenever Bart sees him, he greets Otto with the words ""Otto, man!"""
"Baldwin who has hosted ""S.N.L."" more times than anyone else.   		4 letters","ALEC.    	Alec is the oldest of the acting Baldwin brothers. I think his big break was playing Tom Clancy's Jack Ryan in ""The Hunt for Red October"", but thank goodness that role was taken over by Harrison Ford for the subsequent Jack Ryan movies. Baldwin is making a name for himself these days playing Jack Donaghy on ""30 Rock"", opposite Tina Fey. He has also hosted the sketch show 'Saturday Night Live' more times than anyone else (16 times)."
Bygone despot.   		4 letters,"TSAR.    	The term czar (also tsar) is a Slavic word that was first used as a title by Simeon I of Bulgaria in 913 AD. ""Czar"" is derived from the word ""Caesar"", which was synonymous with ""emperor"" at that time."
"Capri, e.g.   		4 letters","ISLE.    	The island of Capri off the coast of Southern Italy has been a tourist resort since the days of ancient Rome. Capri is home to the famous Blue Grotto, a sea cave that is illuminated with sunlight that's colored blue as it passes through the seawater into the cave. Natives of Capri are known as Capriotes."
Classic roadside logo name with red lettering in a blue oval.   		4 letters,"ESSO.    	The brand name Esso has its roots in the old Standard Oil company as it uses the initial letters of ""Standard"" and ""Oil"" (ESS-O). The Esso brand was replaced by Exxon in the US, but ESSO is still used in many other countries."
"Quack stopper, for short.   		3 letters",AMA.    	American Medical Association (AMA)
___ Vegas.   		3 letters,"LAS.    	Las Vegas, Nevada was founded as a city in 1905. It became a stop-off point for pioneers travelling west, and eventually a railroad town, although with the coming of the railroad, growth halted as folks began to bypass Las Vegas. The city's tourism industry took off in 1935 when the nearby Hoover Dam was completed, and visitors to Vegas take tours of the dam to this day. But then gambling was legalized, and the things really started to move. Vegas was picked, largely by celebrated figures in ""the mob"", as a convenient location across the state line that would service the vast population of Los Angeles. As a result, Las Vegas became the most populous US city founded in the 20th century, an honor that went to Chicago in the 19th century."
Org.   		3 letters,"AMA.    	The American Medical Association was founded in 1847, at the Academy of Natural Sciences in Philadelphia. The first female member was allowed to join in 1868, but the first African American members weren't admitted until one hundred years later, in 1968."
Setting for a Marx Brothers farce.   		5 letters,"OPERA.    	The five Mark Brothers were born to ""Minnie"" and ""Frenchy"" Marx in New York City. The more famous, three older boys were Chico, Harpo and Groucho. The youngest brother, Zeppo, appeared in the early Marx Brothers movies, but the fifth son Gummo, he went off to pursue his own career off the stage."
Symbol of the planet Neptune.   		3 letters,PSI.    	The Greek letter psi is the one that looks a bit like a trident or a pitchfork. The resemblance to a trident is probably why the letter psi is the symbol for the planet Neptune. Neptune was the Roman god of the sea and is often depicted carrying a trident.
"Fictional creature whose name is Old English for ""giant"".   		3 letters","ENT.    	Ents are those tree-like creatures that live in J. R. R. Tolkien's Middle-earth, in his series of books ""The Lord of the Rings"". 'Ent' is an Old English word for 'giant'."
Palliative plant.   		4 letters,"ALOE.    	Aloe vera has a number of alternate names that are descriptive of its efficacy as a medicine. These include the First Aid plant, Wand of Heaven, Silent Healer and Miracle Plant."
Map line: Abbr..   		3 letters,RTE.    	Some maps show routes.
Kanga's baby.   		3 letters,"ROO.    	Kanga is a friend of Winnie-the-Pooh, a kangaroo. She is the mother of Roo, who appears more frequently in the storyline."
___ Palmas.   		3 letters,"LAS.    	Gran Canaria, or Grand Canary Island, may be grand but it isn't quite as big as Tenerife, the largest island of the group and the most populated. The capital of Gran Canaria is Las Palmas, which was a port of call for Christopher Columbus in 1492 on his way to the Americas."
Mule of song.   		3 letters,"SAL.    	The song ""Fifteen Miles on the Erie Canal"" was written in 1905. The lyrics are nostalgic and look back to the days when traffic on the canal was pulled by mules, bemoaing the introduction of the fast-moving engine-powered barges. The first line is ""I've got an old mule and her name is Sal""."
One-named singer from County Donegal.   		4 letters,"ENYA.    	Enya's real name is Eithne Ní Bhraonáin, which can translate from Irish into Enya Brennan. Her Donegal family (in the northwest of Ireland) formed a band called Clannad, which included Enya. In 1980 Enya launched her very successful solo career, eventually becoming Ireland's best-selling solo musician. And, she sure does turn up a lot in crosswords!"
